year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	26263	7564	64038	177	576	26342	0	0	0	124960
1761	62734	14135	98252	99	292	27820	0	0	0	203332
1762	58098	19403	101269	161	526	33523	0	0	0	212980
1763	19372	119392	56720	150	528	13047	0	0	0	209209
1764	43959	39937	97553	133	229	32358	0	0	0	214169
1765	32182	34348	103640	181	0	23005	48	0	0	193404
1766	14239	49252	122103	388	381	27115	0	0	0	213478
1767	20434	29868	116171	0	219	18257	0	0	0	184949
1768	30847	38590	96421	310	135	65089	0	0	0	231392
1769	54371	28346	70163	163	312	60742	0	0	0	214097
1770	59284	10851	59894	275	384	81274	0	0	0	211962
1771	48489	0	68784	89	351	79020	0	0	0	196733
1772	38909	32096	57731	311	642	82862	0	0	0	212551
1773	25451	41828	58544	185	0	82451	0	0	0	208459
1774	22728	46574	27500	0	164	49506	0	0	0	146472
1775	48106	36646	29363	171	771	45967	0	0	0	161024
1776	14682	23287	30651	435	0	41414	0	0	0	110469
1777	37378	13310	26518	199	615	44868	0	0	0	122888
1778	16623	24560	32937	379	568	51127	0	0	0	126194
1779	22258	15700	39813	235	110	43968	0	0	0	122084
1780	40382	13874	37032	764	122	44107	0	0	0	136281
1781	20022	22370	0	424	173	45606	0	0	0	88595
1782	61240	20665	44119	0	0	38074	0	0	0	164098
1783	54745	24084	91722	553	0	37003	0	0	0	208107
1784	32508	22524	30916	515	0	53718	0	0	0	140181
1785	29914	26121	31253	275	0	67385	0	0	0	154948
1786	15545	19621	29517	310	742	96078	0	0	0	161813
1787	16266	22556	59178	135	0	73546	0	0	0	171681
1788	34205	26453	27766	410	0	86155	0	0	0	174989
1789	34579	18121	41876	123	0	91161	0	0	0	185860
1790	33696	18082	17267	426	0	101699	0	0	0	171170
1791	34819	18272	16515	209	32	142550	0	0	0	212397
1792	38251	17039	27692	480	32	149013	0	0	0	232507
1793	37410	16562	27072	275	0	167969	0	0	0	249288
1794	36603	18596	42147	512	329	171367	0	0	0	269554
1795	23449	19329	21972	506	995	164531	0	0	0	230782
1796	39594	37795	57726	711	2085	105811	0	0	0	243722
1797	45537	39798	71161	743	1111	74911	0	0	0	233261
1798	45348	21103	54522	781	0	73352	0	0	0	195106
1799	69753	11163	52284	802	0	175650	0	0	0	309652
1800	76492	19014	53395	1160	0	179701	0	0	0	329762
1801	64017	55411	49280	731	1609	177240	0	0	0	348288
1802	78837	83446	51013	1313	1767	184166	0	0	0	400542
1803	57789	103905	54054	656	1681	242376	0	0	0	460461
1804	65155	55326	41636	514	2248	245726	0	0	0	410605
1805	73647	50100	27209	811	2437	231225	0	24200	0	409629
1806	52859	24261	65123	774	2930	237487	0	0	0	383434
1807	34866	11833	130539	1563	2793	244394	0	0	0	425988
1808	71746	11697	97939	1962	4328	227466	0	27113	0	442251
1809	69588	16038	100465	889	2000	218787	0	9233	0	417000
1810	53482	17411	78965	488	1437	137236	0	7159	0	296178
1811	64422	24722	90937	430	4232	153289	0	7398	0	345430
1812	67895	44659	94176	0	4049	156521	0	4219	1358	372877
1813	102998	49055	76844	2037	4037	191996	0	9625	1985	438577
1814	0	30194	63874	1028	0	218166	0	8798	4460	326520
1815	91093	12528	65105	0	0	223481	0	0	0	392207
1816	26633	8190	44395	0	0	266749	0	0	0	345967
1817	83160	172	36574	0	0	242593	0	0	0	362499
1818	20959	0	20394	0	0	191593	0	0	0	232946
1819	368	1400	3131	0	0	174170	0	0	0	179069
1820	43535	0	54728	0	0	246831	0	0	0	345094
1821	81804	17242	70963	0	0	226528	0	0	0	396537
1822	34589	43105	49171	0	0	243661	0	0	0	370526
1823	33889	0	19948	0	0	201880	0	0	0	255717
1824	42572	7819	23976	0	0	227644	0	0	0	302011
1825	22171	7054	0	0	0	218397	0	0	0	247622
1826	4418	0	24370	0	0	268317	0	0	0	297105
1827	0	1765	233	0	0	251576	0	0	0	253574
1828	0	0	0	0	0	194330	0	0	0	194330
1829	0	0	0	0	0	182221	0	0	0	182221
1830	0	0	0	0	0	162758	0	0	0	162758
1831	0	0	0	0	0	166656	0	0	0	166656
1832	0	0	0	0	0	136097	0	0	0	136097
1833	0	0	0	0	0	174183	0	0	0	174183
1834	0	0	0	0	0	116094	0	0	0	116094
