year	bengal	madras	bombay	st_helena	benkulen	china	penang	java	total
1760	46499	25191	19983	0	0	0	0	0	91673
1761	57853	31286	51047	0	0	0	0	0	140186
1762	55561	18998	66569	0	804	0	0	0	141932
1763	32813	19922	43969	0	0	0	0	0	96704
1764	15545	8147	30527	0	0	0	0	0	54219
1765	15227	12664	34448	0	0	0	0	0	62339
1766	24656	35684	56891	0	0	0	0	0	117231
1767	24776	24905	50871	0	0	0	0	0	100552
1768	42771	30516	19688	0	0	0	0	0	92975
1769	45264	26982	20300	0	0	0	0	0	92546
1770	43910	23512	19638	0	0	0	0	0	87060
1771	18788	11547	31969	0	0	0	0	0	62304
1772	12224	5779	71536	0	0	0	0	0	89539
1773	30597	21192	38107	0	0	0	0	0	89896
1774	74326	52669	56709	0	0	0	0	0	183704
1775	67431	32005	54840	0	0	0	0	0	154276
1776	109905	43697	43629	0	0	0	0	0	197231
1777	126438	40128	32973	0	0	0	0	0	199539
1778	60658	64643	29312	0	999	0	0	0	155612
1779	69741	52098	52825	0	870	0	0	0	175534
1780	83463	51570	37426	0	0	0	0	0	172459
1781	38583	14968	11812	0	0	0	0	0	65363
1782	60944	48521	21786	0	0	0	0	0	131251
1783	80467	62842	61906	0	0	0	0	0	205215
1784	84439	14738	22194	0	0	0	0	0	121371
1785	40208	23200	35654	9	0	0	0	0	99071
1786	14834	19744	26591	0	0	0	0	0	61169
1787	38710	20172	33845	0	0	2093	0	0	94820
1788	35011	33016	40905	0	0	1993	0	0	110925
1789	35259	25531	21984	0	0	19223	0	0	101997
1790	76422	54031	138034	0	0	23435	0	0	291922
1791	45698	40670	92335	0	0	12398	0	0	191101
1792	39735	16174	46054	0	0	0	0	0	101963
1793	38689	13991	31494	0	0	0	0	0	84174
1794	94304	33476	47362	0	0	0	0	0	175142
1795	128944	41428	0	0	0	0	0	0	170372
1796	89789	83358	72087	0	0	0	0	0	245234
1797	72275	70503	50091	0	0	0	0	0	192869
1798	99709	46509	47164	0	0	0	0	0	193382
1799	61699	13089	59444	0	0	0	0	0	134232
1800	59255	0	6564	0	0	0	0	0	65819
1801	134014	17395	58244	0	0	0	0	0	209653
1802	140857	46966	128304	0	0	0	0	0	316127
1803	129963	44151	122438	0	0	0	0	0	296552
1804	43785	11055	22713	0	0	0	0	0	77553
1805	150525	44507	0	0	0	0	0	0	195032
1806	7592	343	12827	531	0	0	0	0	21293
1807	149074	79606	57918	1694	0	0	9245	0	297537
1808	136658	42	36191	485	0	0	0	0	173376
1809	93236	1355	53428	0	0	0	0	0	148019
1810	65898	4337	56262	0	0	3586	3594	0	133677
1811	123859	1647	81378	0	1594	1591	1783	0	211852
1812	156006	4486	51739	0	752	0	4301	3006	220290
1813	129718	6695	64397	0	0	0	0	14180	214990
1814	97019	9912	38759	0	0	0	0	1671	147361
1815	146667	25917	22964	0	0	0	0	0	195548
1816	47394	0	55407	0	0	0	0	0	102801
1817	94907	2508	76474	0	0	0	0	0	173889
1818	73404	0	59873	0	0	0	0	0	133277
1819	163709	0	2115	0	0	0	0	0	165824
1820	116082	0	98503	0	0	0	0	0	214585
1821	126064	0	116363	0	0	0	0	0	242427
1822	168599	6424	72747	0	0	0	0	0	247770
1823	149017	8991	80938	0	0	0	0	0	238946
1824	148759	14263	54014	0	0	0	0	0	217036
1825	25777	2492	0	0	0	0	0	0	28269
