year	bengal	madras	bombay	st_helena	benkulen	china	penang	java	total
1760	8783	5013	3844	0	0	0	0	0	17640
1761	10413	6030	10657	0	0	0	0	0	27100
1762	9266	3300	10936	0	1000	0	0	0	24502
1763	5044	3186	6844	0	0	0	0	0	15074
1764	2615	1404	4949	0	0	0	0	0	8968
1765	2603	2248	5851	0	0	0	0	0	10702
1766	4011	6215	9310	0	0	0	0	0	19536
1767	4043	4254	8213	0	0	0	0	0	16510
1768	7017	5211	3204	0	0	0	0	0	15432
1769	7355	4588	3210	0	0	0	0	0	15153
1770	6980	4008	3656	0	0	0	0	0	14644
1771	2969	1999	5143	0	0	0	0	0	10111
1772	2030	984	11588	0	0	0	0	0	14602
1773	4880	3608	6125	0	0	0	0	0	14613
1774	13120	9900	10000	0	0	0	0	0	33020
1775	12027	6021	7998	0	0	0	0	0	26046
1776	22667	9428	9228	0	0	0	0	0	41323
1777	26184	9008	7012	0	0	0	0	0	42204
1778	12442	13530	6010	0	204	0	0	0	32186
1779	15816	12017	12010	0	200	0	0	0	40043
1780	18431	11414	8414	0	0	0	0	0	38259
1781	7771	3002	2403	0	0	0	0	0	13176
1782	12025	10020	4503	0	0	0	0	0	26548
1783	16055	12110	12149	0	0	0	0	0	40314
1784	16212	2885	4209	0	0	0	0	0	23306
1785	8104	4613	7171	1	0	0	0	0	19889
1786	3001	4002	5402	0	0	0	0	0	12405
1787	8002	4170	7000	0	0	430	0	0	19602
1788	8501	8001	9938	0	0	460	0	0	26900
1789	7800	6000	5001	0	0	5000	0	0	23801
1790	16006	11946	29531	0	0	5000	0	0	62483
1791	9610	8799	19606	0	0	2400	0	0	40415
1792	7710	3002	9021	0	0	0	0	0	19733
1793	6198	2201	4835	0	0	0	0	0	13234
1794	15240	5400	7742	0	0	0	0	0	28382
1795	21861	7001	0	0	0	0	0	0	28862
1796	15562	13927	12254	0	0	0	0	0	41743
1797	11261	10742	7805	0	0	0	0	0	29808
1798	15704	7083	7221	0	0	0	0	0	30008
1799	9269	1960	9080	0	0	0	0	0	20309
1800	7369	0	780	0	0	0	0	0	8149
1801	15999	2076	6829	0	0	0	0	0	24904
1802	17947	6009	16288	0	0	0	0	0	40244
1803	18230	5998	16269	0	0	0	0	0	40497
1804	5400	1460	2600	0	0	0	0	0	9460
1805	16584	4820	0	0	0	0	0	0	21404
1806	660	30	1115	44	0	0	0	0	1849
1807	15146	8230	6227	165	0	0	922	0	30690
1808	16913	5	4194	56	0	0	0	0	21168
1809	14080	200	7825	0	0	0	0	0	22105
1810	7374	640	6251	0	0	400	398	0	15063
1811	14791	185	9490	0	180	180	201	0	25027
1812	21291	597	7048	0	100	0	597	399	30032
1813	18241	900	8844	0	0	0	0	2000	29985
1814	14427	1459	5741	0	0	0	0	239	21866
1815	22360	3977	3338	0	0	0	0	0	29675
1816	7848	0	9248	0	0	0	0	0	17096
1817	16575	399	13400	0	0	0	0	0	30374
1818	13980	0	10960	0	0	0	0	0	24940
1819	25902	0	327	0	0	0	0	0	26229
1820	19103	0	15998	0	0	0	0	0	35101
1821	21098	0	19417	0	0	0	0	0	40515
1822	31586	1120	13396	0	0	0	0	0	46102
1823	28740	1640	15259	0	0	0	0	0	45639
1824	29263	2600	9998	0	0	0	0	0	41861
1825	4800	500	0	0	0	0	0	0	5300
