year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	1200	800	1200	4	1600	0	0	0	0	4804
1761	800	800	0	0	800	0	0	0	0	2400
1762	1200	800	800	0	0	4130	0	0	0	6930
1763	1400	1400	800	10	500	0	0	0	0	4110
1764	8000	2000	4600	0	1000	0	0	0	0	15600
1765	1000	600	4000	0	2000	0	35	0	0	7635
1766	3753	7532	6000	26	2000	0	0	0	0	19311
1767	7000	4000	6000	47	2000	0	0	0	0	19047
1768	4200	4000	4000	42	1000	0	0	0	0	13242
1769	4000	4000	6536	0	2000	0	0	0	0	16536
1770	4000	4000	2400	39	2080	0	0	0	0	12519
1771	1531	500	2200	213	400	0	0	0	0	4844
1772	1000	1000	2000	43	400	0	0	0	0	4443
1773	2000	3000	2000	0	400	0	0	0	0	7400
1774	0	800	1000	0	80	0	0	0	0	1880
1775	1000	600	1920	0	800	0	0	0	0	4320
1776	2000	4000	3000	0	400	0	0	0	0	9400
1777	2279	4000	3000	0	600	0	0	0	0	9879
1778	1000	4000	3000	0	800	0	0	0	0	8800
1779	2120	1200	3000	0	770	0	0	0	0	7090
1780	2500	2000	1300	621	800	0	0	0	0	7221
1781	2632	2000	1200	31	800	0	0	0	0	6663
1782	2000	4000	4000	0	0	0	0	0	0	10000
1783	2000	1226	8000	20	400	0	0	0	0	11646
1784	2000	1000	1000	0	200	0	0	0	0	4200
1785	636	0	1200	5	200	0	0	0	0	2041
1786	500	1500	500	40	200	0	0	0	0	2740
1787	800	1600	2000	0	200	0	0	0	0	4600
1788	4000	2800	6000	0	500	0	0	0	0	13300
1789	5000	2800	3000	62	500	0	0	0	0	11362
1790	6000	2300	5000	0	1200	0	0	0	0	14500
1791	6000	1400	4000	0	1400	0	0	0	0	12800
1792	8000	2400	3184	0	1400	0	0	0	0	14984
1793	8000	4000	4000	0	0	0	0	0	0	16000
1794	7000	4000	4000	0	0	0	0	0	0	15000
1795	6000	3000	5000	0	0	0	0	0	0	14000
1796	7000	7000	15000	0	2000	0	0	0	0	31000
1797	3000	2520	7660	0	2000	0	0	0	0	15180
1798	2600	4500	10500	0	0	0	0	0	0	17600
1799	400	4002	15600	0	0	4000	0	0	0	24002
1800	8400	4000	9800	0	0	0	0	0	0	22200
1801	7400	3300	13020	0	2000	0	0	2000	0	27720
1802	17700	3000	16000	0	0	0	0	0	0	36700
1803	18000	3000	21000	0	2000	0	0	0	0	44000
1804	9000	7000	18000	0	2000	0	0	0	0	36000
1805	7600	4400	23160	0	2000	0	0	7200	0	44360
1806	12913	3831	13394	0	1400	0	0	0	0	31538
1807	10140	4900	16774	0	2000	0	0	14600	0	48414
1808	5003	150	22436	0	0	0	0	23600	0	51189
1809	26930	4000	27543	0	2000	0	0	6000	0	66473
1810	32170	960	35000	0	2000	1000	0	10011	0	81141
1811	36409	3141	22030	0	2000	4000	0	8200	0	75780
1812	37337	8843	16428	0	0	8974	0	14645	5000	91227
1813	46059	7142	14977	0	2000	22999	0	10776	2399	106352
1814	11266	2261	17071	0	0	30779	0	15875	13056	90308
1815	48565	4000	13045	0	0	13395	0	0	0	79005
1816	35951	0	13905	0	0	13280	0	0	0	63136
1817	11143	0	28051	0	0	6008	0	0	0	45202
1818	0	0	7880	0	0	11023	0	0	0	18903
1819	0	0	25684	0	0	36638	0	0	0	62322
1820	8200	0	32063	0	0	12038	0	0	0	52301
1821	15445	0	37578	0	0	25584	0	0	0	78607
1822	16207	6001	24797	0	0	22713	0	0	0	69718
1823	33021	5300	30990	0	0	22784	0	0	0	92095
1824	10500	0	12100	0	0	29800	0	0	0	52400
1825	0	0	11515	0	0	32759	0	0	0	44274
1826	0	0	15556	0	0	48380	0	0	0	63936
1827	0	0	0	0	0	42020	0	0	0	42020
1828	0	0	0	0	0	30020	0	0	0	30020
1829	0	0	0	0	0	37732	0	0	0	37732
1830	0	0	0	0	0	30305	0	0	0	30305
1831	0	0	0	0	0	30027	0	0	0	30027
1832	0	0	0	0	0	24003	0	0	0	24003
1833	0	0	0	0	0	18016	0	0	0	18016
1834	0	0	0	0	0	12044	0	0	0	12044
