year	bengal	madras	bombay	st_helena	benkulen	china	penang	java	total
1760	546	546	821	0	65	2460	0	0	4438
1761	591	590	444	0	0	8264	0	0	9889
1762	683	689	690	0	17	12447	0	0	14526
1763	1138	1138	651	0	43	14301	0	0	17271
1764	4219	1760	3512	0	9	18945	0	0	28445
1765	4914	2222	1547	0	786	20314	0	0	29783
1766	1616	1617	4970	0	0	23029	0	0	31232
1767	4455	1781	5522	0	0	15336	0	0	27094
1768	5004	1891	3653	0	0	28291	0	0	38839
1769	5101	1759	5296	0	0	37793	0	0	49949
1770	5636	2733	4307	0	342	38616	0	0	51634
1771	2294	1067	3895	82	331	37308	0	0	44977
1772	1810	935	1868	0	0	28473	0	0	33086
1773	3468	2615	2928	0	326	8126	0	0	17463
1774	3292	783	3136	0	0	3766	0	0	10977
1775	2482	1086	1709	0	78	3722	0	0	9077
1776	1912	1751	1990	0	80	4461	0	0	10194
1777	3266	838	1677	7	0	6702	0	0	12490
1778	2477	1651	4954	19	0	4127	0	0	13228
1779	2403	1601	2400	0	0	4803	0	0	11207
1780	1701	1419	1417	0	0	8787	0	0	13324
1781	1634	1634	1634	0	0	10621	0	0	15523
1782	2852	3803	1713	0	0	9505	0	0	17873
1783	636	1060	1780	0	0	10476	0	0	13952
1784	2068	827	1037	0	0	5170	0	0	9102
1785	0	0	1077	0	0	23661	0	0	24738
1786	20711	1014	1480	0	0	41323	0	0	64528
1787	1027	1026	1026	0	411	37528	0	0	41018
1788	4604	1036	5178	0	460	39572	0	0	50850
1789	5407	0	1621	0	0	41083	0	0	48111
1790	6704	0	5589	0	0	35977	0	0	48270
1791	5704	0	5703	0	7	13303	0	0	24717
1792	4704	1178	1177	0	0	18169	0	0	25228
1793	8876	3327	3328	0	0	15523	0	0	31054
1794	8704	2177	2178	0	0	34813	0	0	47872
1795	5326	888	888	0	0	7100	0	0	14202
1796	9602	0	9602	0	0	18847	0	0	38051
1797	7707	964	12805	0	0	13194	0	0	34670
1798	3301	0	3228	0	0	4300	0	0	10829
1799	8149	1005	20087	0	0	6026	0	0	35267
1800	7505	1250	1251	0	0	27416	0	0	37422
1801	17194	5537	8855	0	0	66368	0	0	97954
1802	13712	3016	6582	0	0	109480	0	0	132790
1803	0	0	0	0	0	33057	0	0	33057
1804	30010	5292	11704	0	0	0	0	0	47006
1805	12886	0	0	0	0	29514	940	0	43340
1806	43889	0	13386	0	0	36940	0	0	94215
1807	43970	0	13294	0	0	52605	0	0	109869
1808	28284	0	14502	0	0	57452	0	0	100238
1809	25173	3045	12166	0	0	54797	0	0	95181
1810	28077	3587	14336	0	0	79397	0	0	125397
1811	26219	11238	18723	0	0	44946	0	0	101126
1812	15166	9776	7200	0	0	44754	0	237	77133
1813	10401	3177	8989	0	0	0	1591	1623	25781
1814	5558	0	3636	126	0	8559	0	1088	18967
1815	945	0	0	0	0	20972	0	0	21917
1816	0	0	8935	0	0	21575	0	0	30510
1817	4789	0	14266	0	0	19489	0	0	38544
1818	9895	0	12589	0	0	15065	0	0	37549
1819	11180	0	0	0	0	19300	0	0	30480
1820	15319	0	6226	0	0	21879	0	0	43424
1821	2385	0	0	0	0	13194	0	0	15579
1822	1761	531	0	0	0	12768	0	0	15060
1823	0	3202	0	0	0	23678	0	0	26880
1824	0	2811	0	0	0	26129	0	0	28940
1825	1317	1397	970	0	0	36716	0	0	40400
1826	0	1880	0	0	0	44718	0	0	46598
1827	0	0	0	0	0	44104	0	0	44104
1828	0	0	0	0	0	37187	0	0	37187
1829	0	0	0	0	0	20439	0	0	20439
1830	0	0	0	0	0	17131	0	0	17131
1831	0	0	0	0	0	24849	0	0	24849
1832	0	0	0	0	0	16689	0	0	16689
1833	0	0	0	0	0	23580	0	0	23580
1834	0	0	0	0	0	2602	0	0	2602
