year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	1600	0	6100	6	0	12000	0	0	0	19706
1761	5959	300	8463	6	0	10640	0	0	0	25368
1762	7545	846	12399	6	0	14658	0	0	0	35454
1763	7	8573	4765	6	0	7500	0	0	0	20851
1764	997	3000	12392	4	0	11292	0	0	0	27685
1765	0	3090	2975	5	0	8845	10	0	0	14925
1766	709	5016	7906	8	0	11900	0	0	0	25539
1767	879	1400	8858	0	0	10088	0	0	0	21225
1768	500	1897	5350	4	0	19997	0	0	0	27748
1769	2047	600	4369	5	0	19989	0	0	0	27010
1770	4250	600	3940	5	0	20000	0	0	0	28795
1771	2418	394	5169	0	0	20198	0	0	0	28179
1772	2109	400	4039	8	0	19990	0	0	0	26546
1773	2509	1019	8580	6	0	21993	0	0	0	34107
1774	1847	1240	7702	0	0	13985	0	0	0	24774
1775	1980	639	6720	0	0	21921	0	0	0	31260
1776	1519	1120	5390	10	0	24723	0	0	0	32762
1777	1949	360	3199	5	0	24981	0	0	0	30494
1778	1355	1160	4700	4	0	26995	0	0	0	34214
1779	1850	300	6877	3	0	24987	0	0	0	34017
1780	1747	300	7037	16	0	24983	0	0	0	34083
1781	560	300	0	31	0	23784	0	0	0	24675
1782	4734	300	6239	0	0	30151	0	0	0	41424
1783	2070	480	8733	15	0	24985	0	0	0	36283
1784	1892	500	3199	8	0	25035	0	0	0	30634
1785	1440	200	2300	0	0	35094	0	0	0	39034
1786	1265	200	4676	20	0	59953	0	0	0	66114
1787	2400	500	9851	0	0	59990	0	0	0	72741
1788	2410	800	4800	0	0	107040	0	0	0	115050
1789	2400	980	7200	0	0	107000	0	0	0	117580
1790	1780	880	3317	0	0	112520	0	0	0	118497
1791	1250	580	1650	0	0	127860	0	0	0	131340
1792	1900	500	1600	0	0	146280	0	0	0	150280
1793	1920	520	1620	0	0	177760	0	0	0	181820
1794	2320	500	5099	0	0	177500	0	0	0	185419
1795	1570	550	9430	10	0	193520	0	0	0	205080
1796	1870	550	9690	15	20	172920	0	0	0	185065
1797	1770	550	8580	9	30	124000	0	0	0	134939
1798	2110	440	7220	0	0	143980	0	0	0	153750
1799	3740	340	11100	22	0	213020	0	0	0	228222
1800	3880	588	13100	16	0	213060	0	0	0	230644
1801	3590	6082	17090	12	0	241120	0	0	0	267894
1802	3660	10960	12080	12	0	261900	0	0	0	288612
1803	3520	5440	6030	12	0	280620	0	0	0	295622
1804	4140	240	8790	6	100	279046	0	0	0	292322
1805	2780	1420	3220	9	140	226780	0	1320	0	235669
1806										
1807	7310	4980	6450	40	200	272200	0	0	0	291180
1808	5700	560	3300	80	40	269520	0	1500	0	280700
1809	3640	0	3210	0	0	238840	0	400	0	246090
1810	1030	4400	0	0	0	208760	0	100	0	214290
1811	1090	1080	7620	0	0	210900	0	200	0	220890
1812	1550	3300	3670	0	0	211220	0	0	180	219920
1813	160	3560	1600	0	0	220560	0	200	190	226270
1814	0	0	1500	0	0	192100	0	200	30	193830
1815	1920	4	1640	0	0	135340	0	0	0	138904
1816	1420	0	560	0	0	126040	0	0	0	128020
1817	1314	0	0	0	0	121200	0	0	0	122514
1818	2900	0	1700	0	0	150020	0	0	0	154620
1819	3000	0	9400	0	0	122440	0	0	0	134840
1820	13200	0	12600	0	0	125400	0	0	0	151200
1821	26550	60	10600	0	0	126000	0	0	0	163210
1822	500	6700	6500	0	0	146000	0	0	0	159700
1823	0	0	0	0	0	149920	0	0	0	149920
1824	0	0	0	0	0	145000	0	0	0	145000
1825	0	0	0	0	0	123600	0	0	0	123600
1826	0	0	0	0	0	176400	0	0	0	176400
1827	0	0	0	0	0	128400	0	0	0	128400
1828	0	0	0	0	0	156780	0	0	0	156780
1829	0	0	0	0	0	125020	0	0	0	125020
1830	0	0	0	0	0	149900	0	0	0	149900
1831	0	0	0	0	0	150300	0	0	0	150300
1832	0	0	0	0	0	107200	0	0	0	107200
1833	0	0	0	0	0	105000	0	0	0	105000
1834	0	0	0	0	0	88300	0	0	0	88300
