year	bengal 	madras	bombay	st_helena	mocha	benkulen	canton	total
1760	0	0	0	0	0	20056	12334	32390
1761	0	0	0	2035	0	36624	48843	87502
1762	0	0	0	1962	0	0	25506	27468
1763	0	0	0	2865	0	16182	28558	47605
1764	0	0	0	1904	0	38077	0	39981
1765	0	0	0	1860	21393	37206	314385	374844
1766	0	0	0	1890	0	18894	296622	317406
1767	0	0	0	959	0	0	0	959
1768	0	0	0	0	0	0	0	0
1769	0	0	0	0	0	0	153452	153452
1770	0	0	0	0	0	19620	223668	243288
1771	0	0	0	0	0	53055	294300	347355
1772	0	0	0	0	0	0	152055	152055
1773	0	0	0	0	0	40620	0	40620
1774	0	1817	0	0	0	9992	0	11809
1775	0	0	0	0	0	10151	0	10151
1776	0	0	0	0	0	10032	0	10032
1777	0	59451	0	0	0	19892	29536	108879
1778	0	0	0	0	0	10842	0	10842
1779	0	0	0	0	0	10615	0	10615
1780	0	0	0	0	0	9952	0	9952
1781	0	0	0	0	0	14940	0	14940
1782	0	0	0	0	0	0	0	0
1783	0	0	0	0	0	0	0	0
1784	0	0	0	0	0	0	0	0
1785	0	0	0	0	0	0	0	0
1786	0	0	0	0	0	0	726479	726479
1787	0	0	16219	0	0	40723	697000	753942
1788	0	0	0	0	0	19904	628082	647986
1789	0	0	0	0	0	19704	471117	490821
1790	0	0	54282	0	0	19384	715721	789387
1791	0	514227	0	0	0	20140	0	534367
1792	0	137884	0	0	0	18094	376626	532604
1793	0	0	0	0	0	10944	0	10944
1794	0	0	0	0	0	10246	0	10246
1795	0	0	0	0	0	0	0	0
1796	0	0	0	0	0	0	38302	38302
1797	0	0	0	0	0	20680	200527	221207
1798	0	132455	132455	0	0	17494	348127	630531
1799	100512	100512	502054	0	0	17389	502562	1223029
1800	0	0	100196	0	0	0	140733	240929
1801	224253	226402	130713	0	0	19838	0	601206
1802	312669	118167	0	0	0	0	0	430836
1803	1011485	28013	100974	0	0	0	570960	1711432
1804	392637	209296		0	0	0	188871	790804
1805	1146632	402945	200793	0	0	0	202281	1952651
1806	501401	0	0	0	0	0	201270	702671
1807	0	0	0	0	0	0	0	0
1808	280983	0	0	0	0	0	0	280983
1809	0	0	0	0	0	0	0	0
1810	0	0	0	0	0	0	0	0
1811	0	0	0	0	0	0	0	0
1812	0	0	0	0	0	0	0	0
1813	0	0	0	0	0	0	0	0
1814	0	0	0	0	0	0	0	0
1815	0	0	0	0	0	0	127694	127694
1816	0	0	0	20921	0	0	1127512	1148433
1817	107991	0	0	15332	0	0	0	123323
1818	106870	0	0	0	0	0	0	106870
1819	698417	0	0	0	0	0	0	698417
1820	336354	0	0	52087	0	0	354389	742830
1821	176946	0	0	0	0	0	0	176946
