year	bengal 	madras	bombay	st_helena	mocha	benkulen	canton	total
1760	0	0	0	0	0	69760	429044	498804
1761	0	0	0	6976	0	125568	167424	299968
1762	0	0	0	6976	0	0	90988	97964
1763	0	0	0	10464	0	59296	104640	174400
1764	0	0	0	6976	0	139520	0	146496
1765	0	0	0	6976	80224	139430	1208944	1435574
1766	0	0	0	6976	0	69760	1095142	1171878
1767	0	0	0	3488	0	0	0	3488
1768	0	0	0	0	0	0	0	0
1769	0	0	0	0	0	0	558080	558080
1770	0	0	0	0	0	69760	797264	867024
1771	0	0	0	0	0	181840	1015008	1196848
1772	0	0	0	0	0	0	540640	540640
1773	0	0	0	0	0	149984	0	149984
1774	0	6976	0	0	0	38368	0	45344
1775	0	0	0	0	0	38368	0	38368
1776	0	0	0	0	0	38368	0	38368
1777	0	216256	0	0	0	73248	107322	396826
1778	0	0	0	0	0	38368	0	38368
1779	0	0	0	0	0	41826	0	41826
1780	0	0	0	0	0	38368	0	38368
1781	0	0	0	0	0	55808	0	55808
1782	0	0	0	0	0	0	0	0
1783	0	0	0	0	0	0	0	0
1784	0	0	0	0	0	0	0	0
1785	0	0	0	0	0	0	0	0
1786	0	0	0	0	0	0	2834000	2834000
1787	0	0	62784	0	0	156960	2692386	2912130
1788	0	0	0	0	0	76736	2417184	2493920
1789	0	0	0	0	0	76736	1820313	1897049
1790	0	0	209280	0	0	73736	2804352	3087368
1791	0	1998624	0	0	0	80224	0	2078848
1792	0	523200	0	0	0	69760	1464960	2057920
1793	0	0	0	0	0	41856	0	41856
1794	0	0	0	0	0	41856	0	41856
1795	0	0	0	0	0	0	0	0
1796	0	0	0	0	0	0	146496	146496
1797	0	0	0	0	0	76736	756896	833632
1798	0	519010	519010	0	0	69760	1377760	2485540
1799	390656	390656	1967232	0	0	69760	1953280	4771584
1800	0	0	380192	0	0	0	530298	910490
1801	766893	769692	459692	0	0	69760	0	2066037
1802	1095714	407682		0	0	0	0	1503396
1803	3635889	104640	366240	0	0	0	2068834	6175603
1804	1342017	691766		0	0	0	669174	2702957
1805	4296857	1015635	761360	0	0	0	749767	6823619
1806	1822243	0	0	0	0	0	735968	2558211
1807	0	0	0	0	0	0	0	0
1808	1018904	0	0	0	0	0	0	1018904
1809	0	0	0	0	0	0	0	0
1810	0	0	0	0	0	0	0	0
1811	0	0	0	0	0	0	0	0
1812	0	0	0	0	0	0	0	0
1813	0	0	0	0	0	0	0	0
1814	0	0	0	0	0	0	0	0
1815	0	0	0	0	0	0	374604	374604
1816	0	0	0	76192	0	0	3712778	3788970
1817	400092	0	0	60269	0	0	0	460361
1818	375552	0	0	0	0	0	0	375552
1819	2524552	0	0	0	0	0	0	2524552
1820	1217413	0	0	198347	0	0	1334791	2750551
1821	643750	0	0	0	0	0	0	643750
