year	bengal	madras	bombay	china	total
1790	760	377	0	59154	60291
1791	0	0	751	90553	91304
1792	0	0	0	72845	72845
1793	0	0	0	67941	67941
1794	0	0	0	100103	100103
1795	0	0	8251	90755	99006
1796	4009	0	2916	89923	96848
1797	0	0	2765	82882	85647
1798	0	0	1999	99194	101193
1799	0	0	957	63573	64530
1800	0	0	0	56620	56620
1801	0	0	1289	56531	57820
1802	0	0	0	24878	24878
1803	0	0	0	32525	32525
1804	0	0	0	50767	50767
1805	0	0	0	68911	68911
1806	0	0	0	30937	30937
1807	0	0	0	52648	52648
1808	1649	0	0	60341	61990
1809	3317	0	0	66005	69322
1810	0	0	0	31220	31220
1811	0	0	0	2471	2471
1812	2139	2137	4381	29890	38547
1813	3586	1375	3057	68772	76790
1814	0	0	0	49499	49499
1815	0	0	0	37694	37694
1816	0	0	0	22690	22690
1817	0	0	2448	32204	34652
1818	0	0	0	0	0
1819	0	0	0	0	0
1820	0	0	0	9067	9067
1821	0	0	0	20298	20298
