year	bengal	madras	bombay	china	total
1790	201	99	0	15661	15961
1791	0	0	198	23974	24172
1792	0	0	0	18653	18653
1793	0	0	0	16251	16251
1794	0	0	0	24611	24611
1795	0	0	2000	22000	24000
1796	1000	0	700	22400	24100
1797	0	0	700	20506	21206
1798	0	0	500	24047	24547
1799	0	0	226	15774	16000
1800	0	0	0	13726	13726
1801	0	0	300	13704	14004
1802	0	0	0	6031	6031
1803	0	0	0	7857	7857
1804	0	0	0	11893	11893
1805	0	0	0	16770	16770
1806	0	0	0	7500	7500
1807	0	0	0	12833	12833
1808	399	0	0	14628	15027
1809	804	0	0	16001	16805
1810	0	0	0	7568	7568
1811	0	0	0	599	599
1812	498	498	1000	6967	8963
1813	798	299	678	15633	17408
1814	0	0	0	12374	12374
1815	0	0	0	9423	9423
1816	0	0	0	6981	6981
1817	0	0	700	9209	9909
1818	0	0	0	0	0
1819	0	0	0	0	0
1820	0	0	0	2453	2453
1821	0	0	0	5738	5738
