year	bengal	madras	bombay	canton	benkulen	mocha	balambangan	total
1761	81081	6446	38208	43194	10722	36546	0	216197
1762	107248	3406	69902	6539	0	0	0	187095
1763	44571	5501	20242	10465	0	32611	0	113390
1764	86324	6451	16708	23324	0	0	0	132807
1765	53190	4392	16347	13692	0	0	0	87621
1766	76416	5451	45947	46359	6	0	0	174179
1767	176484	5369	72055	77112	163	0	0	331183
1768	140311	5421	38365	164614	0	31787	0	380498
1769	211727	3269	45266	195938	2592	30508	0	489300
1770	137494	35505	71613	67990	0	0	0	312602
1771	156466	0	16034	3687	8563	0	0	184750
1772	252131	9386	55426	40774	7702	0	0	365419
1773	173371	4024	50791	181902	0	29338	0	439426
1774	131012	6493	39256	190965	0	22071	0	389797
1775	206512	13196	55152	151080	0	27609	6	453555
1776	291796	11985	24155	107172	0	0	0	435108
1777	337572	2806	24971	104640	25567	0	0	495556
1778	682061	14665	25413	163711	14214	0	0	900064
1779	374213	4114	70047	198570	0	0	0	646944
1780	631436	17733	43842	168809	9411	0	0	871231
1781	438344	13087	28899	154438	0	0	0	634768
1782	504496	5649	26120	286311	20228	0	0	842804
1783	159434	0	0	123501	0	0	0	282935
1784	714828	0	71186	155524	11017	0	0	952555
1785	937025	6196	65393	102619	15136	0	0	1126369
1786	409432	109	95163	67513	24431	0	0	596648
1787	211720	0	0	203403	30603	0	0	445726
1788	271561	0	19855	293240	13975	0	0	598631
1789	364682	63	22428	242699	12996	0	0	642868
1790	356612	0	73161	273832	10705	0	0	714310
1791	328443	0	49828	86829	11132	0	0	476232
1792	263587	1	40289	130245	0	0	0	434122
1793	485743	5657	92904	82034	15286	0	0	681624
1794	485156	0	43246	0	12981	0	0	541383
1795	473109	3	182739	67680	0	0	0	723531
1796	748640	18006	132121	100713	27899	0	0	1027379
1797								870002
1798								938102
1799								951412
1800								629948
1801								592279
1802								540084
1803								576175
1804								635774
1805								530447
1806								688286
1807								441035
1808								614640
1809								586021
1810								378920
1811								613393
1812								1135734
1813								1245273
1814								892985
1815								1194838
1816								958360
1817								1068620
1818								608320
1819								1029477
1820								823022
1821								1227289
1822								1239876
1823								1409367
1824								1513338
1825								671267
1826								1663324
1827								1172223
1828								1611527
1829								1999619
1830								1522361
1831								1903593
1832								1531068
1833								875906
1834								1066714
