year	china
1761	6203168
1762	2932843
1763	6532887
1764	4192371
1765	4720234
1766	9900913
1767	9281880
1768	8793439
1769	6970305
1770	10212630
1771	2978611
1772	11496011
1773	14002256
1774	5966696
1775	2983914
1776	1655984
1777	2043169
1778	5549087
1779	6199283
1780	4311358
1781	3149446
1782	11780569
1783	3742386
1784	7252457
1785	10074561
1786	12270012
1787	12523299
1788	15189808
1789	21535853
1790	26174383
1791	12773050
1792	23263463
1793	8838799
1794	1678921
1795	19357915
1796	22355767
1797	15068830
1798	21802303
1799	30579275
1800	16416937
1801	31621399
1802	21382500
1803	40250255
1804	4607652
1805	26080172
1806	25642525
1807	20855321
1808	36767981
1809	9094386
1810	19100077
1811	18230721
1812	36999055
1813	34515545
1814	2590799
1815	24727393
1816	35669277
1817	23282667
1818	30465352
1819	20296092
1820	23193275
1821	26605685
1822	33296536
1823	32478272
1824	28704914
1825	25856376
1826	28504264
1827	29896404
1828	42973807
1829	24062727
1830	15420692
1831	48043806
1832	28426600
1833	28683336
1834	31293902
