year	bengal	madras	bombay	india_total	china	overall_total
1761	379779	14269	12293	406341	10300	416641
1762	403317	37550	20518	461385	4720	466105
1763	131662	42006	61370	235038	21820	256858
1764	598799	130022	88240	817061	13980	831041
1765	282294	189172	28270	499736	12060	511796
1766	261572	170925	91000	523497	12000	535497
1767	566895	178346	154770	900011	12000	912011
1768	524721	207950	46348	779019	10300	789319
1769	804926	88855	75362	969143	16000	985143
1770	657497	122767	155035	935299	29520	964819
1771	469871	93414	46115	609400	3000	612400
1772	697107	227622	131450	1056179	31400	1087579
1773	646885	281178	108297	1036360	21100	1057460
1774	547666	187505	65078	800249	14200	814449
1775	542064	283300	118563	943927	20000	963927
1776	588767	338898	18870	946535	9200	955735
1777	472864	71143	49000	593007	6200	599207
1778	811509	447480	36020	1295009	25700	1320709
1779	542904	66850	101050	710804	16000	726804
1780	473899	223854	18080	715833	17100	732933
1781	374520	173425	33197	581142	20000	601142
1782	444706	72095	34930	551731	20000	571731
1783	163823	0	0	163823	20000	183823
1784	511721	0	101898	613619	29200	642819
1785	1245176	51011	41456	1337643	8820	1346463
1786	787595	82696	0	870291	20000	890291
1787	509754	0	0	509754	32500	542254
1788	598631	42947	64260	705838	28500	734338
1789	803229	165485	64918	1033632	37200	1070832
1790	770404	183522	22948	976874	83780	1060654
1791	538748	76332	58663	673743	32000	705743
1792	595074	177868	6360	779302	48000	827302
1793	636612	171953	75386	883951	30000	913951
1794	906880	223545	32841	1163266	10000	1173266
1795	575129	265281	81073	921483	64000	985483
1796	859515	645696	69224	1574435	91000	1665435
1797	917728	512805	174486	1605019	83000	1688019
1798	283168	564232	376906	1224306	95000	1319306
1799	1335694	496317	178576	2010587	168900	2179487
1800	742122	796760	288352	1827234	136300	1963534
1801	592461	268314	176665	1037440	380800	1418240
1802	676706	618637	112957	1408300	120400	1528700
1803	626585	355960	69286	1051831	180200	1232031
1804	800624	626771	24320	1451715	55100	1506815
1805	577105	558830	82446	1218381	136960	1355341
1806	787013		140691	927704	190000	1117704
1807	267366	562739	42258	872363	187440	1059803
1808	504236	390021	109034	1003291	307220	1310511
1809	276969	292873	120297	690139	102750	792889
1810	9188	9310	28364	46862	194880	241742
1811	319198	279115	93327	691640	121130	812770
1812	926008	402126	116195	1444329	241000	1685329
1813	753645	918491	0	1672136	238400	1910536
1814	245626	317612	90521	653759	31000	684759
1815				1473503	183130	1656633
1816				628137	322700	950837
1817				1231077	131700	1362777
1818				755181	243300	998481
1819				968082	209000	1177082
1820				810950	186700	997650
1821				758397	183700	942097
1822				453731	262000	715731
1823				358931	174000	532931
1824				328578	30000	358578
1825	47703	121238	0	168941	0	168941
1826	204979	165300	0	370279	0	370279
1827	43619	133950	0	177569	0	177569
1828	110959	131310	0	242269	0	242269
1829	162649	218490	0	381139	0	381139
1830	115099	310950	0	426049	0	426049
1831	93797	194017	0	287814	0	287814
1832	99701	27120	0	126821	0	126821
1833	63836	90	0	63926	0	63926
1834	60217	0	0	60217	0	60217
