year	total
1757	2387476
1758	2277129
1759	2426461
1760	2905916
1761	3133058
1762	2567563
1763	2606008
1764	3006531
1765	3367999
1766	3157230
1767	3174719
1768	4144563
1769	4526137
1770	5515922
1771	5400975
1772	5805500
1773	4426313
1774	4289727
1775	4197123
1776	3425444
1777	3917234
1778	4378731
1779	4144283
1780	3483608
1781	3349707
1782	4591067
1783	3544097
1784	5318336
1785	6948947
1786	6032224
1787	7103868
1788	6077801
1789	7380158
1790	7954963
1791	6412487
1792	6721272
1793	5948959
1794	8451091
1795	7680066
1796	8851847
1797	9954860
1798	12420142
1799	11983226
1800	10105198
1801	11849706
1802	11234640
1803	11449370
1804	11880473
1805	13392823
1806	12735778
1807	12887803
1808	12935832
1809	13707370
1810	12328620
1811	11161620
1812	14740061
1813	19834723
1814	11935794
1815	17410783
1816	14947671
1817	12601976
1818	13952611
1819	14379093
1820	11361187
1821	11950057
1822	12237525
1823	14440196
1824	13012201
1825	13044481
1826	12587051
1827	11750536
1828	12479433
1829	13949538
1830	10109996
1831	10821146
1832	10289043
1833	11568674
1834	13202606
