year 	silver
1757	453677
1758	385580
1759	227492
1760	144190
1761	191916
1762	27802
1763	96918
1764	40016
1765	466547
1766	314177
1767	1356
1768	50000
1769	162708
1770	373056
1771	330757
1772	250279
1773	40312
1774	11883
1775	210278
1776	10416
1777	108444
1778	11057
1779	10615
1780	10178
1781	15645
1782	1037
1783	1101
1784	263
1785	500
1786	724080
1787	752746
1788	649462
1789	486964
1790	786476
1791	533057
1792	533166
1793	16005
1794	10238
1795	0
1796	38451
1797	83744
1798	428038
1799	1390279
1800	241638
1801	496613
1802	587577
1803	1754178
1804	856181
1805	1587808
1806	1264604
1807	1489
1808	281075
1809	679
1810	0
1811	0
1812	0
1813	0
1814	0
1815	101009
1816	1093585
1817	116080
1818	100300
1819	1001989
1820	551242
1821	262
