year	total
1757	2376183
1758	2261486
1759	2359468
1760	2895696
1761	3284704
1762	2585858
1763	2286343
1764	3126665
1765	3394020
1766	3346182
1767	3152067
1768	4033743
1769	4331629
1770	5599165
1771	5336993
1772	5671443
1773	4058862
1774	4400446
1775	4304368
1776	3585933
1777	3998755
1778	4220745
1779	4046973
1780	3256433
1781	3527451
1782	4704115
1783	3747558
1784	5053821
1785	6783022
1786	6361899
1787	7057906
1788	5780411
1789	7453299
1790	7987899
1791	6360995
1792	7316223
1793	5940161
1794	8508917
1795	7431850
1796	9029291
1797	9888779
1798	12099345
1799	11395266
1800	10002362
1801	11637184
1802	11154419
1803	12583184
1804	11784288
1805	11478093
1806	13070234
1807	11723036
1808	12063988
1809	14068039
1810	11447723
1811	14329396
1812	15669514
1813	18898760
1814	12469413
1815	13900124
1816	16081029
1817	12456438
1818	13273002
1819	13672272
1820	11356471
1821	13263493
1822	12419285
1823	12348170
1824	14453747
1825	13687005
1826	13423824
1827	12298186
1828	12359846
1829	10157957
1830	10386158
1831	10544471
1832	9500327
1833	9921619
1834	14693755
