month	price
Jan. 1755	175.5
Feb. 1755	177
Mar. 1755	173.25
Apr. 1755	173.75
May 1755	175
Jun. 1755	175
Jul. 1755	167
Aug. 1755	166
Sep. 1755	167.25
Oct. 1755	165.75
Nov. 1755	148.75
Dec. 1755	148.75
Jan. 1756	141.75
Feb. 1756	142.75
Mar. 1756	142.5
Apr. 1756	142
May 1756	138.75
Jun. 1756	137
Jul. 1756	133.75
Aug. 1756	133.25
Sep. 1756	133.25
Oct. 1756	133.75
Nov. 1756	134.5
Dec. 1756	136
Jan. 1757	133
Feb. 1757	136
Mar. 1757	137.5
Apr. 1757	139.5
May 1757	142
Jun. 1757	133
Jul. 1757	133.5
Aug. 1757	134.5
Sep. 1757	141.75
Oct. 1757	140.5
Nov. 1757	141.5
Dec. 1757	141.25
Jan. 1758	138.5
Feb. 1758	148
Mar. 1758	148
Apr. 1758	147.25
May 1758	146.75
Jun. 1758	146
Jul. 1758	137
Aug. 1758	133.25
Sep. 1758	135.5
Oct. 1758	134.25
Nov. 1758	136.5
Dec. 1758	136
Jan. 1759	134
Feb. 1759	134.25
Mar. 1759	132
Apr. 1759	129.25
May 1759	128.5
Jun. 1759	125.75
Jul. 1759	121.5
Aug. 1759	125
Sep. 1759	126.25
Oct. 1759	130.5
Nov. 1759	133.75
Dec. 1759	139.5
Jan. 1760	133.5
Feb. 1760	133.5
Mar. 1760	137
Apr. 1760	137.5
May 1760	137
Jun. 1760	140
Jul. 1760	136
Aug. 1760	139
Sep. 1760	140.5
Oct. 1760	142.25
Nov. 1760	139
Dec. 1760	140
Jan. 1761	136.75
Feb. 1761	134.25
Mar. 1761	137
Apr. 1761	143
May 1761	144.25
Jun. 1761	143
Jul. 1761	141.5
Aug. 1761	134
Sep. 1761	133
Oct. 1761	128.5
Nov. 1761	125
Dec. 1761	123.5
Jan. 1762	112
Feb. 1762	114.5
Mar. 1762	115.5
Apr. 1762	117.25
May 1762	118.5
Jun. 1762	118
Jul. 1762	122
Aug. 1762	140
Sep. 1762	142
Oct. 1762	140
Nov. 1762	153.5
Dec. 1762	161.75
Jan. 1763	158
Feb. 1763	170
Mar. 1763	170
Apr. 1763	172
May 1763	170.5
Jun. 1763	173.5
Jul. 1763	163
Aug. 1763	162
Sep. 1763	156.5
Oct. 1763	154.5
Nov. 1763	155
Dec. 1763	162
Jan. 1764	156.75
Feb. 1764	156
Mar. 1764	152.5
Apr. 1764	153.5
May 1764	148
Jun. 1764	151
Jul. 1764	146
Aug. 1764	146.5
Sep. 1764	145.75
Oct. 1764	148.25
Nov. 1764	150.5
Dec. 1764	156.5
Jan. 1765	151.75
Feb. 1765	150.5
Mar. 1765	152.5
Apr. 1765	154.5
May 1765	154.75
Jun. 1765	159.5
Jul. 1765	156.5
Aug. 1765	159.5
Sep. 1765	164.5
Oct. 1765	164.25
Nov. 1765	164.5
Dec. 1765	166.75
Jan. 1766	165.5
Feb. 1766	164.75
Mar. 1766	163
Apr. 1766	178.5
May 1766	188.75
Jun. 1766	187.75
Jul. 1766	213
Aug. 1766	205
Sep. 1766	219
Oct. 1766	219
Nov. 1766	219.5
Dec. 1766	222.75
Jan. 1767	229
Feb. 1767	232.5
Mar. 1767	245.25
Apr. 1767	255
May 1767	243
Jun. 1767	251
Jul. 1767	252.75
Aug. 1767	270
Sep. 1767	263.75
Oct. 1767	268
Nov. 1767	262.5
Dec. 1767	265.25
Jan. 1768	262.25
Feb. 1768	266.5
Mar. 1768	274.75
Apr. 1768	268.25
May 1768	273
Jun. 1768	277.5
Jul. 1768	266
Aug. 1768	274.5
Sep. 1768	274.25
Oct. 1768	272.5
Nov. 1768	269.5
Dec. 1768	276.5
Jan. 1769	273
Feb. 1769	274.25
Mar. 1769	276.5
Apr. 1769	273.75
May 1769	230
Jun. 1769	241
Jul. 1769	230
Aug. 1769	226.5
Sep. 1769	225
Oct. 1769	224.25
Nov. 1769	219
Dec. 1769	220.5
Jan. 1770	205.5
Feb. 1770	219.75
Mar. 1770	226.75
Apr. 1770	226.5
May 1770	229.5
Jun. 1770	221.5
Jul. 1770	217.5
Aug. 1770	218.5
Sep. 1770	196.25
Oct. 1770	193.5
Nov. 1770	183.5
Dec. 1770	185.5
Jan. 1771	213
Feb. 1771	230
Mar. 1771	216.5
Apr. 1771	227.5
May 1771	225.5
Jun. 1771	225.75
Jul. 1771	216
Aug. 1771	216.5
Sep. 1771	211
Oct. 1771	217.5
Nov. 1771	217.5
Dec. 1771	224
Jan. 1772	218.25
Feb. 1772	214.25
Mar. 1772	215
Apr. 1772	213.25
May 1772	225
Jun. 1772	213.25
Jul. 1772	211.75
Aug. 1772	207.75
Sep. 1772	189.5
Oct. 1772	182
Nov. 1772	165.75
Dec. 1772	161.5
Jan. 1773	159
Feb. 1773	163
Mar. 1773	153
Apr. 1773	147
May 1773	143
Jun. 1773	146.25
Jul. 1773	150
Aug. 1773	151.75
Sep. 1773	153.5
Oct. 1773	146.5
Nov. 1773	139.5
Dec. 1773	140.25
Jan. 1774	139
Feb. 1774	139.25
Mar. 1774	141.75
Apr. 1774	145
May 1774	152.25
Jun. 1774	153.75
Jul. 1774	149
Aug. 1774	147.5
Sep. 1774	148
Oct. 1774	147
Nov. 1774	149.5
Dec. 1774	153.75
Jan. 1775	152.75
Feb. 1775	155.5
Mar. 1775	156.25
Apr. 1775	155
May 1775	154.5
Jun. 1775	155
Jul. 1775	151
Aug. 1775	153.5
Sep. 1775	155.75
Oct. 1775	156.75
Nov. 1775	165
Dec. 1775	166
Jan. 1776	165
Feb. 1776	162.75
Mar. 1776	161.25
Apr. 1776	161.75
May 1776	160.5
Jun. 1776	162.75
Jul. 1776	159.75
Aug. 1776	166.25
Sep. 1776	169
Oct. 1776	164.5
Nov. 1776	171.25
Dec. 1776	173
Jan. 1777	168.5
Feb. 1777	167.5
Mar. 1777	165.75
Apr. 1777	165.5
May 1777	167.5
Jun. 1777	166.5
Jul. 1777	156.75
Aug. 1777	161.5
Sep. 1777	163.75
Oct. 1777	166.25
Nov. 1777	167
Dec. 1777	161
Jan. 1778	154
Feb. 1778	144.75
Mar. 1778	128.5
Apr. 1778	128
May 1778	134.5
Jun. 1778	135.25
Jul. 1778	130.75
Aug. 1778	137
Sep. 1778	138
Oct. 1778	144
Nov. 1778	139.5
Dec. 1778	138
Jan. 1779	139.5
Feb. 1779	140
Mar. 1779	153.5
Apr. 1779	155.5
May 1779	151.75
Jun. 1779	141.75
Jul. 1779	139.25
Aug. 1779	139.75
Sep. 1779	143.75
Oct. 1779	144.25
Nov. 1779	144.5
Dec. 1779	145.75
Jan. 1780	146.5
Feb. 1780	153.25
Mar. 1780	154.75
Apr. 1780	156.25
May 1780	152
Jun. 1780	153.25
Jul. 1780	151.25
Aug. 1780	151.5
Sep. 1780	149.25
Oct. 1780	152.75
Nov. 1780	153.25
Dec. 1780	152.75
Jan. 1781	148.25
Feb. 1781	147
Mar. 1781	147.5
Apr. 1781	146.5
May 1781	144.25
Jun. 1781	149
Jul. 1781	133
Aug. 1781	139.5
Sep. 1781	138.5
Oct. 1781	139.5
Nov. 1781	140.25
Dec. 1781	139.5
Jan. 1782	134.5
Feb. 1782	132.25
Mar. 1782	134.75
Apr. 1782	139
May 1782	138
Jun. 1782	137.5
Jul. 1782	128.25
Aug. 1782	127.75
Sep. 1782	129.25
Oct. 1782	133.25
