year	personal	attorney	total
1755	686609	182493	869102
1756	378547	157766	536313
1757	594041	241659	835700
1758	736767	180802	917569
1759	343918	110777	454695
1760	391232	137592	528824
1761	475057	265179	740236
1762	317454	143760	461214
1763	1220586	416642	1637228
1764	1111183	376563	1487746
1765	1106873	315650	1422523
1766	3083466	1014285	4097751
1767	3545121	918065	4463186
1768	2078626	568096	2646722
1769	2469956	649926	3119882
1770	1559333	509489	2068822
1771	1930702	620622	2551324
1772	1878377	592306	2470683
1773	1334370	608103	1942473
1774	601373	244155	845528
1775	652824	189147	841971
1776	527295	253911	781206
1777	498494	181145	679639
1778	385513	167560	553073
1779	388272	162648	550920
1780	380871	166616	547487
1781	456843	205268	662111
1782	563073	163511	726584
1783	553643	180693	734336
1784	365070	153207	518277
1785	407223	167933	575156
1786	547031	146996	694027
1787	927384	184778	1112162
1788	738109	290657	1028766
1789	787451	254005	1041456
1790	1188751	238142	1426893
1791	1921288	635856	2557144
1792	2739984	626227	3366211
1793	2167529	472995	2640524
1794	1393286	329382	1722668
1795	954882	234824	1189706
1796	1033624	331915	1365539
1797	485238	195052	680290
1798	609696	256192	865888
1799	582314	268315	850629
1800	747839	183260	931099
1801	521515	194067	715582
1802	655239	267702	922941
1803	596842	302261	899103
1804	491335	228030	719365
1805	498796	166712	665508
1806	549664	219720	769384
1807	551602	161952	713554
1808	643953	214745	858698
1809	552600	243489	796089
1810	494001	196944	690945
1811	507411	168236	675647
1812	348011	165749	513760
1813	363974	145948	509922
1814	475342	240786	716128
1815	389544	178796	568340
1816	503800	239400	743200
1817	729267	358680	1087947
1818	392217	213964	606181
1819	421735	156791	578526
1820	497873	195632	693505
1821	511464	193626	705090
1822	629046	250571	879617
1823	724718	221601	946319
1824	568950	250993	819943
1825	740702	217795	958497
1826	718174	271407	989581
1827	551451	209613	761064
1828	630799	160647	791446
1829	739601	215238	954839
1830	680679	244369	925048
1831	544392	199612	744004
1832	541955	226590	768545
1833	1344156	404799	1748955
1834	1295588	372685	1668273
