month 	personal	attorney	total
Jan. 1755	28545	4160	32705
Feb. 1755	118908	10805	129713
Mar. 1755	40600	2250	42850
Apr. 1755	49179	17307	66486
May 1755	115036	42698	157734
Jun. 1755	25523	4201	29724
Jul. 1755	17389	4850	22239
Aug. 1755	98922	44620	143542
Sep. 1755	13350	4685	18035
Oct. 1755	24919	3567	28486
Nov. 1755	113438	20500	133938
Dec. 1755	40800	22850	63650
Jan. 1756	23950	14300	38250
Feb. 1756	63892	20496	84388
Mar. 1756	32600	7700	40300
Apr. 1756	16740	17700	34440
May 1756	68516	23973	92489
Jun. 1756	21030	4633	25663
Jul. 1756	17950	12450	30400
Aug. 1756	43902	27750	71652
Sep. 1756	22090	6700	28790
Oct. 1756	15950	6864	22814
Nov. 1756	19177	1700	20877
Dec. 1756	32750	13500	46250
Jan. 1757	14805	4880	19685
Feb. 1757	24442	30700	55142
Mar. 1757	46900	2100	49000
Apr. 1757	22880	17084	39964
May 1757	37671	19100	56771
Jun. 1757	100154	18888	119042
Jul. 1757	22196	45620	67816
Aug. 1757	106901	61100	168001
Sep. 1757	48000	8900	56900
Oct. 1757	40409	8000	48409
Nov. 1757	97283	21425	118708
Dec. 1757	32400	3862	36262
Jan. 1758	21550	5000	26550
Feb. 1758	159612	30800	190412
Mar. 1758	17000	5700	22700
Apr. 1758	56413	39301	95714
May 1758	84217	22542	106759
Jun. 1758	55377	12207	67584
Jul. 1758	51548	13588	65136
Aug. 1758	114885	24053	138938
Sep. 1758	43798	7325	51123
Oct. 1758	30850	4640	35490
Nov. 1758	72321	10021	82342
Dec. 1758	29196	5625	34821
Jan. 1759	23450	5014	28464
Feb. 1759	47920	15125	63045
Mar. 1759	17947	5600	23547
Apr. 1759	26150	27650	53800
May 1759	38300	13100	51400
Jun. 1759	23650	1950	25600
Jul. 1759	11550	6350	17900
Aug. 1759	37627	6800	44427
Sep. 1759	18275	2750	21025
Oct. 1759	26462	6683	33145
Nov. 1759	44177	7850	52027
Dec. 1759	28410	11905	40315
Jan. 1760	25330	13700	39030
Feb. 1760	70440	21667	92107
Mar. 1760	8160	8900	17060
Apr. 1760	23191	18800	41991
May 1760	47679	19950	67629
Jun. 1760	17775	1837	19612
Jul. 1760	21175	16997	38172
Aug. 1760	52235	11100	63335
Sep. 1760	18845	1791	20636
Oct. 1760	34050	4900	38950
Nov. 1760	23567	1550	25117
Dec. 1760	48785	16400	65185
Jan. 1761	9058	17510	26568
Feb. 1761	44358	22556	66914
Mar. 1761	70446	24420	94866
Apr. 1761	72350	22923	95273
May 1761	77983	21952	99935
Jun. 1761	32490	13238	45728
Jul. 1761	33600	13733	47333
Aug. 1761	28805	35697	64502
Sep. 1761	13901	16000	29901
Oct. 1761	30276	21040	51316
Nov. 1761	49540	8810	58350
Dec. 1761	12250	47300	59550
Jan. 1762	26083	9500	35583
Feb. 1762	52308	20050	72358
Mar. 1762	14741	7540	22281
Apr. 1762	24471	12583	37054
May 1762	29395	6580	35975
Jun. 1762	8055	4575	12630
Jul. 1762	7500	16368	23868
Aug. 1762	29347	12650	41997
Sep. 1762	19675	9300	28975
Oct. 1762	30405	8940	39345
Nov. 1762	46752	24514	71266
Dec. 1762	28722	11160	39882
Jan. 1763	21000	12040	33040
Feb. 1763	112675	72450	185125
Mar. 1763	407285	103850	511135
Apr. 1763	123017	21825	144842
May 1763	221846	78050	299896
Jun. 1763	78495	12830	91325
Jul. 1763	18900	4417	23317
Aug. 1763	77838	34900	112738
Sep. 1763	38186	22480	60666
Oct. 1763	27233	5200	32433
Nov. 1763	72850	24300	97150
Dec. 1763	21261	24300	45561
Jan. 1764	80699	22100	102799
Feb. 1764	154742	64867	219609
Mar. 1764	198534	101766	300300
Apr. 1764	63595	44500	108095
May 1764	159109	56017	215126
Jun. 1764	157740	7549	165289
Jul. 1764	52011	12790	64801
Aug. 1764	79052	22200	101252
Sep. 1764	19802	6810	26612
Oct. 1764	44745	11745	56490
Nov. 1764	58104	23719	81823
Dec. 1764	43050	2500	45550
Jan. 1765	36650	9650	46300
Feb. 1765	171200	69275	240475
Mar. 1765	160950	57200	218150
Apr. 1765	143609	38892	182501
