ship_id;voyage_id;stop_id;raw;year;month;day;location;special
1;1;1;Downs 27 May 1819;1819;5;27;Downs;False
1;1;2;30 Sep Bengal;1819;9;30;Bengal;False
1;1;3;29 Dec Narsipur;1819;12;29;Narsipur;False
1;1;4;3 Jan 1820 Madras;1820;1;3;Madras;False
1;1;5;22 Mar St Helena;1820;3;22;St Helena;False
1;1;6;13 May East India Dock;1820;5;13;East India Dock;False
1;2;1;Downs 25 May 1829;1829;5;25;Downs;False
1;2;2;21 Sep Hugh;1829;9;21;Hugh;False
1;2;3;14 Oct Calcutta;1829;10;14;Calcutta;False
1;2;4;29 Jan 1824 Saugor;1824;1;29;Saugor;False
1;2;5;2 Apr St Helena;1824;4;2;St Helena;False
1;2;6;17 Jun East India Dock;1824;6;17;East India Dock;False
1;3;1;Downs 23 May 1826;1826;5;23;Downs;False
1;3;2;17 Sep Madras;1826;9;17;Madras;False
1;3;3;25 Oct Calcutta;1826;10;25;Calcutta;False
1;3;4;18 Jan 1827 Madras;1827;1;18;Madras;False
1;3;5;7 Apr St Helena;1827;4;7;St Helena;False
1;3;6;1 Jun Blackwall;1827;6;1;Blackwall;False
1;4;1;Downs 23 Jun 1828;1828;6;23;Downs;False
1;4;2;14 Sep Cape;1828;9;14;Cape;False
1;4;3;1 Dec Bengal;1828;12;1;Bengal;False
1;4;4;15 Jun 1829 St Helena;1829;6;15;St Helena;False
1;4;5;17 Aug East India Dock;1829;8;17;East India Dock;False
2;1;1;Downs 13 Jan 1826;1826;1;13;Downs;False
2;1;2;3 May Bombay;1826;5;3;Bombay;False
2;1;3;15 Jul Singapore;1826;7;15;Singapore;False
2;1;4;31 Jul Whampoa;1826;7;31;Whampoa;False
2;1;5;25 Jan 1827 St Helena;1827;1;25;St Helena;False
2;1;6;16 Mar Blackwall;1827;3;16;Blackwall;False
2;2;1;Downs 21 Feb 1828;1828;2;21;Downs;False
2;2;2;5 Jun Bombay;1828;6;5;Bombay;False
2;2;3;3 Sep Malacca;1828;9;3;Malacca;False
2;2;4;26 Sep Whampoa;1828;9;26;Whampoa;False
2;2;5;12 Dec Macao;1828;12;12;Macao;False
2;2;6;22 Feb 1829 St Helena;1829;2;22;St Helena;False
2;2;7;20 Apr Blackwall;1829;4;20;Blackwall;False
2;3;1;Downs 22 Jan 1830;1830;1;22;Downs;False
2;3;2;15 May Bombay;1830;5;15;Bombay;False
2;3;3;2 Sep Kowloon;1830;9;2;Kowloon;False
2;3;4;19 Sep Whampoa;1830;9;19;Whampoa;False
2;3;5;27 Jan 1831 Cape;1831;1;27;Cape;False
2;3;6;19 Feb St Helena;1831;2;19;St Helena;False
2;3;7;12 Apr Blackwall;1831;4;12;Blackwall;False
2;4;1;Portsmouth 20 Mar 1832;1832;3;20;Portsmouth;False
2;4;2;19 Jun Bombay;1832;6;19;Bombay;False
2;4;3;22 Sep Whampoa;1832;9;22;Whampoa;False
2;4;4;Second Bar 27 Oct;1832;10;27;Second Bar;False
2;4;5;13 Apr 1833 Blackwall;1833;4;13;Blackwall;False
3;1;1;Kedgeree 1 Feb 1796;1796;2;1;Kedgeree;False
3;1;2;23 Apr St Helena;1796;4;23;St Helena;False
