name,info,voyage_1,voyage_2,voyage_3,voyage_4,voyage_5,voyage_6,voyage_7,voyage_8,voyage_9
BANGALORE,"['Built by Gillet at Calcutta 1792, 206 tons']","{'time': '1796', 'destination': 'From Bengal', 'reference': ['L/MAR/B/424A Journal 15 Feb 1796-16 Jan 1797 '], 'captain': 'James Frayer', 'itinerary': 'Calcutta 15 Feb 1796 - left Bengal 22 Mar - 4 Jul St Helena - 27 Nov Crookhaven -17 Dec Blackwall'}",,,,,,,,
BANTAM,"['Pink, 25 crew, 100 tons']","{'time': ['1667', '1668'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'William Barker/Bartholomew Partree', 'itinerary': 'Oct 1667 - Surat - Bantam - sent for Taiwan Aug 1670 & Jun 1671 - lost at sea during second attempt'}",,,,,,,,
BARBADOS MERCHANT,[],"{'time': ['1659', '1660'], 'destination': 'Guinea and Madras', 'reference': [], 'captain': 'Charles Wylde', 'itinerary': 'Downs 4 Dec 1659 - 21 Jan 1660 Guinea - 6 Jul Madras - Masulipatam - Bantam - sailed for England 28 Nov 1661'}",,,,,,,,
BARING (1),"['Built by Barnard, launched 1801, 3 decks, 4in bottom, length 146ft VAin, keel 118ft 8in, breadth 36ft V^in, hold 14ft 9in, wing transom 23ft 4in, port cell 26ft 9in, waist 1ft 6in, between decks 6ft 6in & 6ft 4in, ports 13 middle & 12 upper, deck range 83ft 6in, 820 tons Principal Managing Owners: 1 Robert Chamock, 2 John Rogers, 3-6 George Fraser']","{'time': ['1801', '1802'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/246A Journal 8 Dec 1801-21 Jan 1804', 'L/MAR/B/246H(1) Ledger', 'L/MAR/B/246H(2) Pay Book'], 'captain': 'Dixon Meadows', 'itinerary': 'Portsmouth 1 Mar 1802 - 14 Mar Madeira - 5 Jul Madras -17 Jul Diamond Harbour -12 Jan 1803 Saugor -13 Mar Madras - 8 Aug St Helena -1 Dec Cork -15 Dec Long Reach'}","{'time': ['1803', '1804'], 'destination': 'Bengal and Madras', 'reference': ['L/MAR/B/246B Journal 21 Mar-9 Jul 1806', 'L/MAR/B/246-I(l) Ledger', 'L/MAR/B/246-I(2) Pay Book'], 'captain': 'Dixon Meadows', 'itinerary': 'Portsmouth 10 Jul 1804 - Bengal - Madras - St Helena 21 Mar 1806 - 14 Jun Downs'}","{'time': ['1806', '1807'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/246C Journal 9 Dec 1806-30 May 1808', 'L/MAR/B/246J(1) Ledger', 'L/MAR/B/246J(2) Pay Book'], 'captain': 'James Carnegie', 'itinerary': 'Portsmouth 4 Mar 1807 - 5 Jul Madras - 29 Jul Saugor - 22 Oct Madras - 30 Dec Cape - 25 Jan 1808 St Helena -11 Apr Purfleet'}","{'time': ['1808', '1809'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/246D Journal 3 Dec 1808-30 Aug 1810', 'L/MAR/B/246K(1) Ledger', 'L/MAR/B/246K(2) Pay Book'], 'captain': 'James Carnegie', 'itinerary': 'Portsmouth 24 Feb 1809 - 8 Mar Madeira - 5 Jul Madras -19 Jul Diamond Harbour -17 Oct Saugor - 31 Dec Vizagapatam -13 Jan Madras - 3 Feb Colombo - 3 May St Helena - 8 Jul Long Reach'}","{'time': ['1810', '1811'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/246F Journal 10 Jan 1811-18 Sep 1812', 'L/MAR/B/246M(1) Ledger', 'L/MAR/B/246M(2) Pay Book'], 'captain': 'James Carnegie', 'itinerary': 'Torbay 12 May 1811-10 Sep Madras -15 Oct Diamond Harbour - 6 Dec Saugor - 8 Jan Vizagapatam - 25 Jan Madras -11 May St Helena - 25 Jul Gravesend'}","{'time': ['1812', '1813'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/246G Journal 28 Nov 1812-4 Jun 1814', 'L/MAR/B/246N(1) Ledger', 'L/MAR/B/246N(2) Pay Book'], 'captain': 'James Carnegie', 'itinerary': 'Portsmouth 29 Jan 1813 -19 Feb Madeira - 8 May Cape - 5 Jul Madras -13 Aug Diamond Harbour - 29 Oct Saugor - 29 Dec Point de Galle -1 Mar 1814 Cape -18 Mar St Helena -1 Jun Long Reach'}",,,
BARING (2),"['Extra ship, built at Calcutta 1805, 2 decks, 4in bottom, length 138fl 8in, keel 111ft 91/2in, breadth 35ft Sin, hold 16ft lin, wing transom 21ft llin, port cell 27ft lin, waist 1ft 2in, between decks 6ft lin, roundhouse 6ft 3in, ports 10 upper, 756 tons Principal Managing Owner: Thomas G Murray']","{'time': ['1810', '1811'], 'destination': 'Bengal', 'reference': ['L/MAR/B/246E Journal 10 Apr 1811-18 Dec 1812', 'L/MAR/B/246L(1) Ledger', 'L/MAR/B/246L(2) Pay Book'], 'captain': 'Henry Templer', 'itinerary': 'Portsmouth 27 Jul 1811 -14 Aug Madeira - 23 Oct Cape -13 Jan 1812 Diamond Harbour - 23 Apr Saugor - 8 Jul Madras -11 Sep St Helena -11 Nov Gravesend'}",,,,,,,,
BARKWORTH,"['Extra ship, built at Hull 1811, 2 decks, 4in bottom, length 115ft 9in, keel 91ft lOin, breadth 32ft 2in, hold 14ft lOin, wing transom 18ft 6in, port cell 24ft 4in, waist 7in, between decks 6ft 63/4in, ports 8 upper, 505 tons', 'Principal Managing Owner: John Barkworth']","{'time': ['1815', '1816'], 'destination': 'St Helena and China', 'reference': ['L/MAR/B/194A Journal 15 Jan 1816-29 Aug 1817', 'L/MAR/B/194B(1) Ledger', 'L/MAR/B/194B(2) Pay Book'], 'captain': 'Thomas Lynn', 'itinerary': 'Downs 24 Mar 1816 -10 Jun St Helena - 30 Sep Batavia - 7 Jan 1815 Whampoa - 23 Mar off North Island - 7 Jun St Helena -11 Aug Northfleet'}",,,,,,,,
BARNARDISTON,"['2 decks, length 83ft, breadth 28ft 6in, hold 12ft 6in, between decks 5ft lOin, 20/30 guns, 60/72 crew, 350/400 tons', 'Downs 7 Nov 1674 -10 Mar 1676 Downs', 'BL: Sloane Ms 854 Journal 25 Apr 1684-10 May 1685, Jacob Bevan ']","{'time': ['1671', '1672'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Capt William Baker Feb 1672 - Aug 1673'}","{'time': ['1674', '1675'], 'destination': 'Bantam and Taiwan ', 'reference': [], 'captain': 'William Baker'}","{'time': ['1676', '1677'], 'destination': 'Bantam', 'reference': [], 'captain': 'William Baker', 'itinerary': 'Down 2 Dec 1672 - 6 Jan 1678 Downs'}","{'time': ['1680', '1681'], 'destination': 'Bantam', 'reference': ['L/MAR/A/LXXVI Journal 30 Aug 1680-18 Jan 1682, Chief Mate Thomas Parramore (inc sketches)'], 'captain': 'John Slade', 'itinerary': 'Downs 7 Sep 1680 - 1 Mar 1681 Bantam - 4 Nov St Helena -13 Jan 1682 Downs'}","{'time': ['1681', '1682'], 'destination': 'Surat', 'reference': [], 'captain': 'Thomas Parramore', 'itinerary': 'Downs 23 Apr 1682 - 15 Jul 1683 Downs'}","{'time': ['1683', '1684'], 'destination': 'Surat and Bandar Abbas', 'reference': [], 'captain': 'Thomas Parramore', 'itinerary': 'Downs 21 Apr 1684 - 23 May Sao Tiago - Nov Karwar - Feb 1685 Surat - May off Persian coast - 16 Sep 1686 Downs'}",,,
BARRINGTON,"['440/450 tons, 30 guns, 88/90 crew']","{'time': ['1722', '1723'], 'destination': 'Mokha', 'reference': ['L/MAR/B/685A Journal 24 Aug 1722-12 Mar 1724', 'L/MAR/B/685C(1) Ledger', 'L/MAR/B/685C(2) Pay Book'], 'captain': 'John Hunter', 'itinerary': 'Downs 25 Nov 1722 - 28 Mar 1724 Cape - 24 May Mokha - 30 Aug Goa - 6 Sep Karwar -17 Sep Tellicheny - 25 Sep Cochin - 4 Dec Cape -1 Jan 1724 St Helena -12 Mar Margate'}","{'time': ['1725', '1726'], 'destination': 'Mokha and Bombay', 'reference': ['L/MAR/B/685B Journal 18 Oct 1725-5 Sep 1727, Chief Mate John Flower', 'L/MAR/B/685D(1) Ledger', 'L/MAR/B/685D(2) Pay Book'], 'captain': 'John Hunter', 'itinerary': 'Downs 11 Nov 1725 - 24 Jan 1726 Cape - 8 Mar Mozambique - 29 Apr Mokha - 2 Jun Bombay - 6 Sep Fort St David - 8 Sep Madras - 23 Sep Balasore -1 Oct Rogues River - 5 Feb 1727 Balasore - 6 Jun St Helena - 5 Sep Downs'}","{'time': ['1729', '1730'], 'destination': 'Mokha', 'reference': ['L/MAR/B/685E(1) Imprest Book', 'L/MAR/B/685E(2) Receipt Book'], 'captain': 'John Hunter', 'itinerary': '13 Dec 1729 - lost going into Bombay'}",,,,,,
BARROSA,"['Chartered ship, built at Cossipore 1811, 968 tons', 'Principal Managing Owners: 1-3 John William Buckle, 4-5 Buckle & Co, 6 John Clarkson']","{'time': '1812', 'destination': 'From Bengal', 'reference': ['L/MAR/B/99A Journal 1 Mar-26 Dec 1812', 'L/MAR/B/99B Journal 1 Mar-31 Dec 1812, anon'], 'captain': 'Benjamin Fergusson', 'itinerary': 'Calcutta 1 Mar 1812 - Saugor 10 May -12 Jun Madras - 6 Sep St Helena - 6 Nov Downs'}","{'time': ['1818', '1819'], 'destination': 'Bombay', 'reference': ['L/MAR/B/99C Deck Log 25 Mar 1819-10 Aug 1820'], 'captain': 'Henry Hutchinson', 'itinerary': 'Downs 5 May 1819 -12 Aug Cape - 9 Oct Bombay 11 Jan 1820 - 2 Apr Cape - 21 Apr St Helena - 9 Jul Purfleet'}","{'time': ['1820', '1821'], 'destination': 'Bengal', 'reference': ['L/MAR/B/99D Deck Log 17 May 1821-12 Jun 1822'], 'captain': 'Henry Hutchinson', 'itinerary': 'Downs 21 Jun 1821 -17 Nov Diamond Harbour - 6 Dec Calcutta -18 Feb 1822 Vizagapatam - 16 Mar Madras - 5 Nov Moorings'}","{'time': ['1826', '1827'], 'destination': 'China', 'reference': ['L/MAR/B/99E Deck Log 20 Mar 1827-15 Apr 1828'], 'captain': 'Henry Hutchinson', 'itinerary': 'Downs 16 Apr 1827 - 3 Sep Whampoa - 30 Oct Second Bar -14 Jan 1828 St Helena - 25 Mar Blackwall'}","{'time': ['1828', '1829'], 'destination': 'Bengal', 'reference': ['L/MAR/B/99F Deck Log 12 Jun-20 Dec 1828'], 'captain': 'Henry Hutchinson', 'itinerary': 'East India Dock 12 Jun 1828 - 10 Dec Calcutta'}","{'time': ['1831', '1833'], 'destination': 'China and Quebec', 'reference': ['L/MAR/B/99G Deck Log 18 May 1832-4 Jul 1833'], 'captain': 'Orlando Hart Wilson', 'itinerary': 'Downs 10 Jun 1832 - 29 Oct Whampoa - 24 Jan 1833 Second Bar -18 Jun Quebec - 5 Sep Moorings'}",,,
HARWELL (1),"['Built by Wells, launched 1782, 3 decks, 4in bottom, length 145ft 7in, keel 118ft 4in, breadth 35ft 7in, hold 14ft 9in, wing transom 23ft 71 2 3/4in, port cell 26ft 4in, waist 1ft 23/4in, between decks 6ft & 6ft 5in, roundhouse 6ft 4in, ports 13 middle & upper, 797 tons Principal Managing Owner: Sir Richard Neave']","{'time': ['1782', '1783'], 'destination': 'Madras and Bengal ', 'reference': ['L/MAR/B/420A Journal 23 Sep 1782-11 Sep 1784 ', 'L/MAR/B/420H(1) Ledger ', 'L/MAR/B/420H(2) Pay Book'], 'captain': 'Robert Carr', 'itinerary': 'Portsmouth 11 Mar 1783 - 19 Jun Johanna - 22 Jul Madras -14 Sep Kedgeree - 31 Dec Saugor - 28 Apr 1784 St Helena - 2 Aug Deptford'}","{'time': ['1784', '1785'], 'destination': 'China', 'reference': ['L/MAR/B/420B Journal 12 Jan 1785-7 Sep 1786, Chief Mate Andrew Patton ', 'L/MAR/B/420-I(l) Ledger ', 'L/MAR/B/420-I(2) Pay Book Capt Robert Carr'], 'captain': [], 'itinerary': 'Downs 12 Mar 1785 - 21 Sep Whampoa -14 Jan 1786 Second Bar - 6 May St Helena -10 Aug Deptford'}","{'time': ['1787', '1788'], 'destination': 'China', 'reference': ['L/MAR/B/420C Journal 27 Sep 1787-30 Apr 1789 ', 'L/MAR/B/420J(1) Ledger ', 'L/MAR/B/420J(2) Pay Book Capt Thomas Welladvice'], 'captain': [], 'itinerary': 'Portsmouth 21 Dec 1787 - 5 May 1788 Madras -15 Jul Benkulen -15 Sep Whampoa - 29 Nov Second Bar - 5 Feb 1789 Cape -14 Feb 1789 Cape -14 Feb St Helena - 4 Apr Long Reach'}","{'time': ['1789', '1790'], 'destination': '', 'reference': ['L/MAR/B/420D Journal 30 Nov 1789-29 Jul 1791', 'L/MAR/B/420K(1) Ledger', 'L/MAR/B/420K(2) Pay Book'], 'captain': 'Thomas Welladvice', 'itinerary': 'Downs 18 Jan 1790 - 15 May Bombay - 6 Aug Whampoa -15 Nov Second Bar -10 Apr 1791 Cape - 28 Apr St Helena - 29 Jun Long Reach'}","{'time': '', 'destination': '   5 1792/3 Bombay', 'reference': ['L/MAR/B/420E Journal 7 Feb 1793-6 Oct 1794', 'L/MAR/B/420L(1) Ledger', 'L/MAR/B/420L(2) Pay Book'], 'captain': 'Thomas Welladvice', 'itinerary': 'Portsmouth 22 May 1793 - 26 Aug Johanna -17 Sep Bombay - 26 Oct Tellicheny -12 Nov Anjengo - 15 Nov Quilon - 27 Nov Cochin -1 Dec Calicut - 4 Dec Tellicheny -14 Dec Bombay - 27 Feb 1794 Cape -18 Mar St Helena - 20 Jul Galway - 31 Aug Long Reach'}","{'time': ['1794', '1795'], 'destination': 'Bombay', 'reference': ['L/MAR/B/420F Journal 25 Feb 1795-10 Sep 1796', 'L/MAR/B/420M(1) Ledger', 'L/MAR/B/420M(2) Pay Book'], 'captain': 'Thomas Welladvice', 'itinerary': 'Portsmouth 24 May 1795 - 3 Sep Bombay - 6 Nov Calicut -16 Nov Anjengo - 22 Nov Quilon - 7 Dec Calicut -12 Dec Tellicheny - 28 Dec Bombay - 22 Mar 1796 St Helena - 8 Aug Long Reach'}",,,
