name,info,voyage_1,voyage_2,voyage_3,voyage_4,voyage_5,voyage_6,voyage_7,voyage_8,voyage_9
GABRIEL,[],"{'time': '1796', 'destination': 'From Bengal', 'reference': ['L/MAR/B/370A Journal 16 Jan 1796-6 Feb 1797 '], 'captain': 'John Caise', 'itinerary': 'Diamond Harbour 16 Jan 1796 - 13 Feb Saugor - 27 Jun St Helena - 26 Nov Crookhaven -11 Dec Downs'}","{'time': '1799', 'destination': 'From Bengal', 'reference': ['L/MAR/B/370B Journal 9 Feb-17 Jul 1799, James Waters, Chief Mate '], 'captain': 'Turnbull ?', 'itinerary': 'Bengal 9 Feb 1799 - 10 May St Helena -17 Jul â€˜towards England '}",,,,,,,
GANGES (1),"['Built by Wells, launched 1778, 3 decks, 4in bottom, length 139ft 7in, keel 112ft lin, breadth 36ft S^in, hold 15ft, wing transom 23ft, port cell 25ft lin, between decks 6ft 41/4in, 784 tons Principal Managing Owners: 1 John Durand, 2 Robert Preston, 3-6 William Moffat']","{'time': ['1778', '1779'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/86A Journal 26 Oct 1778-5 Apr 1781', 'L/MAR/B/86Q(1) Ledger', 'L/MAR/B/86Q(2) Pay Book', 'L/MAR/B/86Q(3) Absence Book', 'L/MAM/B/86Q(4) Imprest Book'], 'captain': 'George Richardson', 'itinerary': 'Portsmouth 7 May 1779 - 5 Apr Madeira -10 May Goree -18 Sep Madras -11 Nov Kedgeree - 10 Jan 1780 Barrabulla - 24 Feb Madras -14 Jun St Augustine s Bay - 25 Aug Cape - 29 Oct St Helena - 9 Jan 1781 Crookhaven - 8 Feb Downs'}","{'time': ['1781', '1782'], 'destination': 'Madras, Bengal, Bombay and China', 'reference': ['L/MAR/B/86B Journal 27 Jul 1781-9 May 1785', 'L/MAR/B/86R(1) Ledger', 'L/MAM/B/86R(2) Pay Book'], 'captain': 'John Hamilton Dempster', 'itinerary': 'Portsmouth 6 Feb 1782 - 29 Apr Rio de Janeiro - 6 Sep Bombay -19 Oct Madras - 21 Jan 1783 Culpee - 29 Apr Saugor - 3 Aug Bombay -19 Oct Anjengo -11 Nov Benkulen - 21 Nov Batavia - 14 Feb 1784 Whampoa - 24 Mar Second Bar - 6 Sep Simons Bay - 8 Jan 1785 Cork - 9 Apr Deptford'}","{'time': ['1785', '1786'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/86C Journal 1 Nov 1785-1 Sep 1787 Joseph Gamault, Chief Mate', 'L/MAR/B/86S(1) Ledger', 'L/MAR/B/86S(2) Pay Book'], 'captain': 'James Williamson', 'itinerary': 'Portsmouth 1 Feb 1786 - 15 May Johanna -17 Jun Madras - 30 Jun Diamond Harbour - 29 Nov Cox s Island - 24 May 1787 St Helena - 28 Jul Long Reach'}","{'time': ['1788', '1789'], 'destination': 'China', 'reference': ['L/MAR/B/86D Journal 10 Feb 1789-21 May 1790', 'L/MAR/B/86T(1) Ledger', 'L/MAR/B/86T(2) Pay Book'], 'captain': 'Joseph Gamault', 'itinerary': 'Downs 29 Mar 1789 - 25 Aug Whampoa -14 Dec Second Bar -18 Feb 1790 St Helena - 26 Apr Long Reach'}","{'time': ['1791', '1792'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/86E Journal 25 Nov 1791-16 Apr 1793', 'L/MAR/B/86U(1) Ledger', 'L/MAR/B/86U(2) Pay Book'], 'captain': 'Joseph Gamault', 'itinerary': 'Downs 17 Jan 1792 - 9 Jun Madras - 2 Jul Diamond Harbour - 28 Aug Broken Ground - 29 Sep Madras - 7 Dec Cape - 22 Dec St Helena - 22 Feb 1793 Falmouth - 20 Mar Long Reach'}","{'time': ['1793', '1794'], 'destination': 'China', 'reference': ['L/MAR/B/86F Journal 1 Mar 1794-28 Aug 1795', 'L/MAM/B/86Y (1) Ledger', 'L/MAM/B/86V(2) Pay Book'], 'captain': 'Joseph Gamault', 'itinerary': 'Portsmouth 2 May 1794 - 13 Oct Whampoa -13 Dec Second Bar -13 Apr 1795 St Helena - 25 Jul Long Reach'}",,,
GANGES (2),[],"{'time': '1796', 'destination': 'From Bengal', 'reference': ['L/MAR/B/86G Journal 1 Feb-2 Jul 1796, Peter Morris, Chief Mate'], 'captain': 'Thomas Patrickson', 'itinerary': 'Bengal 1 Feb 1796 - 7 Apr St Helena -10 Jun Long Reach'}","{'time': ['1800', '1801'], 'destination': 'Bengal', 'reference': ['L/MAM/B/86J Journal 24 Dec 1800-3 Mar 1802', 'L/MAR/B/86K Duplicate Journal'], 'captain': 'Forster Brown', 'itinerary': 'Downs 30 Dec 1800 - 25 May 1801 Calcutta - left Bengal 13 Sep -1 Jan 1802 St Helena -1 Mar Downs'}",,,,,,,
GANGES (3),"[""Built by Wells, launched 1797, 3 decks, 5in bottom, length 181ft 6in, keel 148ft 8in, breadth 43ft 7in, hold 17ft 7in, wing transom 26ft 9in, port cell 29ft 91Ain, waist 4ft lin, between decks 6ft 61/2in & 6ft 7in, roundhouse 6ft J'Ain, ports 18 middle & 14 upper, deck range 108ft, 1502 tons Principal Managing Owner: William Moffat"", 'See â€˜The Ganges East Indiaman by W. J. Huggins  in Bulletin of the Victoria Memorial Calcutta 8 (1974) pp.21-23, illus']","{'time': ['1796', '1797'], 'destination': 'St Helena, Benkulen and China', 'reference': ['L/MAM/B/86H Journal 23 Feb 1797-13 May 1799', 'L/MAM/B/86W (1) Ledger', 'L/MAM/B/86W(2) Pay Book'], 'captain': 'Joseph Gamault', 'itinerary': 'Portsmouth 5 Jun 1797 - 1 Sep St Helena - 9 Dec Benkulen -1 Mar 1798 Whampoa -12 May Second Bar - 9 Sep Cape -17 Nov St Helena -10 Feb 1799 Gravesend'}","{'time': ['1799', '171800'], 'destination': 'Bombay and China', 'reference': ['L/MAM/B/86-I Journal 29 Oct 1799-16 Nov 1802', 'L/MAR/B/86X(1) Ledger', 'L/MAM/B/86X(2) Pay Book'], 'captain': 'Alexander Gray', 'itinerary': 'Portsmouth 7 Jan 1800 - 2 May Johanna - 26 May Bombay - 5 Nov Whampoa -10 Jan 1801 Second Bar - 5 Feb Penang - 8 Mar Colombo -15 Apr Bombay - 4 Oct Penang -1 Jan 1802 Whampoa - 1 Mar Second Bar -10 Jul St Helena -16 Sep Gravesend'}","{'time': ['1802', '1803'], 'destination': 'China', 'reference': ['L/MAR/B/86L Journal 8 Mar 1803-4 Oct 1804', 'L/MAM/B/86 Y (1) Ledger', 'L/MAR/B/86 Y(2) Pay Book'], 'captain': 'William Moffat', 'itinerary': 'Downs 6 May 1803 - 30 Sep Whampoa - 26 Nov Second Bar - 19 Feb 1804 Malacca - 21 Mar Penang - 9 Jun St Helena -15 Aug Greenhithe'}","{'time': 'Madras,', 'destination': 'Bengal, China and Bombay ', 'reference': ['L/MAR/B/86M Journal 14 Jan 1805-29 May 1807', 'L/MAR/B/86Z Imprest Book', 'L/MAR/B/86AA Absence Book', 'L/MAR/B/86BB List of those on board when lost'], 'captain': 'Thomas Talbot Harrington', 'itinerary': 'Portsmouth 25 Apr 1805 - 23 Aug Madras -14 Sep Saugor - 6 Nov Camicobar -14 Nov Penang - 1 Dec Malacca -1 Feb 1806 Whampoa - 19 Mar Second Bar - 2 Jul Bombay 27 Feb 1807 - lost off St Vincent 29 May'}",,,,,
GANGES (4),"['Chartered ship, 627 tons', 'Principal Managing Owner: Edward Moore Boultbee']","{'time': ['1828', '1829'], 'destination': 'Bengal and Madras', 'reference': ['L/MAR/B/86N-O Deck Log 1 Jun 1829-19 Jun 1830 '], 'captain': 'Edward Moore Boultbee', 'itinerary': 'Downs 19 Jul 1829 - 15 Sep Cape - 22 Nov Calcutta -1 Jan 1830 Saugor - 7 Jan Coninga - 17 Jan Masulipatam - 20 Jan Madras - 26 Mar Cape - 7 Apr St Helena - 2 Jun Blackwall'}","{'time': ['1830', '1831'], 'destination': 'Bengal', 'reference': ['L/MAR/B/86P Deck Log 15 Jul 1831-29 Sep 1832'], 'captain': 'Edward Moore Boultbee', 'itinerary': 'Downs 7 Aug 1831 - 26 Oct Cape -16 Jan 1832 Calcutta - 29 Mar Kedgeree -18 Jun Cape -10 Jul St Helena -12 Sep Long Reach'}",,,,,,,
GATTON,"['Built by Wells, launched 1771, 3 decks, 4in bottom, length 138ft ILAin, keel 111ft 5in, breadth 36ft 3in, hold 14ft 41/2in, wing transom 23ft 21/2in, port cell 24ft 4in, between decks 6ft, 778 tons Principal Managing Owner: George Willson']","{'time': ['1771', '1772'], 'destination': 'China', 'reference': ['L/MAR/B/569A(1) Journal 10 Dec 1771-3 Jul 1773, William Haffey, Second Mate ', 'L/MAR/B/569B(1) Ledger L/MAM/B/569B(2) Pay Book Capt William Money'], 'captain': [], 'itinerary': 'Portsmouth 8 Feb 1772 - 10 Jul Batavia -14 Aug Whampoa - 2 Dec Second Bar - 11 Mar 1773 St Helena - 27 May Downs'}","{'time': ['1774', '1775'], 'destination': 'Bombay', 'reference': ['L/MAM/B/467E Journal 30 Jan 1775-14 Feb 1776, Charles Chisholme, Chief Mate L/MAWB/569C(1) Ledger L/MAM/B/569C(2) Pay Book '], 'captain': 'William Money', 'itinerary': 'Portsmouth 20 Apr 1775 - 10 May Madeira - 26 Aug Cape - 20 Nov Colombo - 28 Nov Anjengo - 9 Dec Tellicherry -17 Dec Mangalore -10 Jan 1776 Bombay -14 Oct 1777 Downs'}","{'time': ['1777', '1778'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/569A(2) Journal 15 Dec 1777-4 Mar 1780, George Hay, Fourth Mate L/MAM/B/569B(1) Ledger L/MAM/B/569D(2) Pay Book '], 'captain': 'Charles Chisholme', 'itinerary': 'Portsmouth 27 Apr 1778 - 26 May Madeira - 24 Aug Cape - 9 Dec Kedgeree - 9 Feb 1779 Barrabulla - 8 Apr Madras - 28 Jul Cape - 3 Sep St Helena - 22 Jan 1780 Deptford'}","{'time': ['1779', '1780'], 'destination': 'St Helena and Benkulen', 'reference': [], 'captain': 'James Rattray', 'itinerary': ""Portsmouth 27 Jul 1780 - 9 Aug captured, with the Godfrey, Hillsborough, Mountstuart and Royal George, by the combined Franco-Spanish fleet in 36028'N & 15Â°20'W""}",,,,,
GENERAL BARKER,"['Built by Adams, launched 1778, 3 decks, 4in bottom, length 137fl llin, keel HOft AYiin, breadth 36ft P/un, hold 15ft P/un, wing transom 23ft 6in, port cell 25ft 2in, between decks 6ft 2in, 766 tons Principal Managing Owner: John Durand']","{'time': ['1778', '1779'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Alexander Tod', 'itinerary': 'Portsmouth 7 Mar 1779 - lost on the Dutch coast 16 Feb 1781'}",,,,,,,,
GENERAL COOTE,"['Built by Barnard, launched 1781, 3 decks, 4in bottom, length 142ft 2in, keel 114ft 9%, breadth 35ft llin, hold 14ft 9in, wing transom 23ft 3in, port cell 26ft 4in, between decks 5ft llin & 6ft 4in, roundhouse 6ft 23/un, ports 13 middle & upper, deck range 76ft, 787 tons Principal Managing Owner: Robert Williams']","{'time': ['1781', '1782'], 'destination': 'Madras and China', 'reference': ['L/MAM/B/441A Journal 14 Feb 1782-5 Sep 1784, William Farington, Chief Mate '], 'captain': 'Daniel Griffith Hoare', 'itinerary': 'Portsmouth 11 Sep 1782 - 9 Apr 1783 Madras - 6 Sep Malacca - 7 Oct Whampoa - 23 Dec Second Bar - 24 Apr 1784 St Helena -13 Jul Downs'}","{'time': ['1784', '1785'], 'destination': 'St Helena and China', 'reference': ['L/MAR/B/441B Journal 31 Oct 1784-21 Sep 1786', 'L/MAR/B/441G(1) Ledger', 'L/MAM/B/441G(2) Pay Book'], 'captain': 'James Baldwin', 'itinerary': 'Downs 1 Feb 1785 - 18 May St Helena -1 Oct Whampoa - 2 Feb 1786 Second Bar - 4 Jun St Helena - 13 Aug Downs'}","{'time': ['1787', '1788'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/441C Journal 10 Dec 1787-19 Aug 1789', 'L/MAR/B/441H(1) Ledger', 'L/MAJR/B/441H(2) Pay Book', 'L/MAR/B/441H(3) Imprest Book', 'L/MAR/B/441H(4) Absence Book'], 'captain': 'James Baldwin', 'itinerary': 'Downs 9 Mar 1788 - 15 Jul Madras -18 Sep Malacca -17 Oct Whampoa - 4 Feb 1789 Second Bar - 4 Jun St Helena -16 Aug Downs'}","{'time': ['1790', '1791'], 'destination': 'Madras and China', 'reference': ['L/MAM/B/441D Journal 22 Nov 1790-29 May 1792', 'L/MAR/B/441-I(2) Ledger', 'L/MAR/B/441-1(2) Pay Book'], 'captain': 'James Baldwin', 'itinerary': 'Torbay 1 Feb 1791 - 29 May Madras - 27 Jul Penang - 13 Sep Whampoa - 23 Nov Second Bar - 25 Feb 1792 St Helena - 18 Apr Downs'}","{'time': ['1792', '1793'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/441E Journal 24 Apr 1793-10 Dec 1794', 'L/MAM/B/441J(1) Ledger', 'L/MAR/B/441J(2) Pay Book'], 'captain': 'Robert Williams', 'itinerary': 'Portsmouth 7 Jul 1793 - 18 Sep Cape - 2 Nov Madras - 29 Jan 1794 Diamond Harbour - 25 Feb Cox s Island -18 Jun St Helena - 7 Sep Downs'}","{'time': ['1794', '1795'], 'destination': 'China', 'reference': ['L/MAM/B/441F Journal 22 Feb 1795-30 Mar 1797', 'L/MAR/B/441K(1) Ledger', 'L/MAM/B/441K(2) Pay Book'], 'captain': 'Charles Dundas', 'itinerary': 'Portsmouth 13 May 1795 - 7 Jul San Salvador - 2 Oct Cape - 20 Dec Balambang - 5 Mar 1796 Whampoa - 22 Jun Second Bar - 20 Nov St Helena -14 Feb 1797 Downs'}",,,
GENERAL ELIOTT,"[""Built by Perry, launched 1782, 3 decks, 4in bottom, length 143ft llin, keel 116ft 5in, breadth 35ft lll^in, hold 14ft llin, wing transom 23ft 8in, port cell 26ft I'Am, waist 1ft lin, between decks 5ft ILAin & 6ft 33/4in, roundhouse 6ft 4in, ports 13 middle & upper, 800 tons Principal Managing Owner: Robert Preston""]","{'time': ['1782', '1783'], 'destination': 'Bombay', 'reference': ['L/MAR/B/269A Journal 5 Dec 1782-7 Sep 1784', 'L/MAM/B/269G(1) Ledger', 'L/MAM/B/269G(2) Pay Book'], 'captain': 'Robert Drummond', 'itinerary': 'Portsmouth 17 Mar 1783 - 28 Jun Johanna -19 Jul Bombay - 24 Sep Tellicherry - 4 Oct Anjengo - 26 Oct Tellicherry -10 Nov Bombay - 29 Nov Goa -16 Dec Bombay - 21 Jan 1784 Goa - 6 Feb Tellicherry - 5 May St Helena -18 Jul Downs'}","{'time': ['1784', '1785'], 'destination': 'China', 'reference': ['L/MAM/B/269B Journal 27 Jan 1785-5 Jul 1786', 'L/MAM/B/269H(1) Ledger', 'L/MAM/B/269H(2) Pay Book'], 'captain': 'Robert Drummond', 'itinerary': 'Portsmouth 28 Mar 1785 - 29 Aug Whampoa - 27 Dec Second Bar - 25 Mar 1786 St Helena - 27 May Downs'}","{'time': ['1786', '1787'], 'destination': 'Bombay', 'reference': ['L/MAM/B/269C Journal 8 Jan 1787-18 Jun 1788', 'L/MAR/B/269-I(l) Ledger', 'L/MAM/B/269-I(2) Pay Book'], 'captain': 'Robert Preston', 'itinerary': 'Downs 1 Apr 1787 - 19 Apr Madeira - 28 Jul Bombay - 2 Mar 1788 St Helena -10 May Downs'}","{'time': ['1788', '1789'], 'destination': 'Bombay and China', 'reference': ['L/MAM/B/269D Journal 17 Oct 1788-21 Jun 1790', 'L/MAM/B/269J(1) Ledger', 'L/MAM/B/269J(2) Pay Book'], 'captain': 'Robert Drummond', 'itinerary': 'Downs 19 Dec 1788 - 13 Mar 1789 Simons Bay -16 May Bombay - 27 Sep Whampoa - 8 Jan 1790 Second Bar -13 Apr St Helena -19 Jun Downs'}","{'time': ['1791', '1792'], 'destination': 'Bombay', 'reference': ['L/MAR/B/269E Journal 26 Jan 1792-30 Sep 1793', 'L/MAM/B/269K(1) Ledger', 'L/MAM/B/269K(2) Pay Book'], 'captain': 'Robert Drummond', 'itinerary': 'Downs 6 Apr 1792 - 28 Jul Bombay -14 Nov Surat - 30 Nov Bombay - 5 Feb 1793 Surat - 15 Feb Bombay - 9 Mar Tellicherry - 27 Mar Calicut -14 Jun St Helena - 21 Aug Downs'}","{'time': ['1793', '1794'], 'destination': 'Bengal', 'reference': ['L/MAM/B/269F Journal 14 Nov 1793-1 Sep 1795', 'L/MAR/B/269L(1) Ledger', 'L/MAM/B/269L(2) Pay Book'], 'captain': 'Adam Drummond', 'itinerary': 'Portsmouth 2 May 1794 - 11 Sep Diamond Harbour - 28 Nov Saugor -18 May 1795 St Helena - 22 Jul Downs'}",,,
GENERAL GODDARD,"['Built by Randall, launched 1782, 3 decks, 4in bottom, length 143ft lOin, keel 116ft 7in, breadth 35ft 11 in, hold 14ft 9in, wing transom 22ft 91Ain> port cell 26ft 4in, waist 1ft VAin, between decks 6ft &', '6ft 31/2in, roundhouse 6ft 41/2in, ports 13 middle & upper, deck range 76ft, 799 tons Principal Managing Owners: 1-2 William Money, 3-6 Robert Wigram', 'See IOR: R&L 714/1894']","{'time': ['1781', '1782'], 'destination': 'Madras and Bombay', 'reference': ['L/MAH/B/440A-B Journal 2 Mar 1782-30 Nov 1784 L/MAM/B/440H(1) Ledger L/MAM/B/440H(2) Pay Book'], 'captain': 'Thomas Foxall', 'itinerary': 'Portsmouth 11 Sep 1782 - 16 Apr 1783 Madras - 22 Oct Anjengo - 11 Nov Bombay - 9 Aug 1784 St Helena - 24 Oct Downs'}","{'time': ['1785', '1786'], 'destination': 'Madras and China', 'reference': ['L/MAM/B/440C Journal 18 Oct 1785-22 Sep 1787', 'L/MAM/B/440-I(l) Ledger', 'L/MAR/B/440-I(2) Pay Book'], 'captain': 'Thomas Foxall', 'itinerary': 'Downs 17 Dec 1785 - 5 Jan 1786 Madeira - 26 Apr Johanna - 7 Jun Madras - 31 Aug Malacca - 5 Oct Whampoa - 18 Feb 1787 Second Bar - 21 Jun St Helena - 28 Aug Downs'}","{'time': ['1788', '1789'], 'destination': 'Bengal', 'reference': ['L/MAM/B/440D Journal 30 Nov 1788-25 Jun 1790', 'L/MAM/B/440J(1) Ledger', 'L/MAM/B/440J(2) Pay Book'], 'captain': 'Thomas Foxall', 'itinerary': 'Downs 26 Feb 1789 - 26 Jun Diamond Harbour - 28 Nov Saugor - 27 Dec Madras -18 Mar 1790 St Helena -13 Jun Downs'}","{'time': ['1791', '1792'], 'destination': 'Bengal', 'reference': ['L/MAR/B/440E Journal 23 Feb 1792-1 Jun 1793', 'L/MAM/B/440K(1) Ledger', 'L/MAR/B/440K(2) Pay Book'], 'captain': 'Thomas Wakefield', 'itinerary': 'Portsmouth 16 Feb 1792 - 14 May Simons Bay - 6 Jul Diamond Harbour - 3 Dec Cox s Island - 28 Feb 1793 St Helena - 2 May Downs'}","{'time': ['1793', '1794'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/440F Journal 5 Nov 1793-30 Nov 1795', 'L/MAM/B/440L(1) Ledger', 'L/MAM/B/440L(2) Pay Book'], 'captain': 'William Taylor Money', 'itinerary': 'Portsmouth 2 May 1794 - 11 Sep Madras -10 Oct Diamond Harbour -13 Dec Saugor -31 Jan 1795 Madras - 4 May St Helena -13 Sep Shannon -15 Oct Downs * 15 Jun 1794 assisted in capture of three Dutch ships off St Helena'}","{'time': ['1795', '1796'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/440G Journal 30 Jan 1796-2 Jun 1798 ', 'L/MAR/B/440M(1) Ledger ', 'L/MAR/B/440M(2) Pay Book Capt Thomas Graham'], 'captain': [], 'itinerary': 'Portsmouth 12 Apr 1796 - 22 Jul Simons Bay - 17 Sep Madras - 28 Dec Trincomalee - 5 Jan 1797 Madras - 28 Feb Calcutta -1 Aug Kedgeree - 24 Aug Penang - 30 Oct Diamond Harbour - 19 Dec Saugor - 4 Feb 1798 Madras - 23 Apr Cape - 26 May St Helena - 2 Aug Downs'}",,,
