name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8
JAMES (1);['600 tons'];{'time': ['1611', '1612'], 'destination': 'Bantam', 'reference': [], 'captain': 'Edward Marlowe', 'itinerary': 'Downs 10 Feb 1612 - Trinidade 27 Apr - 23 Oct Bantam 11 Mar 1613 - Jun Masulipatam 7 Feb 1614 - 20 Apr Bantam 10 Jun - 30 Jun Pattern 9 Oct - 9 Nov Bantam 29 Jan 1615 - voyage ended 3 Aug'};{'time': ['1615', '1616'], 'destination': 'Surat', 'reference': ['L/MAM/A/XXIH Extracts from journal 11 Mar 1616-20 Jul 1617 Master Alexander Child'], 'captain': [], 'itinerary': 'Tilbury 8 Feb 1616 -12 Jun Cape - Surat 8 Nov - 4 Dec Jask - 7 Feb 1617 Surat - Masulipatam 11 Jun - Bantam - Nov 1619 Scillies'};{'time': ['1620', '1621'], 'destination': 'Batavia', 'reference': ['L/MAR/A/XXXin Journal 14 Jan-27 May 1621 Master John Wood'], 'captain': [], 'itinerary': 'Downs 14 Jan 1621 -1 Mar Sierra Leone - 24 May Cape - Nov Batavia - Jambi - Mar 1622 Batavia - Jambi - May Batavia - Dec Cape - Jun 1623 Ireland - Downs Broken up in 1624'};;;;;
JAMES (2);['Sloop, 50 tons'];{'time': ['1683', '1684'], 'destination': 'â€˜India ', 'reference': [], 'captain': 'Unkettle 9 Dec 1683 -'};;;;;;;
JAMES (3);['Licencesed ship, 300 tons, 60 crew, 30 guns'];{'time': ['1687', '1688'], 'destination': 'Madras', 'reference': [], 'captain': 'Abraham Roberts', 'itinerary': '7 Feb 1688 - 28 Aug 1690 Milford Haven'};;;;;;;
JAMES AND MARY (1);['670 tons, 3 decks, 134 crew, 40 guns'];{'time': ['1686', '1687'], 'destination': 'Bombay', 'reference': [], 'captain': 'James Cooke', 'itinerary': '26 Aug 1687 - 16 Sep 1691'};"{'time': ['1692', '1693'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/676A Journal 15 Dec 1720-7 Sep 1722', 'L/MAR/B/676D(1) Ledger', 'L/MAR/B/676D(2) Pay Book', ""L/MAR/B/676D(3) Dead Men's Effects"", 'L/MAR/B/676D(4) Necessaries Book '], 'captain': 'Thomas Aubone', 'itinerary': 'Downs 31 Jan 1721 - 27 Jul Batavia - 27 Aug Tambomeo - 3 Feb 1722 Tanjayang - 7 Jun St Helena - 7 Sep Deptford'}";;;;;;
JAMES AND MARY (2);['300 tons, 60 crew, 24 guns'];;{'time': ['1723', '1724'], 'destination': 'St Helena and Benkulen', 'reference': ['L/MAR/B/676B Journal 19 Nov 1723-23 Apr 1726, John Balchen, Chief Mate ', 'L/MAR/B/676E(1) Ledger', 'L/MAR/B/676E(2) Pay Book'], 'captain': 'Thomas Aubone', 'itinerary': 'Downs 29 Jan 1724 - 29 May St Helena -1 Oct Benkulen - 6 Nov Batavia - 28 Nov Tambomeo - 7 Mar 1725 Batavia - 16 Jun Madras - 6 Dec Cape -1 Jan 1726 St Helena - 26 Jan Ascension - 23 Apr Deptford'};{'time': ['1727', '1728'], 'destination': 'St Helena and Benkulen', 'reference': ['L/MAR/B/676F(1) Ledger', 'L/MAR/B/676F(2) Pay Book'], 'captain': [], 'itinerary': 'Capt John Balchen 6 Dec 1727 - 6 Sep 1729'};{'time': ['1730', '1731'], 'destination': 'St Helena and Benkulen', 'reference': ['L/MAR/B/676C Journal 2 Oct 1730-29 May 1732', 'L/MAR/B/676G(1) Ledger', 'L/MAR/B/676G(2) Pay Book'], 'captain': 'John Balchen', 'itinerary': 'Downs 13 Dec 1730 - 21 Mar 1731 St Helena -18 Jun Bantam - 24 Jun Batavia -13 Jul Benkulen - 4 Sep Moco Moco - 28 Sep Bantal - 7 Nov Benkulen - 2 Dec Batavia -12 Mar 1732 St Helena - 29 May Downs'};;;;
JAMES PATTISON;['Chartered ship, 513 tons', 'Principal Managing Owner Thomas Ward'];{'time': ['1827', '1828'], 'destination': 'Bengal', 'reference': ['L/MAR/B/84A Deck Log 14 May 1828-7 Jul 1829'], 'captain': 'Joseph Grote', 'itinerary': 'Portsmouth 20 Jun 1828 - 25 Nov Calcutta - 26 Jan 1829 Vizagapatam - 5 Feb Madras -12 Apr Cape -16 Jun Downs'};;;;;;;
JAMES ROYAL;['1000 tons'];{'time': ['1616', '1617'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'Rowland Coytmore', 'itinerary': 'Gravesend 4 Feb 1617 - 21 Jun Cape -12 Aug Moheli - 20 Sep Surat 13 Mar 1618 - May Acheh - 4 Aug Tiku - 22 Sep Bantam 27 May 1619 - 30 Jun Masulipatam 10 Dec - Tiku - joined Anglo-Dutch Fleet of Defence based m Japan 1620 - Hirado 17 Dec 1620 - 19 Sep 1621 Downs'};{'time': ['1623', '1624'], 'destination': 'Surat', 'reference': ['L/MAR/A/XXIX Journal 27 Mar 1624-7 Oct 1626, Robert Fox ', 'L/MAR/A/XL Journal 27 Mar 1624-16 Oct 1626, Richard Monck', 'L/MAR/A/XLII Journal on Falcon and James Royal 5 Mar 1625-19 Oct 1626, Francis Finder '], 'captain': 'Richard Swanley', 'itinerary': 'Downs 27 Mar 1624 - 17 Jul Cape - 21 Aug St Augustine s Bay - 1 Sep Moheli -18 Sep Surat 1 Dec - 28 Dec Bandar Abbas - 8 Mar 1625 Surat -10 Jun Batavia - Surat Apr 1626 - 8 Jul Cape - 6 Aug St Helena - Oct Portsmouth'};{'time': ['1629', '1630'], 'destination': '', 'reference': [], 'captain': 'Matthew Morton', 'itinerary': 'Downs 19 Mar 1630 - Trimdade -14 Jul St Augustine s Bay - 22 Sep Surat - 7 Feb 1631 Bandar Abbas - Surat 27 Apr - Sumatra - 24 Aug Bantam 6 Oct - returned to Bantam - 4 Feb 1632 Mauritius - Mozambique Channel - 3 Oct Bandar Abbas - 27 Nov Surat 28 Jan 1633 - 1 Apr Mauntius - 6 Jun St Helena - Aug Downs Broken up in 1634'};;;;;
JAMES SIBBALD;['Emit at Bombay, launched 1810, 2 decks, 41/2in bottom, length 135ft 1m, keel 109ft 7in, breadth 33ft 4m, hold 16ft 6m, wing transom 22ft, port cell 27ft lOin, waist 13 in, between decks 6ft 6â€˜Am, roundhouse 6ft 3 m, ports 11 upper, 647 tons Principal Managing Owner: 1-4 George Gooch', 'Capl Richard Cole'];{'time': '1810', 'destination': 'From Bombay', 'reference': ['L/MAR/B/64A Journal 18 Jun-17 Dec 1810'], 'captain': 'George Harrower', 'itinerary': 'Bombay 18 Jun 1810 - 8 Sep St Helena - 9 Nov Downs'};{'time': ['1810', '1811'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/64B Journal 8 Feb 1811-3 Sep 1812', 'L/MAR/B/64-I(l) Ledger', 'L/MAR/B/64-I(2) Pay Book'], 'captain': 'John Blanshard', 'itinerary': 'Portsmouth 25 Apr 1811 - 30 Jun Madeira - 26 Sep Madras -17 Nov Calcutta - 9 Jan 1812 Saugor - 12 May St Helena - 23 Jun Downs'};{'time': ['1812', '1813'], 'destination': 'Bombay', 'reference': ['L/MAR/B/64C Journal 2 Mar 1813-18 Jul 1814', 'L/MAR/B/64J(1) Ledger', 'L/MAR/B/64 J(2) Pay Book'], 'captain': 'John Blanshard', 'itinerary': 'Portsmouth 2 Jun 1813 - 21 Jim Madeira - 21 Oct Bombay -12 Jan 1814 Point de Galle -1 Mar St Helena -31 May Downs'};{'time': ['1814', '1815'], 'destination': 'Bengal', 'reference': ['L/MAR/B/64D Journal 10 Mar 1815-31 Jan 1817', 'L/MAR/B/64K(1) Ledger', 'L/MAR/B/64K(2) Pay Book'], 'captain': 'James Keith Forbes', 'itinerary': 'Downs 22 May 1815 -10 Jun Madeira - 3 Nov Diamond Harbour - 29 Jan 1816 Saugor -11 Mar Batavia - 2 May Amboyna - 23 May Banda -24 Jun Amboyna - 3 Oct St Helena -11 Dec Downs'};{'time': ['1819', '1820'], 'destination': 'Bengal', 'reference': ['L/MAR/B/64E Deck Log 28 Apr 1820-9 Sep 1821'], 'captain': 'James Keith Forbes', 'itinerary': 'Falmouth 22 Jan 1820 - 5 Nov Calcutta -18 Feb 1821 Saugor -10 May Cape - 4 Jun St Helena - 9 Aug Downs'};{'time': ['1824', '1825'], 'destination': 'Bombay', 'reference': ['L/MAR/B/64F Deck Log 18 Apr-15 Oct 1825'], 'captain': 'James Keith Forbes', 'itinerary': 'Downs 1 Jun 1825 - 1 Oct Bombay -'};{'time': ['1825', '1826'], 'destination': 'Madras', 'reference': ['L/MAR/B/64G Deck Log 26 May 1826-21 Apr 1827'], 'captain': [], 'itinerary': 'Downs 24 Jun 1826 - 26 Nov Madras - 25 Jan 1827 Penang -12 Feb Malacca -1 Apr Colvin s Ghat -'};{'time': ['1827', '1828'], 'destination': 'Bengal', 'reference': ['L/MAR/B/64H Deck Log 13 Jim 1828-13 Jan 1829'], 'captain': [], 'itinerary': 'Downs 7 Jul 1828 - 10 Nov Colombo - 12 Jan 1829 Calcutta -'}
JANE;['Frigate. 200 tons. 40 crew. 20 guns'];;{'time': ['1710', '1711'], 'destination': 'Madras and Benkulcn', 'reference': ['L/MAR/B/796A Imprest Book', 'L/MAR/B/796B Receipt Book'], 'captain': 'John Austen', 'itinerary': 'Downs 22 Apr 1711 - captured by the French'};{'time': ['1704', '1703'], 'destination': 'Borneo', 'reference': [], 'captain': [], 'itinerary': 'Capl Michael Martin 31 Jan 1703 - 11 Sep 1708'};;;;;
JANE, DUCHESS OF GORDON;['Built by Dudman. launched 1804. 3 decks. 4in bottom, length 143ft loin, keel 116ft 1m. breadth 36ft 6in. hold 14ft loin, wing transom 23ft 3in, port cell 26ft 9in. waist 1ft Sin, between decks 6ft 2in & 6ft 3in. roundhouse 6fl 3in. ports 13 middle & 12 upper deck range Sift lin. 822 tons Principal Managing Owner: Charles Christie', '|L/MAR/B/299C(2) Absence Book'];{'time': ['1804', '1803'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/299A Journal 24 Jan 1803-22 Jun 1807', 'L/MAR/B/299B(1) Ledger', 'L/MAIR/B/299B(2) Pay Book'], 'captain': 'John Cameron', 'itinerary': 'Portsmouth 10 Aug 1803 - 14 Aug Cork - 29 Sep Madeira - 10 Nov St Salvadorc - 4 Jan 1806 Cape - 17 Apr Madras - 21 Jun Diamond Harbour - 4 Sep Saugor - 9 Oct Madras - 30 Dec Cape - 23 Jan 1807 St Helena - 32 Apr Downs'};{'time': ['1807', '1808'], 'destination': 'Ceylon and Bengal', 'reference': ['L/MAR/B/299C(1) Imprest Book'], 'captain': 'John Cameron', 'itinerary': 'Portsmouth 8 May 1808 - parted company off Mauritius 11 Mar 1809 and not heard of again'};;;;;;
