name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
LADY BURGES;"[""Built by Perry, launched 1799, 3 decks, 4in bottom, length 146ft lin, keel 118ft7in, breadth 36ft lin, hold 14ft 9in, wing transom 23ft 5in, port cell 26ft 9in, waist 1ft 6in, between decks 6ft 2in & 6ft 4in, roundhouse 6ft 5'Ain, ports 13 middle & 11 upper, deck range 83ft 9in, 821 tons""]";{'time': ['1799', '171800'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310A Journal 24 Dec 1799-4 Sep 1801', 'L/MAR/B/310D(1) Ledger', 'L/MAR/B/310D(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 17 Mar 1800 - 13 Jul Madras - 29 Aug Diamond Harbour - 24 Oct Kedgeree - 8 Jan 1801 Saugor - 21 May St Helena - 24 Jul Cork -11 Aug Downs'};{'time': ['1801', '1802'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310B Journal 4 Dec 1801-24 Sep 1803', 'L/MAR/B/310E(1) Ledger', 'L/MAR/B/310E(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 1 Mar 1802 - 13 Mar Madeira - 4 Jul Madras -17 Jul Diamond Harbour - 3 Jan 1803 Saugor -16 Jun St Helena - 20 Aug Downs'};{'time': ['1803', '1804'], 'destination': 'St Helena and Bengal', 'reference': ['L/MAR/B/310C Journal 14 Jan 1804-26 Oct 1805', 'L/MAR/B/310F(1) Ledger', 'L/MAR/B/310F(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 8 May 1804 - 6 Aug St Helena - 25 Nov Kedgeree - 4 Feb 1805 Saugor - 29 Jun St Helena -10 Sep Downs'};{'time': ['1805', '1806'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310G Imprest Book'], 'captain': 'Betham', 'itinerary': 'Portsmouth 30 Mar 1806 - wrecked 20 Apr on Leytons Rock, south-west of Bonavista island'};;;;;
LADY CAMPBELL;['Built in Bengal, launched 1801, 2 decks, 4in bottom, length 138ft, keel 111ft llin, breadth 33ft lOin, hold 18ft, wing transom 23ft lin, port cell 29ft 3in, waist 1ft 3in, between decks 6ft 7in, roundhouse 6ft 6in, ports 11 upper, 681 tons', 'Principal Managing Owners. 1-2 John limes, 3 '];{'time': '', 'destination': 'Jan 1825-29 Jun Calcutta', 'reference': [], 'captain': []};{'time': ['1819', '1820'], 'destination': 'China', 'reference': ['L/MAR/B/214B Journal 29 Feb 1820-25 Jun 1821', 'L/MAR/B/214D(1) Ledger', 'L/MAR/B/214D(2) Pay Book'], 'captain': 'Thomas Marquis', 'itinerary': 'Downs 25 Apr 1820 - 29 Aug Whampoa - 25 Dec Second Bar -10 Mar 1821 Cape -31 Mar St Helena - 26 May Downs'};{'time': ['1824', '1825'], 'destination': 'Bengal', 'reference': [], 'captain': 'Irvine Downs'};;;;;;
LADY CARRINGTON;['Built at Bristol measured 1811, 2 decks, 3in bottom, length 124ft 10in, keel 103ft 7in, breadth 32ft, hold 19ft, wing transom 20ft, port cell 28ft 6in, waist 8in, between decks 5ft 10in, ports 10 upper, 564 tons Principal Managing Owners: 2 Robert Anderson, 3-4 John Campbell', 'Bengal', 'Journal 30 Mar 1816-28 Aug 1817', 'Madras and Bengal'];{'time': ['1809', '1810'], 'destination': 'Bengal and Madras', 'reference': ['L/MAR/B/180A Journal 17 Jan-13 Dec 1810'], 'captain': 'Walter Atkins', 'itinerary': 'Downs - Cape 17 Jan 1810-28 Mar Calcutta- 5 Jun Culpee 10 Jul Madras - 30 Sep St Helena - 5 Dec Downs'};{'time': 'Bombay', 'destination': 'and Bengal', 'reference': ['L/MAR/B/180B Journal 19 Dec 1811-13 Dec 1813', 'L/MAR/B/180F(1) Ledger', 'L/MAR/B/180F(2) Pay Book'], 'captain': 'William Hawkey', 'itinerary': 'Portsmouth 10 Mar 1812 - 11 Jul Bombay - 24 Aug Madras - 20 Sep Balasore - 26 Oct Calcutta- 27 Jan 1813 Saugor - 15 Mar Madras - 30 Jul St Helena - 7 Nov Downs'};{'time': 'Bengal', 'destination': '', 'reference': ['L/MAR/B/180C Journal 14 Apr 1814-15 Feb 1816', 'L/MAR/B/180G(1) Ledger', 'L/MAR/B/180G(2) Pay Book'], 'captain': [], 'itinerary': 'Capt Henry Becher Portsmouth 8 Jun 1814-23 Jun Madeira - 15 Oct Mauritius - 8 Jan 1815 Kidderpore - 17 Mar Saugor - 25 Jun Benkulen - 16 Aug Mauritius - 26 Sep Cape - 14 Oct St Helena - 22 Dec Downs'};{'time': ['1815', '1816'], 'destination': '', 'reference': ['L/MAR/B/180D', 'L/MAR/B/180H(1) Ledger', 'L/MAR/B/180H(2) Pay Book'], 'captain': 'Dugald MacDougall', 'itinerary': 'Downs 17 May 1816-29 May Madeira - 8 Oct Calcutta - 22 Feb 1817 Saugor 29 May St Helena 30 Jul Downs'};{'time': ['1819', '1820'], 'destination': '', 'reference': ['L/MAR/B/180E Deck Log 20 Mar 1820-17 Nov 1821'], 'captain': 'Thomas Erasmus Ward', 'itinerary': 'Downs 4 May 1820 - 14 Sep Madras - 7 Nov Kidderpore - 11 Jan 1821 Saugor - 28 Feb Masulipatam - 9 Mar Madras - 27 May Algoa Bay - 5 Jul Simons Bay - 1 Aug St Helena - 30 Sep Downs'};;;;
LADY CASTLEREAGH;['Built by Randall, launched 1802, 3 decks, 4in bottom, length 146ft 5in, keel 118ft 10in, breadth 36ft Â½in, hold 14ft 9Â½in, wing transom 24ft, port cell 26ft 9in, waist Ift 2in, between decks 6ft 2in & 6ft 4in, ports 11 upper, deck range 84ft 3in, 821 tons Principal Managing Owners: 1-3 Henry Callender, 4 Miss Jane Chrystie, 5-7 William Hamilton', 'Journal 19 Jan 1803-10 Dec 1804', 'Ledger', 'Madras and Bengal'];{'time': ['1802', '1803'], 'destination': 'Bengal', 'reference': ['L/MAR/B/197A ', 'L/MAR/B/197-1(1)', 'L/MAR/B/197-1(2) Pay Book'], 'captain': 'William Edmeades', 'itinerary': 'Downs 6 Apr 1803-27 Apr Madeira - 14 Sep Diamond Harbour - 18 Feb 1804 Saugor - 13 May Benkulen 14 Aug St Helena - 8 Nov Downs'};{'time': ['1804', '1805'], 'destination': 'St Helena and Bengal', 'reference': ['L/MAR/B/197B Journal 17 Jan 1805-9 Sep 1806', 'L/MAR/B/197J(1) Ledger', 'L/MAR/B/197J(2) Pay Book'], 'captain': 'Thomas Garland Murray', 'itinerary': 'Portsmouth 25 Apr 1805-20 Jul St Helena - 10 Dec Diamond Harbour - 23 Jan 1806 Saugor - 15 May St Helena - 18 Jul Downs'};{'time': ['1806', '1807'], 'destination': '', 'reference': ['L/MAR/B/197C Journal 31 Jan 1807-25 Sep 1808', 'L/MAR/B/197K(1) Ledger', 'L/MAR/B/197K(2) Pay Book'], 'captain': 'Thomas Garland Murray', 'itinerary': 'Portsmouth 18 Apr 1807-9 Sep Madras - 28 Nov Diamond Harbour - 16 Jan 1808 Saugor - 12 Jun St Helena - 14 Aug Downs'};{'time': ['1808', '1809'], 'destination': 'St Helena and Bengal', 'reference': ['L/MAR/B/197D Journal 3 Dec 1808-14 Sep 1810', 'L/MAR/B/197L(1) Ledger', 'L/MAR/B/197L(2) Pay Book'], 'captain': 'William Hamilton', 'itinerary': 'Portsmouth 22 Feb 1809 - 8 May St Helena - 18 Aug Diamond Harbour - 30 Oct Saugor - 31 Dec Vizagapatam - 13 Jan 1810 Madras - 3 May St Helena - 6 Jul Downs'};{'time': ['1810', '1811'], 'destination': 'Bengal', 'reference': ['L/MAR/B/197E Journal 11 Mar 1811-19 Jun 1813', 'L/MAR/B/197F Journal 11 Mar 1811-14 May 1813, Thomas Welladvice Andrews, Fourth Mate', 'L/MAR/B/197M(1) Ledger', 'L/MAR/B/197M(2) Pay Book'], 'captain': [], 'itinerary': 'Capt George Simpson Torbay 30 May 1811-21 Jun Madeira - 16 Dec Calcutta - 15 Apr 1812 Saugor - 9 Jun Benkulen - 22 Aug Madras - 25 Dec Cape - 26 Jan 1813 St Helena - 13 May Downs'};{'time': ['1813', '1814'], 'destination': 'Bengal', 'reference': ['L/MAR/B/197G Journal 12 Mar 1814-7 Nov 1815', 'L/MAR/B/197N(1)  Ledger', 'L/MAR/B/197N(2) Pay Book'], 'captain': 'George Simpson', 'itinerary': 'Portsmouth 8 Jun 1814-23 Jun Madeira - 28 Nov Saugor - 21 Feb 1815 Madras - 23 Mar Colombo - 31 May Cape - 5 Jul St Helena - 19 Sep Downs'};{'time': 'St', 'destination': 'Helena and China', 'reference': ['L/MAR/B/197H Journal 2 Jan 1816-12 Jul 1817', 'L/MAR/B/197-0(1) Ledger', 'L/MAR/B/197-0(2) Pay Book'], 'captain': 'George Simpson', 'itinerary': 'Plymouth 20 Mar 1816-28 May St Helena - 5 Sep Batavia - 2 Nov Whampoa - 22 Jan 1817 Second Bar - 10 Apr St Helena - 6 Jun Downs'};;
LADY EAST;"['Chartered ship, built at Howrah 1816, 650 tons Principal Managing Owner; William Richardson']";{'time': ['1829', '1830'], 'destination': 'Cape, Madras and Bengal', 'reference': ['L/MAR/B/111A Deck Log 30 Apr 1830-2 Aug 1831'], 'captain': 'George Denny', 'itinerary': '11 Apr Cape - 5 May St Helena -14 Jul Gravesend'};;;;;;;;
LADY FLORA;['Chartered ship, built at Calcutta, launched 24 Nov 1813, 756 tons '];{'time': '1815', 'destination': 'From China', 'reference': ['L/MAR/B/226A Journal 19 Dec 1815-12 May 1816 '], 'captain': 'Thomas Brown', 'itinerary': 'Macao 19 Dec 1815 - 20 Feb 1816 Cape -17 Mar St Helena -12 May Downs'};;;;;;;;
LADY JANE DUNDAS;"[""Built by Cleverly, launched 1800, 3 decks, 4in bottom, length 146ft 2in, keel 118ft 3 in, breadth 36ft 3in, hold 14ft O'/zin, wing transom 24ft SYiin, port cell 27ft 2in, waist 1ft 6in, between decks 6ft 3in & 6ft 4in, roundhouse 6ft 6m, ports 13 middle & 11 upper, deck range 86ft lOin, 826 tons Principal Managing Owner- Robert Wigram""]";{'time': ['1799', '171800'], 'destination': 'Bengal', 'reference': ['L/MAR/B/309A Journal 13 Mar 1800-3 Sep 1801', 'L/MAR/B/309E(1) Ledger', 'L/MAR/B/309E(2) Pay Book'], 'captain': 'Hon Hugh Lindsay', 'itinerary': 'Torbay 27 May 1800 - 4 Nov Acheh - 6 Dec Kedgeree - 24 Jan 1801 Saugor - 21 May St Helena - 24 Jul Cork -11 Aug Downs'};{'time': ['1801', '1802'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/309B Journal 5 Dec 1802-7 Jun 1803', 'L/MAR/B/309F(1) Ledger', 'L/MAR/B/309F(2) Pay Book'], 'captain': 'Hon Hugh Lindsay', 'itinerary': 'Portsmouth 27 Feb 1802 - 25 Jun Madras -13 Jul Diamond Harbour - 22 Oct Saugor - 3 Mar 1803 St Helena - 5 May Downs'};{'time': ['1803', '1804'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/309C Journal 19 Dec 1803-26 Oct 1805', 'L/MAR/B/309G(1) Ledger', 'L/MAR/B/309G(2) Pay Book'], 'captain': 'Hon Hugh Lindsay', 'itinerary': 'Portsmouth 20 Mar 1804 - 18 Jul Madras -13 Aug Diamond Harbour - 23 Sep Kidderpore - 22 Nov Saugor -12 Feb 1805 Madras - 20 Jun St Helena -10 Sep Downs'};{'time': ['1805', '1806'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/309D Journal 5 Dec 1805-9 Sep 1807', 'L/MAR/B/309H(1) Ledger', 'L/MAR/B/309H(2) Pay Book'], 'captain': 'Hon Hugh Lindsay', 'itinerary': 'Portsmouth 4 Mar 1806 - 28 Jun Madras -10 Jul Diamond Harbour -12 Sep Saugor -18 Oct Penang -13 Dec Kedgeree - 30 Jan 1807 Saugor -13 Jun St Helena - 6 Sep Downs'};{'time': ['1807', '1808'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/309-I(l) Imprest Book', 'L/MAR/B/309-I(2) Absence Book '], 'captain': 'John Eckford', 'itinerary': 'Portsmouth 8 May 1808 - parted company off Mauritius 14 Mar 1809, not heard of again'};;;;
LADY KENNAWAY;"['Chartered ship, built at Kidderpore 1816, 542/573 tons', 'Principal Managing Owners; 1-2 George load, 3 George Frederick Young']";{'time': ['1825', '1826'], 'destination': 'Bengal', 'reference': ['L/MAR/B/65A Deck Log 21 Jun 1826-14 Dec 1827'], 'captain': 'Thomas Surflen', 'itinerary': 'Torbay 22 Jul 1826 - 27 Nov Calcutta -'};{'time': ['1827', '1828'], 'destination': 'China and Halifax', 'reference': ['L/MAR/B/65B Deck Log 16 May 1828-12 Jun 1829'], 'captain': 'Thomas Delafons', 'itinerary': 'Downs 7 Jun 1828 - 8 Nov Whampoa - 21 Jan 1829 Second Bar - 4 Apr Ascension -11 May Halifax'};{'time': ['1829', '1830'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/65C Deck Log 26 Apr 1830-20 Jun 1831'], 'captain': 'Lewis W Moncrieff', 'itinerary': 'Downs 2 Jun 1830 - 26 Sep Madras -10 Oct Calcutta -19 Mar 1831 St Helena - 2 Jun Downs'};;;;;;
LADY LUSHINGTON;"[""Built by Mestaer, measured 1809, 3 decks, 4in bottom, length 132ft 3in, keel 107ft 2in, breadth 32ft 3i/2in, hold 13ft, wing transom 22ft lO'/zin, port cell 29ft lO'/zin, waist 1ft 6in, between decks 6ft 3in & 6ft lin, ports 11 upper, deck range 79ft, 594 tons Principal Managing Owners 1-3 James Loughnan, 4 Nathaniel Domett""]";{'time': ['1808', '1809'], 'destination': 'Bengal', 'reference': ['L/MAR/B/221A Journal 5 May 1809-2 Nov 1810', 'L/MAR/B/221E(1) Ledger', 'L/MAR/B/221E(2) Pay Book'], 'captain': 'George Nicholls', 'itinerary': 'Portsmouth 7 Jul 1809 - 15 Dec Calcutta -15 Feb 1810 Saugor - 24 Jun St Helena - 5 Sep Downs'};{'time': ['1810', '1811'], 'destination': 'Bengal', 'reference': ['L/MAR/B/221B Journal 8 Apr 1811-23 Oct 1812', 'L/MAR/B/221F(1) Ledger', 'L/MAR/B/221F(2) Pay Book'], 'captain': 'John Hine', 'itinerary': 'Portsmouth 22 Jun 1811 -2 Jul Madeira - 8 Nov Calcutta - 26 Feb 1812 Saugor - 2 Jul St Helena - 4 Sep Falmouth -14 Sep Downs'};{'time': 'Bengal', 'destination': '', 'reference': ['L/MAR/B/221C Journal 2 Mar 1813-2 Jan 1814', 'L/MAR/B/221G(1) Ledger', 'L/MAR/B/221G(2) Pay Book'], 'captain': 'John Hme', 'itinerary': 'Portsmouth 2 Jun 1813 - 22 Jun Madeira -18 Nov Calcutta - 24 Feb 1814 Saugor -16 Jun Simons Bay - 5 Sep St Helena -16 Nov Downs'};{'time': 'Bombay', 'destination': '', 'reference': ['L/MAR/B/221D Journal 19 Mar 1818-5 May 1819 ', 'L/MAR/B/221H(1) Ledger ', 'L/MAR/B/221 H(2) Pay Book'], 'captain': 'Thomas Dormer', 'itinerary': 'Plymouth 16 May 1818 -12 Sep Bombay - 29 Oct Tellicherry - 24 Jan 1819 St Helena - 28 Mar Downs'};;;;;
LADY MELVILLE;"[""Built by Wells, launched 1813, 3 decks, 4in bottom, length 165ft 10m, keel 134ft 'Ain, breadth 42ft lin, hold 17ft, wing transom 25ft lOin, port cell 29ft, waist 14m, between decks 6ft SVAn & 6ft 5m, roundhouse 6ft Sin, ports 14 middle & 13 upper, deck range 97ft, 1263 tons Principal Managing Owners- 1-6 Sir Robert Wigram, 7-9 Octavus Wigram."", 'Sold to John Campbell Aug 1832 for Â£10,000']";{'time': '', 'destination': '1832/3 Bombay and China', 'reference': ['L/MAR/B/22J Journal 21 Jan 1833-7 May 1834', 'L/MAR/B/22T(1) Ledger', 'L/MAR/B/22T(2) Pay Book'], 'captain': 'Thomas Shepherd', 'itinerary': '11 Feb 1834 St Helena - 3 Apr Downs'};{'time': ['1815', '1816'], 'destination': 'Bombay and China', 'reference': ['L/MAM/B/22B Journal 3 Nov 1815-9 Jun 1817', 'L/MAR/B/22L(1) Ledger', 'L/MAR/B/22L(2) Pay Book'], 'captain': 'John Christopher Lochner', 'itinerary': '2 Mar 1817 St Helena - 3 May Downs'};{'time': ['1817', '1818'], 'destination': 'China', 'reference': ['L/MAR/B/22C Journal 21 Feb 1818-23 Jun 1819', 'L/MAR/B/22M(1) Ledger', 'L/MAR/B/22M(2) Pay Book'], 'captain': 'John Stewart', 'itinerary': '4 Downs 16 Apr 1818 - 27 Jul Batavia -14 Sep Whampoa - 25 Nov Second Bar - 3 Mar 1819 St Helena - 4 May Downs'};;{'time': ['1821', '1822'], 'destination': 'China', 'reference': ['L/MAR/B/22E Journal 18 Mar 1822-6 Jun 1823', 'L/MAR/B/22-0(l) Ledger', 'L/MAR/B/22-0(2) Pay Book'], 'captain': 'Richard Clifford', 'itinerary': 'Downs 30 Apr 1822 - 7 Sep Whampoa -17 Nov Second Bar - 5 Feb 1823 Cape - 2 Mar St Helena - 28 Apr Downs'};{'time': ['1823', '1824'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/22F Journal 31 Dec 1823-14 Jun 1825', 'L/MAR/B/22P(1) Ledger', 'L/MAR/B/22P(2) Pay Book'], 'captain': 'Richard Clifford', 'itinerary': 'Downs 13 Mar 1824 - 2 Jul Madras - 24 Aug Penang -10 Sep Singapore - 29 Oct Whampoa - 24 Dec Second Bar -13 Mar 1825 St Helena -11 May Downs'};{'time': ['1825', '1826'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/22G Journal 12 Jan 1826-28 Aug 1827', 'L/MAR/B/22Q(1) Ledger', 'L/MAR/B/22Q(2) Pay Book'], 'captain': 'Richard Clifford', 'itinerary': 'Downs 17 Mar 1826 - 5 Jul New Anchorage - 4 Oct Saugor - 2 Nov Penang -18 Nov Malacca - 22 Nov Singapore -15 Jan 1827 Whampoa - 21 Feb Second Bar - 2 Jun St Helena - 26 Jul Downs'};{'time': 'Bengal', 'destination': 'and China', 'reference': ['L/MAR/B/22H Journal 21 Nov 1828-30 Jul 1830', 'L/MAR/B/22R(1) Ledger', 'L/MAR/B/22R(2) Pay Book'], 'captain': 'Richard Clifford', 'itinerary': 'Downs 11 Jan 1829 - 1 May Saugor -13 Jul Penang - 28 Jul Singapore -14 Aug Urmston s Bay - 6 Nov Cap Sing Moon - 9 Feb 1830 Whampoa - 24 Feb Second Bar - 24 May St Helena - 5 Jul Downs'};{'time': ['1830', '1831'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/22-I Journal 8 Dec 1830-24 Apr 1832', 'L/MAR/B/22S(1) Ledger', 'L/MAR/B/22S(2) Pay Book'], 'captain': 'Robert Clifford', 'itinerary': 'Downs 23 Jan 1831 -10 May Saugor - 7 Jul Penang -21 Jul Singapore - 23 Aug Whampoa - 20 Oct Second Bar -1 Feb 1832 St Helena - 20 Mar Downs'}
