name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
PACIFIC;['Built by Peny, launched 1760, 3 decks, Sin bottom, 716 tons Principal Managing Owners: 1 John Hyde, 2-4 Gilbert Slater'];{'time': ['1764', '1765'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/497A Journal 10 Dec 1764-18 Dec 1766', 'L/MAM/B/497E(1) Ledger', 'L/MAR/B/497E(2) Pay Book'], 'captain': 'Charles Barkeley', 'itinerary': 'Portsmouth 14 Apr 1765 - 2 Oct Madras - 21 Nov Kedgeree - 29 Jan 1766 Ingeli - 28 Feb Madras - 27 Feb Madras - 27 Jul St Helena -19 Oct River Shannon - 28 Nov Falmouth -17 Dec Downs'};{'time': ['1767', '1768'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/497B Journal 23 Oct 1767-8 Jun 1769', 'L/MAR/B/497F(1) Ledger', 'L/MAM/B/497F(2) Pay Book'], 'captain': 'Charles Barkeley', 'itinerary': 'Downs 2 Jan 1768 -29 Mar Cape -16 Jun Madras -16 Aug Malacca - 24 Sep Whampoa - 2 Jan 1769 Second Bar -10 Apr St Helena - 16 Jun Downs'};{'time': ['1770', '1771'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/497C Journal 21 Oct 1770-29 Aug 1772', 'L/MAR/B/497G(1) Ledger', 'L/MAR/B/497G(2) Pay Book'], 'captain': 'Charles Barkeley', 'itinerary': 'Plymouth 18 Feb 1771 - 20 Jun Johanna - 25 Jul Madras - 25 Sep Whampoa - 6 Feb 1772 Second Bar - 5 May St Helena - 18 Jul Downs'};{'time': ['1773', '1774'], 'destination': 'Madras and Bengal', 'reference': ['L/M AR/B/497D Journal 29 Nov 1773-18 Oct 1775, James Williamson, Chief Mate', 'L/MAR/B/497H(1) Ledger', 'L/MAR/B/497H(2) Pay Book'], 'captain': 'Charles Barkeley', 'itinerary': 'Portsmouth 10 Mar 1774 - 2 Jun Cape - 21 Aug Madras -13 Sep Culpee - 9 Jan 1775 Kedgeree - 4 Mar Barrabulla - 23 Jun St Helena - 17 Sep Downs'};;;;;
PALSGRAVE;['1083 tons, 36/40 guns'];{'time': ['1618', '1619'], 'destination': 'Surat and Bantam', 'reference': ['L/MAR/A/XXY ff.1-11 Journal 23 Nov 1621-5 Sep 1622, Edmund Sayers '], 'captain': 'Charles Clevenger', 'itinerary': 'Downs Mar 1619 - 23 Jun Cape -17 Aug Moheli - 3 Oct Surat - 3 Dec Jask - 12 Jan 1620 Surat 16 Mar - 24 Apr Acheh - Batavia 4 Jun - 23 Oct Tiku - joined Anglo-Dutch Fleet of Defence based in Japan 1620-22 - Batavia 11 Feb 1623 - St Helena 5 Jun - Downs'};{'time': ['1624', '1625'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'Richard Blyth', 'itinerary': 'Downs Mar 1625 - 2 Aug St Augustine s Bay -16 Aug Johanna -19 Nov Surat - 4 Jun 1627 Batavia - Surat -12 Jan 1628 - Oct Downs'};{'time': ['1630', '1631'], 'destination': 'Bantam', 'reference': [], 'captain': 'John Hall', 'itinerary': 'Downs Mar 1631 - Bantam 28 Dec - 4 Mar 1632 Cape -1 Apr St Helena - 30 Jun Downs'};{'time': ['1632', '1633'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'Richard Allnutt', 'itinerary': 'Downs 10 Apr 1633 - 22 Jul St Augustine s Bay - 12 Aug Johanna -10 Sep Jask - 21 Sep Bandar Abbas - 5 Nov Surat Apr 1634 - Mozambique Chanel - Surat - Jan 1635 Goa - Bantam -'};;;;;
PANTHER;['Rated at 350 tons, 70 crew, 30 guns'];{'time': ['1699', '161700'], 'destination': 'Borneo (New Company)', 'reference': [], 'captain': []};{'time': ['1701', '1702'], 'destination': 'Borneo (New Company)', 'reference': ['L/MAR/B/116A Journal 27 Mar 1702-20 Mar 1703, Robert Robinson '], 'captain': 'Jonas Tracey/Robert Robinson', 'itinerary': 'Downs - Madeira 27 Mar 1702 - 12 Jul Batavia - 9 Aug Samarang - 26 Aug Banjarmassin 20 Mar 1703 - voyage ended mid-1704'};{'time': ['1704', '1705'], 'destination': 'St Helena and Borneo', 'reference': ['L/MAR/B/116B Journal 20 Dec 1704-5 Sep 1708 '], 'captain': 'John Camell', 'itinerary': 'Downs 5 Jan 1705 - 26 Apr St Helena - 7 Sep Batavia -12 Nov Tambomeo -18 Apr 1707 Batavia 24 Aug - 24 Oct Cape - 11 Sep 1708 Downs'};;;;;;
PAMMELIA;['Chartered ship, 443 tons', 'Principal Managing Owner: Joseph Somes'];{'time': ['1826', '1827'], 'destination': 'Bengal and Madras', 'reference': ['L/MAR/B/145A Deck Log 21 May 1827-22 Jul 1828'], 'captain': 'John Wimble', 'itinerary': 'Downs 19 Jun 1827 - 3 Dec Calcutta -18 Jan 1828 Fultah - 30 Jan Vizagapatam - 9 Feb Madras - 30 Apr St Helena - 3 Jul Downs'};;;;;;;;
PEARL (1);['Interloper', 'Purchas I bk.3 ch.15 Journal of John Totton, master '];{'time': '1611-13', 'destination': 'Sumatra', 'reference': [], 'captain': 'Samuel Castleton', 'itinerary': 'Blackwall 22 Aug 1611 - at Cape Apr 1612 - left Priaman 24 Aug -Acheh - at Ceylon in Nov - left for England 3 Feb 1613, arrived in the autumn'};;;;;;;;
PEARL (2);['250 tons'];{'time': ['1631', '1632'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Downs 21 Dec 1631 - 13 May St Helena -17 May Cape - 21 Jun St Augustine s Bay -10 Jul Johanna - 20 Aug Armagon - Bantam - laid up at Bantam in 1637'};;;;;;;;
PEARL (3);['80 tons, 25 crew, 16 guns'];{'time': ['1685', '1686'], 'destination': 'Madras', 'reference': [], 'captain': 'James Perriman', 'itinerary': '10 Feb 1686 - remained in India'};;;;;;;;
PELHAM (1);['Rated at 480 tons, 96 crew, 30 guns'];{'time': ['1735', '1736'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/607E(1) Imprest Book ', 'L/MAR/B/607E(2) Absence Book Capt Mead Woodford'], 'captain': [], 'itinerary': 'Downs 6 Feb 1736 - not heard of since the storm in the river Hugh 30 Sep 1737'};;;;;;;;
PELHAM (2);['Rated at 499 tons, 99 crew, 30 guns'];{'time': ['1744', '1745'], 'destination': 'Bombay', 'reference': ['L/MAR/B/607A Journal 26 Dec 1744-20 Aug 1747, George Lindsay, Chief Mate', 'L/MAR/B/607F(1) Ledger', 'L/MAM/B/607F(2) Pay Book'], 'captain': 'William Wells', 'itinerary': 'Downs 19 Apr 1745 - 22 Aug Cape 26 Sep - 3 Oct Cape - 23 Mar 1746 Bombay - 27 Sep Tellicherry - 29 Dec Cape - 22 Apr 1747 St Helena - 20 Aug â€˜towards Lisbon '};{'time': ['1747', '1748'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/607B Journal 4 Feb 1748-11 Jun 1750, Stephen Underdown, Chief Mate', 'L/MAR/B/607G(1) Ledger', 'L/MAM/B/607G(2) Pay Book'], 'captain': 'George Lindsay', 'itinerary': '2 Sep Whampoa - 22 Nov Lintin - 8 Mar 1750 St Helena - 21 May Downs'};{'time': ['1751', '1752'], 'destination': 'Bombay', 'reference': ['L/MAM/B/607C Journal 8 Jan 1752-7 Nov 1753', 'L/MAM/B/607H(1) Ledger', 'L/MAM/B/607H(2) Pay Book'], 'captain': 'George Lindsay', 'itinerary': 'Portsmouth 25 Mar 1752 - 22 Apr Sao Tiago - 29 Aug Madagascar - 23 Dec Bombay - 10 Mar 1753 Mangalore - 27 Mar Anjengo -13 Jul St Helena - 10 Oct Downs'};{'time': ['1754', '1755'], 'destination': 'Bombay', 'reference': ['L/MAM/B/607D Journal 13 Feb 1755-18 Mar 1757', 'L/MAR/B/607-I(l) Ledger', 'L/MAM/B/607-I(2) Pay Book'], 'captain': 'George Lindsay', 'itinerary': 'Downs 23 Apr 1755 - 21 May Sao Tiago -17 Aug Madagascar - 7 Nov Bombay -19 Dec Surat - 30 Dec Bombay - 11 Feb 1756 Tellicheny - 24 Feb Mangalore - 29 Apr Anjengo - 31 Jul St Helena - 28 Oct River Shannon - 14 Jan 1757 Downs'};;;;;
PENANG;[];{'time': 'Arrived', 'destination': 'in England Jul 1810', 'reference': ['L/MAR/B/755A(1) Ledger', 'L/MAR/B/755A(2) Pay Book'], 'captain': 'Henry P Tremenheere'};;;;;;;;
