;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
1;s1;s1v1;s1v1c2;30 Sep Bengal;1819;9.0;30.0;l2;False;l2;Bengal;calls;21.3623;88.0932;bengal_presidency
8;s1;s1v2;s1v2c3;14 Oct Calcutta;1829;10.0;14.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
9;s1;s1v2;s1v2c4;29 Jan 1824 Saugor;1824;1.0;29.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
14;s1;s1v3;s1v3c3;25 Oct Calcutta;1826;10.0;25.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
20;s1;s1v4;s1v4c3;1 Dec Bengal;1828;12.0;1.0;l2;False;l2;Bengal;calls;21.3623;88.0932;bengal_presidency
82;s5;s5v2;s5v2c11;10 Jul Balasore;1709;7.0;10.0;l35;False;l35;Balasore;calls;21.49266;86.93348;bengal_presidency
83;s5;s5v2;s5v2c12;24 Jul Calcutta;1709;7.0;24.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
145;s11;s11v1;s11v1c5;24 Sep Saugor;1798;9.0;24.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
154;s11;s11v3;s11v3c5;22 Jul Diamond Harbour;1803;7.0;22.0;l57;False;l57;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
155;s11;s11v3;s11v3c6;7 Nov Saugor;1803;11.0;7.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
166;s11;s11v5;s11v5c4;26 Jul Diamond Harbour;1807;7.0;26.0;l57;False;l57;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
167;s11;s11v5;s11v5c5;16 Sep Saugor;1807;9.0;16.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
196;s12;s12v2;s12v2c4;11 Nov Bengal;1767;11.0;11.0;l2;False;l2;Bengal;calls;21.3623;88.0932;bengal_presidency
208;s13;s13v1;s13v1c1;Calcutta 28 Dec 1799;1799;12.0;28.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
212;s13;s13v2;s13v2c1;Calcutta 1 Jan 1803;1803;1.0;1.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
216;s14;s14v1;s14v1c1;Bengal 3 Jul 1765;1765;7.0;3.0;l2;False;l2;Bengal;calls;21.3623;88.0932;bengal_presidency
253;s15;s15v4;s15v4c6;3 Oct Calcutta;1752;10.0;3.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
264;s16;s16v2;s16v2c2;Bengal;1760;;;l2;False;l2;Bengal;calls;21.3623;88.0932;bengal_presidency
278;s16;s16v3;s16v3c11;20 Dec Calcutta;1765;12.0;20.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
316;s23;s23v1;s23v1c3;24 Aug Diamond Harbour;1788;8.0;24.0;l57;False;l57;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
356;s23;s23v7;s23v7c4;14 Jan 1805 Saugor;1805;1.0;14.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
358;s23;s23v7;s23v7c6;14 Mar Ganjam;1805;3.0;14.0;l98;False;l98;Ganjam;calls;19.38705;85.05079;bengal_presidency
364;s23;s23v8;s23v8c3;27 Nov Diamond Harbour;1807;11.0;27.0;l57;False;l57;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
365;s23;s23v8;s23v8c4;14 Jan 1808 Saugor;1808;1.0;14.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
371;s24;s24v2;s24v2c1;20 Sep Calcutta;1722;9.0;20.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
381;s24;s24v4;s24v4c3;21 Aug Calcutta;1731;8.0;21.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
383;s24;s24v4;s24v4c5;3 Dec Balasore;1731;12.0;3.0;l35;False;l35;Balasore;calls;21.49266;86.93348;bengal_presidency
393;s25;s25v1;s25v1c5;25 Dec Balasore;1759;12.0;25.0;l35;False;l35;Balasore;calls;21.49266;86.93348;bengal_presidency
475;s28;s28v7;s28v7c6;6 May Saugor;1806;5.0;6.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
477;s28;s28v7;s28v7c8;26 Jul Saugor;1806;7.0;26.0;l9;False;l9;Saugor;calls;21.6528;88.0753;bengal_presidency
496;s29;s29v1;s29v1c4;11 Nov Calcutta;1821;11.0;11.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
504;s29;s29v2;s29v2c3;21 Oct Calcutta;1825;10.0;21.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
531;s32;s32v1;s32v1c2;5 Sep Calcutta;1797;9.0;5.0;l8;False;l8;Calcutta;calls;22.3403;88.2212;bengal_presidency
