;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
24;s2;s2v1;s2v1c2;3 May Bombay;1826;5.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
30;s2;s2v2;s2v2c2;5 Jun Bombay;1828;6.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
37;s2;s2v3;s2v3c2;15 May Bombay;1830;5.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
44;s2;s2v4;s2v4c2;19 Jun Bombay;1832;6.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
66;s5;s5v1;s5v1c7;16 Apr Karwar;1704;4.0;16.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
68;s5;s5v1;s5v1c9;14 May Bombay;1704;5.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
69;s5;s5v1;s5v1c10;11 Dec Surat;1704;12.0;11.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
70;s5;s5v1;s5v1c11;4 Mar 1705 Bombay;1705;3.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
77;s5;s5v2;s5v2c6;11 Feb Karwar;1709;2.0;11.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
78;s5;s5v2;s5v2c7;9 Mar Bombay;1709;3.0;9.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
79;s5;s5v2;s5v2c8;10 Apr Surat;1709;4.0;10.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
80;s5;s5v2;s5v2c9;7 May Bombay;1709;5.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
85;s5;s5v2;s5v2c14;6 Jan 1710 Bombay;1710;1.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
86;s5;s5v2;s5v2c15;17 Jan Surat;1710;1.0;17.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
87;s5;s5v2;s5v2c16;2 Apr Bombay;1710;4.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
105;s7;s7v1;s7v1c4;7 Sep Bombay;1718;9.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
106;s7;s7v1;s7v1c5;5 Nov Khanderi;1718;11.0;5.0;l42;False;l42;Khanderi;calls;18.7042;72.8131;bombay_presidency
107;s7;s7v1;s7v1c6;9 Nov Colaba;1718;11.0;9.0;l43;False;l43;Colaba;calls;18.91;72.81;bombay_presidency
108;s7;s7v1;s7v1c7;2 Dec Karwar;1718;12.0;2.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
109;s7;s7v1;s7v1c8;24 Dec Goa;1718;12.0;24.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
111;s7;s7v1;s7v1c10;13 Jan 1719 Bombay;1719;1.0;13.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
112;s7;s7v1;s7v1c11;30 Jan Surat;1719;1.0;30.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
113;s7;s7v1;s7v1c12;9 Feb Bombay;1719;2.0;9.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
180;s12;s12v1;s12v1c3;11 Dec Bombay;1762;12.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
181;s12;s12v1;s12v1c4;27 Jan 1763 Surat;1763;1.0;27.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
182;s12;s12v1;s12v1c5;1 Mar Bombay;1763;3.0;1.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
183;s12;s12v1;s12v1c6;30 Apr Surat;1763;4.0;30.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
184;s12;s12v1;s12v1c7;11 May Bombay;1763;5.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
206;s12;s12v3;s12v3c3;2 Aug Bombay;1770;8.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
264;s16;s16v1;s16v1c3;23 Jan 1759 Bombay;1759;1.0;23.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
318;s22;s22v3;s22v3c2;3 Sep Surat 10 Sep 1666;1666;9.0;10.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
351;s23;s23v6;s23v6c2;23 Jul Bombay;1801;7.0;23.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
415;s26;s26v1;s26v1c2;Bombay 3 Oct 1707;1707;10.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
444;s28;s28v3;s28v3c3;4 Sep Bombay;1794;9.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
456;s28;s28v4;s28v4c6;16 Mar Bombay;1797;3.0;16.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
458;s28;s28v4;s28v4c8;25 May Bombay;1797;5.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
470;s28;s28v5;s28v5c4;6 Dec Bombay;1799;12.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
526;s30;s30v1;s30v1c4;21 Sep Surat 13 Oct;1642;10.0;13.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
527;s30;s30v1;s30v1c5;23 Oct Goa;1642;10.0;23.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
529;s30;s30v1;s30v1c7;22 Dec Surat 19 Jan 1643;1643;1.0;19.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
534;s30;s30v2;s30v2c2;27 Sep Surat 1 Feb 1649;1649;2.0;1.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
537;s30;s30v3;s30v3c2;Surat;1650;;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
562;s33;s33v8;s33v8c5;27 Apr Bombay;1803;4.0;27.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
582;s34;s34v3;s34v3c3;13 Sep Bombay 4 Jan 1809;1809;1.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
586;s34;s34v4;s34v4c2;2 Jul Bombay;1810;7.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
609;s34;s34v7;s34v7c3;23 Sep Bombay 7 Dec;1816;12.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
643;s35;s35v4;s35v4c3;5 Sep Bombay;1782;9.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
647;s35;s35v4;s35v4c7;6 Sep Bombay;1783;9.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
649;s35;s35v4;s35v4c9;18 Apr Bombay 18 Nov;1784;11.0;18.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
651;s35;s35v4;s35v4c11;3 Jan 1785 Bombay;1785;1.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
809;s43;s43v1;s43v1c4;29 Feb Bombay;1696;2.0;29.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
816;s44;s44v1;s44v1c2;Surat;1660;;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
849;s48;s48v2;s48v2c4;25 May Bombay;1804;5.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
897;s48;s48v8;s48v8c3;22 Sep Bombay;1816;9.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
913;s49;s49v2;s49v2c7;27 Feb Bombay;1769;2.0;27.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
958;s52;s52v2;s52v2c1;Bombay 6 May 1801;1801;5.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1042;s60;s60v1;s60v1c4;20 Sep Surat;1617;9.0;20.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1056;s60;s60v3;s60v3c7;Oct Dabhol;1622;10.0;;l165;False;l165;Dabhol;calls;17.58971;73.18001;bombay_presidency
1057;s60;s60v3;s60v3c8;24 Oct Surat;1622;10.0;24.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1058;s60;s60v3;s60v3c9;Nov Goa;1622;11.0;;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
1062;s60;s60v3;s60v3c13;Apr Surat;1624;4.0;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1065;s60;s60v3;s60v3c16;Surat;1625;;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1089;s62;s62v2;s62v2c11;29 May Bombay;1755;5.0;29.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1098;s63;s63v1;s63v1c4;30 Sep Bombay;1764;9.0;30.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1140;s64;s64v1;s64v1c3;24 Jan 1647 Surat;1647;1.0;24.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1145;s64;s64v1;s64v1c8;7 Dec Surat 7 Jan 1648;1648;1.0;7.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1198;s69;s69v2;s69v2c5;2 Jan 1816 Bombay;1816;1.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1216;s71;s71v2;s71v2c3;19 Oct Bombay;1705;10.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1217;s71;s71v2;s71v2c4;19 Nov Gogha;1705;11.0;19.0;l183;False;l183;Gogha;calls;21.68;72.28;bombay_presidency
1218;s71;s71v2;s71v2c5;31 Dec Bombay;1705;12.0;31.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1220;s71;s71v2;s71v2c7;24 Mar Bombay;1706;3.0;24.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1221;s71;s71v2;s71v2c8;30 Apr Surat;1706;4.0;30.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1222;s71;s71v2;s71v2c9;5 May Bombay;1706;5.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1223;s71;s71v2;s71v2c10;20 May Karwar;1706;5.0;20.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
1224;s71;s71v2;s71v2c11;20 Oct Bombay;1706;10.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1225;s71;s71v2;s71v2c12;5 Jan 1707 Karwar;1707;1.0;5.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
1235;s73;s73v1;s73v1c1;Bombay 6 Feb 1799;1799;2.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1312;s76;s76v7;s76v7c3;26 May Bombay;1810;5.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1370;s80;s80v1;s80v1c3;5 Dec Bombay;1764;12.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1372;s80;s80v1;s80v1c5;19 Mar Bombay;1765;3.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1405;s80;s80v4;s80v4c6;4 Mar 1782 Bombay;1782;3.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1419;s81;s81v3;s81v3c3;26 Jul Bombay;1783;7.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1450;s81;s81v6;s81v6c9;7 Jun Bombay;1797;6.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1499;s83;s83v1;s83v1c1;Bombay 1 Dec 1799;1799;12.0;1.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1504;s83;s83v2;s83v2c1;Bombay 15 Mar 1802;1802;3.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1569;s85;s85v1;s85v1c2;26 Sep Bombay;1820;9.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1756;s94;s94v8;s94v8c3;13 Jun Bombay;1827;6.0;13.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1764;s94;s94v9;s94v9c2;3 Jul Bombay;1829;7.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
1874;s103;s103v1;s103v1c2;Surat;1667;;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1964;s108;s108v6;s108v6c3;Nov Karwar;1684;11.0;;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
1965;s108;s108v6;s108v6c4;Feb 1685 Surat;1685;2.0;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
1971;s109;s109v1;s109v1c4;30 Aug Goa;1724;8.0;30.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
1972;s109;s109v1;s109v1c5;6 Sep Karwar;1724;9.0;6.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
1982;s109;s109v2;s109v2c5;2 Jun Bombay;1726;6.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
2001;s110;s110v2;s110v2c3;9 Oct Bombay 11 Jan 1820;1820;1.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
