;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
0;s1;s1v1;s1v1c1;Downs 27 May 1819;1819;5.0;27.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
5;s1;s1v1;s1v1c6;13 May East India Dock;1820;5.0;13.0;l6;True;l6;East India Dock;calls;51.30292;0.0035;british_isles
6;s1;s1v2;s1v2c1;Downs 25 May 1829;1829;5.0;25.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
11;s1;s1v2;s1v2c6;17 Jun East India Dock;1824;6.0;17.0;l6;True;l6;East India Dock;calls;51.30292;0.0035;british_isles
12;s1;s1v3;s1v3c1;Downs 23 May 1826;1826;5.0;23.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
18;s1;s1v4;s1v4c1;Downs 23 Jun 1828;1828;6.0;23.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
22;s1;s1v4;s1v4c5;17 Aug East India Dock;1829;8.0;17.0;l6;True;l6;East India Dock;calls;51.30292;0.0035;british_isles
23;s2;s2v1;s2v1c1;Downs 13 Jan 1826;1826;1.0;13.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
29;s2;s2v2;s2v2c1;Downs 21 Feb 1828;1828;2.0;21.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
36;s2;s2v3;s2v3c1;Downs 22 Jan 1830;1830;1.0;22.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
43;s2;s2v4;s2v4c1;Portsmouth 20 Mar 1832;1832;3.0;20.0;l18;False;l18;Portsmouth;calls;50.79899;-1.09125;british_isles
50;s3;s3v1;s3v1c3;21 Jun Falmouth;1796;6.0;21.0;l21;False;l21;Falmouth;calls;50.15441;-5.07113;british_isles
52;s4;s4v1;s4v1c1;Downs Jul 1622;1622;7.0;;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
60;s5;s5v1;s5v1c1;Downs 11 Jun 1703;1703;6.0;11.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
72;s5;s5v2;s5v2c1;Downs 14 Apr 1708;1708;4.0;14.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
92;s5;s5v3;s5v3c1;Downs 20 Jun 1712;1712;6.0;20.0;l1;False;l1;Downs;calls;51.1108;1.2923;british_isles
