;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
48;s3;s3v1;s3v1c1;Kedgeree 1 Feb 1796;1796;2.0;1.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
104;s7;s7v1;s7v1c3;19 Jul Johanna;1718;7.0;19.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
117;s7;s7v1;s7v1c16;23 Jul Reunion;1719;7.0;23.0;l47;False;l47;Reunion;calls;-21.0652;55.3157;indian_ocean
125;s7;s7v2;s7v2c2;wrecked at the Cape Jun 1722;1722;6.0;;;True;;maldives;calls;4.18;73.51;indian_ocean
144;s11;s11v1;s11v1c2;16 Feb 1798 Kedgeree;1798;2.0;16.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
146;s11;s11v1;s11v1c4;11 Aug Kedgeree;1798;8.0;11.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
167;s11;s11v5;s11v5c3;21 Jul Kedgeree;1807;7.0;21.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
177;s11;s11v6;s11v6c2;lost on Goodwin Sands off South Foreland 25 Ja;1809;;25.0;;True;;maldives;calls;4.18;73.51;indian_ocean
179;s12;s12v1;s12v1c2;16 Sep Moheli;1762;9.0;16.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
199;s12;s12v2;s12v2c3;4 Sep Johanna;1767;9.0;4.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
201;s12;s12v2;s12v2c5;27 Feb 1768 Kedgeree 7 Apr;1768;4.0;7.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
205;s12;s12v3;s12v3c2;8 Jul Johanna;1770;7.0;8.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
217;s13;s13v2;s13v2c2;1 Feb Kedgeree;1803;2.0;1.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
221;s14;s14v1;s14v1c2;28 Sep Kedgeree;1765;9.0;28.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
245;s15;s15v3;s15v3c5;24 Jun Mauritius;1748;6.0;24.0;l77;False;l77;Mauritius;calls;-20.2;57.5;indian_ocean
253;s15;s15v4;s15v4c2;26 May Johanna;1752;5.0;26.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
263;s16;s16v1;s16v1c2;17 Nov Bandar Abbas;1758;11.0;17.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
