;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
25;s2;s2v1;s2v1c3;15 Jul Singapore;1826;7.0;15.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
31;s2;s2v2;s2v2c3;3 Sep Malacca;1828;9.0;3.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
54;s4;s4v1;s4v1c3;Batavia;1622;;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
55;s4;s4v1;s4v1c4;Tiku;1622;;;l23;False;l23;Tiku;calls;-0.3958;99.92307;southeast_asia
56;s4;s4v1;s4v1c5;Dec 1623 Batavia;1623;12.0;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
94;s5;s5v3;s5v3c3;21 Feb 1713 Batavia;1713;2.0;21.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
95;s5;s5v3;s5v3c4;20 Mar Benkulen;1713;3.0;20.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
97;s5;s5v3;s5v3c6;1 May Benkulen;1713;5.0;1.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
98;s5;s5v3;s5v3c7;28 Sep Batavia;1713;9.0;28.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
145;s11;s11v1;s11v1c3;27 Jun Benkulen;1798;6.0;27.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
148;s11;s11v1;s11v1c6;5 Nov Benkulen;1798;11.0;5.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
186;s12;s12v1;s12v1c9;17 Sep Malacca;1763;9.0;17.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
187;s12;s12v1;s12v1c10;17 Oct Cavite;1763;10.0;17.0;l62;False;l62;Cavite;calls;15.67785;120.76978;southeast_asia
188;s12;s12v1;s12v1c11;28 Nov Manila;1763;11.0;28.0;l63;False;l63;Manila;calls;14.3545;120.5838;southeast_asia
190;s12;s12v1;s12v1c13;30 Jan Manila;1764;1.0;30.0;l63;False;l63;Manila;calls;14.3545;120.5838;southeast_asia
191;s12;s12v1;s12v1c14;26 May Sulu;1764;5.0;26.0;l65;False;l65;Sulu;calls;6.05222;121.00222;southeast_asia
247;s15;s15v3;s15v3c7;23 Oct Benkulen;1748;10.0;23.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
248;s15;s15v3;s15v3c8;1 Dec Batavia;1748;12.0;1.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
273;s16;s16v3;s16v3c2;4 Jul Benkulen;1764;7.0;4.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
274;s16;s16v3;s16v3c3;12 Sep Batavia;1764;9.0;12.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
