origin;dest;count;time
l1;l2;1;1819
l1;l5;2;1819
l1;l4;1;1819
l1;l12;5;1819
l1;l8;1;1819
l1;l916;1;1819
l1;l14;1;1819
l2;l3;1;1819
l3;l4;1;1819
l18;l5;3;1819
l18;l14;2;1819
l18;l107;2;1819
l18;l4;2;1819
l18;l9;1;1819
l5;l12;2;1819
l5;l107;1;1819
l5;l1;14;1819
l5;l141;1;1819
l5;l108;1;1819
l5;l37;1;1819
l12;l22;2;1819
l12;l15;1;1819
l12;l107;2;1819
l12;l279;1;1819
l12;l11;1;1819
l107;l14;4;1819
l107;l15;5;1819
l14;l19;15;1819
l4;l11;1;1819
l4;l107;2;1819
l4;l5;2;1819
l4;l1;1;1819
l11;l5;5;1819
l19;l5;8;1819
l19;l11;1;1819
l19;l1;1;1819
l55;l12;3;1819
l15;l14;4;1819
l15;l13;2;1819
l13;l14;2;1819
l8;l20;1;1819
l916;l14;1;1819
l58;l4;1;1819
l279;l11;1;1819
l9;l5;1;1819
l9;l107;1;1819
l37;l107;1;1819
l4;l5;2;1820
l4;l58;1;1820
l4;l11;1;1820
l4;l107;3;1820
l5;l6;1;1820
l5;l108;2;1820
l5;l70;1;1820
l5;l14;2;1820
l5;l1;17;1820
l5;l37;1;1820
l1;l12;3;1820
l1;l4;3;1820
l1;l57;1;1820
l1;l5;2;1820
l1;l14;5;1820
l1;l8;1;1820
l1;l68;1;1820
l1;l11;1;1820
l12;l11;3;1820
l12;l4;2;1820
l12;l5;1;1820
l12;l107;2;1820
l22;l14;2;1820
l14;l19;16;1820
l19;l5;13;1820
l19;l16;1;1820
l19;l11;3;1820
l16;l5;1;1820
l11;l5;4;1820
l11;l70;1;1820
l11;l8;1;1820
l58;l20;1;1820
l20;l5;1;1820
l20;l11;1;1820
l57;l4;1;1820
l57;l8;1;1820
l107;l14;5;1820
l107;l15;1;1820
l15;l13;1;1820
l13;l14;1;1820
l21;l8;2;1820
l21;l57;1;1820
l8;l9;3;1820
l8;l5;1;1820
l37;l107;1;1820
l68;l8;1;1820
l9;l4;1;1820
l55;l12;1;1820
l1;l11;2;1828
l1;l12;1;1828
l1;l4;6;1828
l1;l14;3;1828
l1;l13;1;1828
l1;l8;1;1828
l1;l9;2;1828
l11;l2;1;1828
l11;l5;1;1828
l11;l9;1;1828
l2;l5;1;1828
l16;l5;1;1828
l5;l147;1;1828
l5;l6;1;1828
l5;l70;1;1828
l5;l9;1;1828
l5;l1;14;1828
l5;l12;1;1828
l5;l1241;1;1828
l147;l1;1;1828
l6;l8;1;1828
l12;l13;2;1828
l12;l107;1;1828
l13;l14;5;1828
l13;l19;1;1828
l14;l5;1;1828
l14;l19;12;1828
l85;l12;1;1828
l85;l5;1;1828
l107;l13;2;1828
l107;l15;3;1828
l107;l14;1;1828
l19;l5;6;1828
l19;l11;1;1828
l9;l107;2;1828
l9;l5;2;1828
l9;l14;2;1828
l15;l13;1;1828
l15;l14;2;1828
l4;l8;1;1828
l4;l107;3;1828
l4;l20;1;1828
l4;l58;3;1828
l4;l5;3;1828
l8;l58;1;1828
l8;l78;1;1828
l8;l20;2;1828
l8;l9;1;1828
l18;l8;1;1828
l18;l4;2;1828
l18;l5;1;1828
l20;l58;1;1828
l20;l4;1;1828
l58;l9;2;1828
l58;l8;1;1828
l357;l9;1;1828
l5;l6;1;1829
l5;l70;1;1829
l5;l1;15;1829
l5;l107;1;1829
l5;l147;1;1829
l1;l14;1;1829
l1;l8;2;1829
l1;l5;1;1829
l1;l58;1;1829
l1;l4;2;1829
l1;l20;1;1829
l18;l12;1;1829
l18;l8;1;1829
l18;l244;1;1829
l12;l13;1;1829
l13;l14;1;1829
l13;l221;1;1829
l13;l16;1;1829
l8;l78;1;1829
l8;l9;1;1829
l8;l20;1;1829
l19;l5;6;1829
l19;l72;1;1829
l19;l11;1;1829
l58;l4;2;1829
l58;l9;2;1829
l4;l5;3;1829
l4;l11;1;1829
l4;l58;1;1829
l4;l107;1;1829
l78;l4;1;1829
l11;l1;3;1829
l11;l5;1;1829
l107;l13;1;1829
l107;l15;1;1829
l221;l14;2;1829
l72;l147;1;1829
l9;l11;1;1829
l9;l5;1;1829
l9;l323;1;1829
l9;l8;1;1829
l20;l4;1;1829
l20;l9;1;1829
l323;l1;1;1829
l15;l13;1;1829
l16;l221;1;1829
l244;l8;1;1829
l1;nan;1;1720
l1;l11;2;1720
l1;l85;1;1720
l1;l5;1;1720
l85;l22;1;1720
l85;l14;1;1720
l85;l57;1;1720
l85;nan;1;1720
l85;l1;1;1720
l22;l14;1;1720
l14;l15;1;1720
l14;l11;1;1720
l15;l4;1;1720
l57;l4;1;1720
l4;l76;1;1720
l4;l11;1;1720
l4;l5;1;1720
l76;l4;1;1720
l18;nan;2;1720
nan;l11;1;1720
l31;l30;1;1720
l30;l28;1;1720
l28;l4;1;1720
l5;l97;3;1720
l5;l11;1;1720
l5;l141;1;1720
l11;l4;1;1720
l11;l5;2;1720
l126;l5;1;1720
l1;l4;4;1802
l1;l323;1;1802
l1;l11;3;1802
l1;l14;5;1802
l1;l5;3;1802
l4;l5;5;1802
l4;l107;3;1802
l4;l8;3;1802
l4;l58;7;1802
l4;l59;1;1802
l28;l98;2;1802
l28;l5;3;1802
l28;l12;1;1802
l98;l28;1;1802
l98;l5;1;1802
l5;l51;6;1802
l5;l127;1;1802
l5;l108;6;1802
l5;l37;1;1802
l5;l70;4;1802
l5;l1;26;1802
l5;l11;3;1802
l5;l18;1;1802
l14;l19;20;1802
l19;l5;18;1802
l18;l4;4;1802
l18;l57;2;1802
l18;l12;3;1802
l107;l15;2;1802
l107;l14;1;1802
l107;l4;1;1802
l15;l14;3;1802
l8;l9;5;1802
l8;l20;4;1802
l8;l58;1;1802
l9;l5;7;1802
l9;l4;2;1802
l9;l11;1;1802
l20;l5;3;1802
l20;l11;1;1802
l20;l4;2;1802
l37;l107;1;1802
l12;l5;2;1802
l12;l15;1;1802
l12;l28;1;1802
l12;l30;1;1802
l12;l33;1;1802
l12;l8;1;1802
l12;l14;1;1802
l57;l4;2;1802
l58;l9;6;1802
l58;l20;2;1802
l59;l5;1;1802
l59;l58;1;1802
l11;l5;1;1802
l11;l4;2;1802
l11;l12;1;1802
l11;l84;1;1802
l11;l194;1;1802
l11;l8;1;1802
l323;l14;1;1802
nan;l5;1;1802
l33;l12;1;1802
l131;l117;1;1802
l78;l4;1;1802
l157;l4;1;1802
l125;l14;1;1802
l5;l51;3;1803
l5;l70;2;1803
l5;l108;9;1803
l5;l144;1;1803
l5;l131;5;1803
l5;l8;1;1803
l5;l1;14;1803
l5;l11;1;1803
l5;l85;1;1803
l5;l12;1;1803
l5;l170;1;1803
l5;nan;1;1803
l5;l37;1;1803
l5;l94;1;1803
l5;l21;1;1803
l8;l20;3;1803
l8;l9;4;1803
l8;l58;1;1803
l20;l5;3;1803
l20;l9;4;1803
l20;l4;1;1803
l1;l14;6;1803
l1;l5;4;1803
l1;l57;1;1803
l1;l107;1;1803
l1;l4;5;1803
l1;l11;1;1803
l1;l41;1;1803
l1;l95;1;1803
l14;l19;12;1803
l85;l68;3;1803
l85;l70;1;1803
l68;l4;3;1803
l68;l58;2;1803
l68;l8;2;1803
l9;l143;1;1803
l9;l107;1;1803
l9;l4;2;1803
l9;l20;1;1803
l9;l37;1;1803
l9;l5;7;1803
l9;l194;1;1803
l9;l8;1;1803
l143;l4;1;1803
l4;l5;9;1803
l4;l78;1;1803
l4;l58;5;1803
l4;l8;2;1803
l4;l107;1;1803
l4;l91;1;1803
l144;l1;1;1803
l15;l5;1;1803
l15;l14;2;1803
l107;l5;1;1803
l107;l15;1;1803
l107;l14;2;1803
l131;l108;1;1803
l131;l1;2;1803
l131;nan;1;1803
l131;l18;1;1803
l18;l4;3;1803
l18;l58;1;1803
l18;l57;2;1803
l18;l68;4;1803
