id;name;lat;lon
l1;Downs;51.1108;1.2923
l3;Narsipur;12.21;76.906
l6;East India Dock;51.30292;0.0035
l28;Anjengo;8.4833;76.9167
l40;Sao Tiago;15.04;-23.38
l42;Khanderi;18.7042;72.8131
l43;Colaba;18.91;72.81
l47;Reunion;-21.0652;55.3157
l54;Lintin;22.2446;113.4813
l76;Fort St David;11.75;79.75
l77;Mauritius;-20.2;57.5
l141;Spithead;50.7514;-1.13667
l157;Mokha;13.1913;43.15
l178;Cagayan Sulu;6.5841;118.3047
l204;Socotra;12.3036;53.5512
l210;Bocca Tigris;22.7933;113.5979
l220;River Thames;51.4959;0.514031
l224;Dungeness;50.55;0.58
l235;Kedah;6.0742;100.2146
l244;Point de Galle;6.0158;80.1256
l303;Hormuz;27.0403;56.2736
l348;Martinique;14.39;-61.0054
l355;Mahim;19.035;72.84
l372;Karrack;29.1528;50.193
l382;Negrais;16.2;94.12
l401;Coninga;16.5758;82.1518
l408;Kidderpore;22.536323;88.316654
l447;Delagoa Bay;-25.59;32.42
l453;Ryukyu Islands;26.3;127.54
l551;Orkneys;59.0;-3.0
l598;Resolution Bay;-41.0731;174.1332
l599;Tahiti;-17.4;-149.25
l606;Canton river;22.476411;113.750545
l979;Great Nanka;-2.25;105.48
nan;Anjengo Cape;8.4833;76.9167
l1198;All Saints' Bay, Brazil;-12.51;-38.38
l1268;Krakatoa;-6.0607;105.2523
l1379;Cape Verde;15.55;-23.55
l1397;Port Cornwallis;13.17;93.05
l1401;Cape Augustine;-8.1723;-35.0148
l1408;Norfolk Island;-29.02;167.57
l586;Leith;55.98;-3.17
l947;Ireland;53.2658;-7.3011
l1053;Scilly;49.55;-6.2
l1101;Bab el Mandeb;12.35;43.2
l8;Calcutta;22.3403;88.2212
l57;Madeira;32.45;-17.0
l4;Madras;13.457;80.163
l5;St Helena;-15.58;-5.42
l16;Macao;22.1;113.33
l87;Bantam;-6.0233;106.0939
l94;River Shannon;52.35;-9.18
l102;Barbados;13.1012;-59.3309
l111;West India Dock;51.50347;-0.01722
l119;Porto Praya;14.918;-23.509
l124;Crookhaven;51.2747;-9.4313
l194;Nicobars;7.05;93.48
l200;Comoros;-12.3;43.7
l202;Seychelles;-4.35;55.4
l839;Gambia river;13.28;-16.34
l862;Port Dauphin;-25.0157;46.59
l863;Masirah;20.2816;58.4855
l873;Lombok;-8.565;116.351
l910;Tristan de Cunha;-37.7;-12.18
l911;St Paul's Island;-38.43;77.31
l912;Condore;16.4108;80.3445
l926;Manila Bay;14.31;120.46
l967;Delagoa;-25.59;32.42
l976;Tristan da Cunha;-37.7;-12.18
l1202;Bay of Bulls, Newfoundland;47.299;-52.781
l1213;Nootka Sound;49.41;-126.33
