;location_id;count;location;category;lat;lon;region
0;l1;4154;Downs;calls;51.1108;1.2923;british_isles
1;l5;3427;St Helena;calls;-15.58;-5.42;atlantic
2;l4;2110;Madras;calls;13.457;80.163;madras_presidency
3;l11;1529;Cape;calls;-34.2129;18.2832;atlantic
4;l18;1363;Portsmouth;calls;50.79899;-1.09125;british_isles
5;l14;1310;Whampoa;calls;23.11037;113.4418;china
6;l12;1203;Bombay;calls;19.07283;72.88261;bombay_presidency
7;l19;1132;Second Bar;calls;22.476411;113.750545;china
8;l9;694;Saugor;calls;21.6528;88.0753;bengal_presidency
9;l8;609;Calcutta;calls;22.3403;88.2212;bengal_presidency
10;l15;548;Malacca;calls;2.196;102.2405;southeast_asia
11;l105;488;Penang;calls;5.41123;100.33543;southeast_asia
12;l33;469;Surat;calls;21.19594;72.83023;bombay_presidency
13;l22;457;Batavia;calls;-6.129;106.8129;southeast_asia
14;l57;448;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
15;l56;417;Madeira;calls;32.45;-17.0;atlantic
16;l37;352;Benkulen;calls;-3.80044;102.26554;southeast_asia
17;l20;352;Kedgeree;calls;12.8575;87.9115;indian_ocean
18;l106;347;Long Reach;calls;51.4415;0.3685;british_isles
19;l41;344;Johanna;calls;-12.1254;44.253;indian_ocean
20;l30;328;Tellicherry;calls;11.74811;75.4929;madras_presidency
21;l28;266;Anjengo;calls;8.4833;76.9167;madras_presidency
23;l40;216;Sao Tiago;calls;15.04;-23.38;atlantic
24;l46;211;Cochin;calls;9.93988;76.26022;madras_presidency
25;l84;206;Plymouth;calls;50.37153;-4.14305;british_isles
26;l10;198;Blackwall;calls;51.50971;-0.0016;british_isles
27;l86;197;Bantam;calls;-6.0233;106.0939;southeast_asia
28;l75;193;Fort St David;calls;11.75;79.75;madras_presidency
30;l77;154;Vizagapatam;calls;17.68009;83.20161;madras_presidency
31;l79;148;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
32;l90;143;Masulipatam;calls;16.18747;81.13888;madras_presidency
33;l29;143;Calicut;calls;11.24802;75.7804;madras_presidency
