Source;Target;Weight;Direction
1;1;120;unchanged
1;3;63;promotion
1;4;2;promotion
1;5;1;promotion
1;6;48;promotion
1;8;1;promotion
1;9;2;promotion
1;10;7;promotion
1;11;11;promotion
1;12;7;promotion
1;15;5;promotion
1;16;35;promotion
1;17;17;promotion
1;18;16;promotion
2;2;2368;unchanged
2;3;1;promotion
2;6;3;promotion
2;10;6;promotion
2;11;20;promotion
2;12;16;promotion
2;14;20;promotion
2;15;24;promotion
2;16;10;promotion
2;17;6;promotion
2;18;1;promotion
2;19;36;promotion
3;1;4;demotion
3;2;4;demotion
3;3;762;unchanged
3;4;12;promotion
3;5;5;promotion
3;6;436;promotion
3;7;1;promotion
3;8;6;promotion
3;9;3;promotion
3;10;73;promotion
3;11;113;promotion
3;12;100;promotion
3;15;44;promotion
3;16;86;promotion
3;17;17;promotion
3;18;12;promotion
3;19;2;promotion
3;20;1;promotion
4;2;1;demotion
4;3;33;demotion
4;4;81;unchanged
4;6;103;promotion
4;10;23;promotion
4;11;26;promotion
4;12;5;promotion
4;15;2;promotion
4;16;5;promotion
4;17;1;promotion
4;20;1;promotion
5;5;2;unchanged
5;18;11;promotion
6;2;25;demotion
6;3;97;demotion
6;4;13;demotion
6;6;1561;unchanged
6;7;1;promotion
6;8;31;promotion
6;10;333;promotion
6;11;506;promotion
6;12;399;promotion
6;14;3;promotion
6;15;139;promotion
6;16;115;promotion
6;17;23;promotion
6;18;11;promotion
6;19;1;promotion
6;20;4;promotion
7;7;2;unchanged
7;12;1;promotion
7;16;1;promotion
8;3;1;demotion
8;8;109;unchanged
8;10;2;promotion
8;11;2;promotion
8;12;20;promotion
8;14;1;promotion
8;15;12;promotion
8;16;13;promotion
8;17;13;promotion
8;18;1;promotion
8;19;4;promotion
8;20;2;promotion
9;3;1;demotion
9;5;1;demotion
9;9;8;unchanged
9;16;2;promotion
9;17;3;promotion
10;1;1;demotion
10;2;13;demotion
10;3;7;demotion
10;4;1;demotion
10;6;4;demotion
10;10;435;unchanged
10;11;204;promotion
10;12;331;promotion
10;14;10;promotion
10;15;108;promotion
10;16;57;promotion
10;17;18;promotion
10;18;1;promotion
10;19;8;promotion
10;20;4;promotion
11;2;21;demotion
11;3;11;demotion
11;6;5;demotion
11;8;3;demotion
11;10;14;demotion
11;11;646;unchanged
11;12;646;promotion
11;14;4;promotion
11;15;437;promotion
11;16;143;promotion
11;17;41;promotion
11;18;2;promotion
11;19;11;promotion
11;20;3;promotion
12;2;18;demotion
12;3;2;demotion
12;6;6;demotion
12;8;4;demotion
12;10;7;demotion
12;11;39;demotion
12;12;980;unchanged
12;14;7;promotion
12;15;990;promotion
12;16;458;promotion
12;17;82;promotion
12;18;5;promotion
12;19;27;promotion
12;20;4;promotion
13;13;85;unchanged
13;14;117;promotion
14;2;1;demotion
14;3;1;demotion
14;6;3;demotion
14;8;3;demotion
14;10;3;demotion
14;11;6;demotion
14;12;4;demotion
14;13;16;demotion
14;14;3086;unchanged
14;15;2;promotion
14;16;6;promotion
14;17;2;promotion
14;18;1;promotion
14;19;12;promotion
15;2;31;demotion
15;3;4;demotion
15;4;1;demotion
15;6;11;demotion
15;8;2;demotion
15;10;7;demotion
15;11;15;demotion
15;12;39;demotion
15;13;1;demotion
15;14;9;demotion
15;15;1175;unchanged
15;16;1182;promotion
15;17;332;promotion
15;18;8;promotion
15;19;60;promotion
15;20;2;promotion
16;2;13;demotion
16;3;16;demotion
16;5;2;demotion
16;6;48;demotion
16;8;7;demotion
16;10;12;demotion
16;11;37;demotion
16;12;75;demotion
16;14;12;demotion
16;15;116;demotion
16;16;1792;unchanged
16;17;1053;promotion
16;18;13;promotion
16;19;302;promotion
16;20;6;promotion
17;1;1;demotion
17;2;8;demotion
17;3;4;demotion
17;6;8;demotion
17;8;5;demotion
17;9;1;demotion
17;10;4;demotion
17;11;11;demotion
17;12;18;demotion
17;13;1;demotion
17;14;14;demotion
17;15;50;demotion
17;16;133;demotion
17;17;2417;unchanged
17;18;21;promotion
17;19;648;promotion
17;20;5;promotion
18;1;1;demotion
18;3;1;demotion
18;6;4;demotion
18;8;9;demotion
18;9;1;demotion
18;10;1;demotion
18;11;4;demotion
18;12;17;demotion
18;15;24;demotion
18;16;21;demotion
18;17;19;demotion
18;18;199;unchanged
18;19;15;promotion
19;2;6;demotion
19;3;4;demotion
19;6;7;demotion
19;10;3;demotion
19;11;1;demotion
19;12;8;demotion
19;14;6;demotion
19;15;8;demotion
19;16;13;demotion
19;17;35;demotion
19;18;4;demotion
19;19;3853;unchanged
20;3;1;demotion
20;6;2;demotion
20;10;2;demotion
20;11;2;demotion
20;12;5;demotion
20;15;6;demotion
20;16;6;demotion
20;17;11;demotion
20;19;1;demotion
20;20;87;unchanged
