Source;Target;Weight;Direction
1;2;1;promotion
1;6;1;promotion
1;8;2;promotion
1;10;1;promotion
1;11;2;promotion
1;12;28;promotion
1;14;2;promotion
1;15;42;promotion
1;16;37;promotion
1;17;45;promotion
1;18;3;promotion
1;19;47;promotion
2;2;491;unchanged
2;3;1;promotion
2;10;4;promotion
2;11;10;promotion
2;12;8;promotion
2;14;15;promotion
2;15;14;promotion
2;16;11;promotion
2;17;4;promotion
2;18;2;promotion
2;19;38;promotion
3;1;1;demotion
3;2;6;demotion
3;3;2;unchanged
3;6;6;promotion
3;8;1;promotion
3;10;5;promotion
3;11;7;promotion
3;12;108;promotion
3;14;2;promotion
3;15;109;promotion
3;16;127;promotion
3;17;130;promotion
3;18;1;promotion
3;19;175;promotion
4;2;1;demotion
4;10;2;promotion
4;12;27;promotion
4;15;29;promotion
4;16;33;promotion
4;17;32;promotion
4;19;47;promotion
5;17;1;promotion
5;19;1;promotion
6;2;27;demotion
6;3;1;demotion
6;6;13;unchanged
6;8;2;promotion
6;10;25;promotion
6;11;39;promotion
6;12;176;promotion
6;14;12;promotion
6;15;145;promotion
6;16;205;promotion
6;17;194;promotion
6;18;4;promotion
6;19;202;promotion
8;12;3;promotion
8;14;1;promotion
8;15;1;promotion
8;16;3;promotion
8;17;1;promotion
10;2;14;demotion
10;10;26;unchanged
10;11;51;promotion
10;12;57;promotion
10;14;9;promotion
10;15;47;promotion
10;16;49;promotion
10;17;44;promotion
10;19;46;promotion
11;2;14;demotion
11;10;4;demotion
11;11;62;unchanged
11;12;85;promotion
11;14;3;promotion
11;15;87;promotion
11;16;99;promotion
11;17;81;promotion
11;18;1;promotion
11;19;98;promotion
12;2;16;demotion
12;10;2;demotion
12;11;10;demotion
12;12;56;unchanged
12;14;5;promotion
12;15;108;promotion
12;16;121;promotion
12;17;92;promotion
12;19;113;promotion
13;8;1;demotion
13;13;3;unchanged
13;14;104;promotion
14;2;1;demotion
14;3;1;demotion
14;8;2;demotion
14;10;1;demotion
14;11;2;demotion
14;12;4;demotion
14;13;5;demotion
14;14;714;unchanged
14;15;1;promotion
14;16;3;promotion
14;17;4;promotion
14;19;7;promotion
15;2;14;demotion
15;10;1;demotion
15;11;3;demotion
15;12;6;demotion
15;14;9;demotion
15;15;49;unchanged
15;16;96;promotion
15;17;104;promotion
15;19;95;promotion
16;2;9;demotion
16;8;1;demotion
16;10;1;demotion
16;11;1;demotion
16;12;2;demotion
16;14;7;demotion
16;15;10;demotion
16;16;60;unchanged
16;17;93;promotion
16;19;93;promotion
17;2;3;demotion
17;10;1;demotion
17;12;3;demotion
17;14;6;demotion
17;15;1;demotion
17;16;3;demotion
17;17;82;unchanged
17;18;1;promotion
17;19;68;promotion
18;12;2;demotion
18;15;1;demotion
18;16;2;demotion
18;17;4;demotion
18;18;33;unchanged
18;19;16;promotion
19;10;1;demotion
19;12;1;demotion
19;16;3;demotion
19;17;5;demotion
19;18;3;demotion
19;19;229;unchanged
20;11;1;demotion
20;15;1;demotion
20;16;1;demotion
20;17;1;demotion
