location_id;count;location;category;lat;lon;region
l1673;23;Edinburgh;persons_birth;55.95206;-3.19648;british_isles
l740;14;London;calls;51.50853;-0.12574;british_isles
l1689;10;Glasgow;persons_birth;55.86515;-4.25763;british_isles
l876;7;Dublin;calls;53.33306;-6.24889;british_isles
l1860;7;Aberdeen;persons_birth;57.14369;-2.09814;british_isles
l1829;6;Dundee;persons_birth;56.46913;-2.97489;british_isles
l1883;5;Wexford;persons_birth;52.3278;-6.4949;british_isles
l1922;5;Barnstaple;persons_birth;51.08022;-4.05808;british_isles
l1926;5;Inverness;people_birth;57.4778;-4.2247;british_isles
l1888;4;Perth;persons_birth;56.39522;-3.43139;british_isles
l1839;4;Dumfries;persons_birth;55.06959;-3.61139;british_isles
l576;4;Leith;calls;55.98;-3.17;british_isles
l1855;3;North Berwick;persons_birth;56.05825;-2.7229;british_isles
l2248;3;Kingston;people_birth;53.444;-0.1957;british_isles
l1979;3;Sunderland;persons_birth;54.90465;-1.38222;british_isles
l2034;3;Stirling;persons_birth;56.11903;-3.93682;british_isles
l1745;3;St Peter Port;persons_birth;49.45981;-2.53527;british_isles
l1919;3;Ayr;persons_birth;55.46273;-4.63393;british_isles
l1491;3;Ipswich;ships_built_at;52.05917;1.15545;british_isles
l1703;3;Newcastle-on-Tyne;people_birth;54.98;-1.61;british_isles
l129;3;Cork;calls;51.89797;-8.47061;british_isles
l1861;2;Turriff;persons_birth;57.5384;-2.45932;british_isles
l5;2;St Helena;calls;-15.58;-5.42;atlantic
l1877;2;Walthamstow;persons_birth;51.59067;-0.02077;british_isles
l142;2;Yarmouth;calls;50.70529;-1.49929;british_isles
l2420;2;Sotterley;people_birth;52.401;1.61;british_isles
l1685;2;Bridgwater;persons_birth;51.12837;-3.00356;british_isles
l1072;2;Southampton;calls;50.90395;-1.40428;british_isles
l1777;2;Derby;persons_birth;52.92277;-1.47663;british_isles
l2056;2;Kensington;persons_birth;51.50094;-0.19175;british_isles
l1692;2;France;persons_birth;47.0;2.0;atlantic
l4;2;Madras;calls;13.457;80.163;madras_presidency
l2250;2;Berwick-upon-Tweed;people_birth;55.4609;-2.0009;british_isles
l1752;2;Kilmarnock;persons_birth;55.61171;-4.49581;british_isles
l1862;2;St Andrews;people_birth;56.3404;-2.7955;british_isles
l763;2;Bristol;calls;51.45523;-2.59665;british_isles
l1858;2;Dalkeith;persons_birth;55.89317;-3.06806;british_isles
l2043;2;Southwark;people_birth;51.4988;-0.0901;british_isles
l1956;2;Chatham;persons_birth;51.37891;0.52786;british_isles
l1764;2;Fort William;persons_birth;56.81648;-5.11208;british_isles
l8;2;Calcutta;calls;22.3403;88.2212;bengal_presidency
l1969;2;Ross;persons_birth;39.31228;-84.6505;atlantic
l2066;2;Kirkcaldy;persons_birth;56.11683;-3.15999;british_isles
l1679;2;Greenock;persons_birth;55.94838;-4.76121;british_isles
l1921;2;Ilfracombe;persons_birth;51.2093;-4.11344;british_isles
l1676;2;Yorkshire;people_birth;54.0;-2.0;british_isles
l2201;2;Bratton;persons_birth;51.27056;-2.12444;british_isles
l2186;2;Cullen;persons_birth;57.69045;-2.81818;british_isles
l1797;2;Brechin;persons_birth;56.72993;-2.65729;british_isles
l1721;2;Norwich;persons_birth;52.62783;1.29834;british_isles
l96;1;Woolwich;calls;51.491;0.0648;british_isles
l2215;1;Forres;persons_birth;57.60997;-3.62115;british_isles
l2202;1;Twyford;persons_birth;51.47518;-0.86037;british_isles
l18;1;Portsmouth;calls;50.79899;-1.09125;british_isles
l2210;1;Lerwick;persons_birth;60.15339;-1.14427;british_isles
l2223;1;Coldstream;persons_birth;55.65111;-2.25295;british_isles
l2213;1;Cumnock;persons_birth;55.45445;-4.26644;british_isles
l2216;1;Harris;people_birth;57.91;-6.83;british_isles
l2217;1;Seve;persons_birth;55.3195;52.06942;indian_ocean
l2468;1;Horsham;persons_birth;51.06314;-0.32757;british_isles
l2253;1;Midlothian;people_birth;55.5339;-3.0407;british_isles
l2257;1;Mansfield;persons_birth;53.13333;-1.2;british_isles
