ship_id;name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
s1;ABBERTON;['Chartered ship, 32/35 crew, 450 tons Principal Managing Owner: William Bawtree'];{'time': ['1818', '1819'], 'destination': 'Bengal', 'reference': ['L/MAR/B/55A Journal 23 Apr 1819-29 May 1820'], 'captain': 'Lucas Percival', 'itinerary': 'Downs 27 May 1819 - 30 Sep Bengal - 29 Dec Narsipur - 3 Jan 1820 Madras - 22 Mar St Helena - 13 May East India Dock'};{'time': ['1822', '1823'], 'destination': 'Bengal', 'reference': ['L/MAR/B/55B Journal 18 Apr 1823-6 Jul 1824'], 'captain': 'Lucas Percival', 'itinerary': 'Downs 25 May 1829 - 21 Sep Hugh -14 Oct Calcutta - 29 Jan 1824 Saugor - 2 Apr St Helena - 17 Jun East India Dock'};{'time': ['1825', '1826'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/55C Journal 17 Apr 1826-21 Jun 1827'], 'captain': 'Lucas Percival', 'itinerary': 'Downs 23 May 1826 - 17 Sep Madras - 25 Oct Calcutta -18 Jan 1827 Madras - 7 Apr St Helena - 1 Jun Blackwall'};{'time': ['1827', '1828'], 'destination': 'Bengal', 'reference': ['L/MAR/B/55D Journal 13 May 1828-2 Sep 1829'], 'captain': 'Lucas Percival', 'itinerary': 'Downs 23 Jun 1828 - 14 Sep Cape - 1 Dec Bengal -15 Jun 1829 St Helena -17 Aug East India Dock'};nan;nan;nan;nan;nan
s2;ABERCROMBIE ROBINSON;['Built by Wigram, launched 1825, 3 decks, 4in bottom, length 165fl lOin, keel 133fl 4in, breadth 43fl 33/4in, hold 17fl 2in, wing transom 26fl, port cell 29ft Sin, waist 1ft 4in, between decks 6ft Sin & 6ft 4in, roundhouse 6ft 31/2in, ports 14 middle & 13 upper, deck range 97ft 6in, 149/174 crew, 1331 tons Principal Managing Owners: 1-3 Henry Bonham, 4 John Innes Sold to Palmers McKillop & Co 9 Oct 1834, Â£8000'];{'time': ['1825', '1826'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/71A Journal 18 Nov 1825-17 Apr 1827', 'L/MAR/B/71E(1) Ledger', 'L/MAR/B/71E(2) Pay Book'], 'captain': 'John Innes', 'itinerary': 'Downs 13 Jan 1826 - 3 May Bombay -15 Jul Singapore - 31 Jul Whampoa - 25 Jan 1827 St Helena - 16 Mar Blackwall'};{'time': ['1827', '1828'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/71B Journal 3 Jan 1828-19 May 1829', 'L/MAR/B/71F(1) Ledger', 'L/MAR/B/71F(2) Pay Book'], 'captain': 'John Innes', 'itinerary': 'Downs 21 Feb 1828 - 5 Jun Bombay - 3 Sep Malacca - 26 Sep Whampoa -12 Dec Macao - 22 Feb 1829 St Helena - 20 Apr Blackwall'};{'time': ['1829', '1830'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/71C Journal 3 Dec 1829-10 May 1831', 'L/MAR/B/71 G(l) Ledger', 'L/MAR/B/71 G(2) Pay Book'], 'captain': 'John Innes', 'itinerary': 'Downs 22 Jan 1830 - 15 May Bombay - 2 Sep Kowloon -19 Sep Whampoa - 27 Jan 1831 Cape - 19 Feb St Helena -12 Apr Blackwall'};{'time': ['1831', '1832'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/71D Journal 25 Jan 1832-11 May 1833', 'L/MAR/B/71H(1) Ledger', 'L/MAR/B/71H(2) Pay Book'], 'captain': 'John Innes', 'itinerary': 'Portsmouth 20 Mar 1832 - 19 Jun Bombay - 22 Sep Whampoa - Second Bar 27 Oct -13 Apr 1833 Blackwall'};nan;nan;nan;nan;nan
s3;ABERCROMBY;[];{'time': '1796', 'destination': 'From Bengal', 'reference': ['L/MAR/B/527A Journal 31 Jan-4 Aug 1796 '], 'captain': 'John Gilmore', 'itinerary': 'Kedgeree 1 Feb 1796 - 23 Apr St Helena - 21 Jun Falmouth -18 Jul Blackwall'};nan;nan;nan;nan;nan;nan;nan;nan
s4;ABIGAIL;['Built 1622, 200/300 tons'];{'time': ['1621', '1622'], 'destination': 'Java and Sumatra', 'reference': [], 'captain': [], 'itinerary': 'Downs Jul 1622 -17 Dec Cape - Batavia - Tiku - Dec 1623 Batavia - voyages to Sumatra 1624, Lagundy 1625, Coromandel 1626-27, Sumatra 1628 & 1629 - laid up 1631, rotten'};nan;nan;nan;nan;nan;nan;nan;nan
s5;ABINGDON;['400 tons, 30 guns, 80 crew'];"{'time': ['1702', '1703'], 'destination': 'Surat', 'reference': ['L/MAR/B/713B Journal 20 Nov 1704-10 Mar 1705, Robert Pye, Chief Mate', 'L/MAR/B/687A Journal 24 Feb 1703-14 May 1704, Hawes Newport', 'L/MAR/B/687E Ledger'], 'captain': 'John Goodfellow', 'itinerary': ""Downs 11 Jun 1703 - 11 Oct 'Sandy Bay' Guinea - 24 Nov Cape -18 Mar 1704 Anjengo - 31 Mar Calicut -10 Apr Tellicherry -16 Apr Karwar - 29 Apr Mangalore -14 May Bombay -11 Dec Surat - 4 Mar 1705 Bombay - voyage ended 31 May 1707""}";"{'time': ['1707', '1708'], 'destination': 'Surat', 'reference': ['L/MAR/B/687C Journal 24 Jan 1708-6 Feb 1711 ', ""L/MAR/B/687B Boatswain's Book 19 Dec 1707-28 Apr 1710""], 'captain': 'John Lesley', 'itinerary': 'Downs 14 Apr 1708 - 3 Sep Cape - 9 Jan 1709 Anjengo - 20 Jan Calicut - 6 Feb Mangalore -11 Feb Karwar - 9 Mar Bombay -10 Apr Surat - 7 May Bombay -19 Jun Madras -10 Jul Balasore - 24 Jul Calcutta -16 Oct Rogues River - 6 Jan 1710 Bombay -17 Jan Surat - 2 Apr Bombay - 30 May Madras - 27 Sep Cape - 25 Oct St Helena - voyage ended 21 May'}";{'time': ['1711', '1712'], 'destination': 'St Helena and Benkulen', 'reference': ['L/MAR/B/687D Journal 6 May 1712-6 Jun 1714, William Jordan, Third Mate '], 'captain': 'John Lesley', 'itinerary': 'Downs 20 Jun 1712-3 Nov St Helena - 21 Feb 1713 Batavia - 20 Mar Benkulen - 27 Mar Silebar - 1 May Benkulen - 28 Sep Batavia -12 Feb 1714 Cape -1 Mar St Helena - 6 Jun Nore'};nan;nan;nan;nan;nan;nan
s6;ADDISON;['470/490 tons, 30/34 guns, 94/98 crew'];{'time': ['1717', '1718'], 'destination': 'Bombay', 'reference': ['L/MAR/B/703A Journal 2 Jan 1718-24 Mar 1720, Richard Gosfhght, Chief Mate'], 'captain': []};nan;nan;nan;nan;nan;nan;nan;nan
s7;ACHILLES;[];{'time': ['1794', '1795'], 'destination': 'Bengal', 'reference': ['L/MAR/B/514A Journal 24 Aug 1795-19 Jan 1797 ', 'L/MAR/B/703B(1) Ledger ', 'L/MAR/B/703B(2) Pay Book Capt Zachary Hicks'], 'captain': 'Robert Hogg', 'itinerary': 'Downs 8 Mar 1718-2 Apr Sao Tiago -19 Jul Johanna - 7 Sep Bombay - 5 Nov Khanderi - 9 Nov Colaba - 2 Dec Karwar - 24 Dec Goa - 29 Dec Vijayadura -13 Jan 1719 Bombay - 30 Jan Surat - 9 Feb Bombay - 21 Feb Tellicherry - 3 Mar Calicut -1 May Cochin - 23 Jul Reunion -12 Oct Cape - 29 Nov St Helena - 24 Mar Nore 5 Nov 1718-13 Jan 1719 expedition against Angria'};{'time': ['1720', '1721'], 'destination': 'Bombay and Bengal', 'reference': ['L/MAR/B/703C(1) Imprest Book ', 'L/MAR/B/703C(2) Receipt Book Capt Leonard Hicks'], 'captain': [], 'itinerary': 'Downs 5 Nov 1720 - wrecked at the Cape Jun 1722'};nan;nan;nan;nan;nan;nan;nan
s8;ADMIRAL APLEV;['Built by Temple at South Shields, measured 1802, 2 decks, length 122fl 2in, keel 98fl 4in, breadth 32ft, hold 14ft llin, wing transom 17ft, port cell 25ft Sin, waist lOin, between decks 6ft lOin, roundhouse 6ft 4in, ports 6 middle, 60 crew, 558 tons Principal Managing Owner: Moses Agar'];{'time': ['1801', '1802'], 'destination': 'Madras', 'reference': ['L/MAR/B/337A Journal 6 Apr 1802-13 Apr 1803', 'L/MAR/B/337B(1) Ledger', 'L/MAR/B/337B(2) Pay Book'], 'captain': 'John Rogers', 'itinerary': 'Downs 20 May 1802 - 25 Sep Madras - 3 Jan 1803 St Helena - 31 Mar Deptford'};{'time': ['1802', '1803'], 'destination': 'Ceylon, Madras and Bengal', 'reference': ['L/MAR/B/337C(1) Imprest Book', 'L/MAR/B/337C(2) Receipt Book'], 'captain': [], 'itinerary': 'Portsmouth 28 Aug 1803 - captured by the French near Mauritius 9 Jan 1804'};nan;nan;nan;nan;nan;nan;nan
s9;ADMIRAL BARRINGTON;"[""Extra ship, built by Butler, measured 1786, 3 decks, 3in bottom, length 119ft, keel 94ft lOin, breadth 32ft 4in, hold 13ft 93/4in, wing transom 19ft 2in, port cell 22ft 9in, between decks 4ft 71/2in & 5ft i'Ain, ports 12 middle & upper, deck range 76ft, 18 guns, 84 crew, 527 tons Principal Managing Owner: Godfrey Thornton""]";{'time': ['1786', '1787'], 'destination': 'China', 'reference': ['L/MAR/B/512A Journal 18 Nov 1786-19 Aug 1788', 'L/MAR/B/512B(1) Ledger', 'L/MAR/B/512B(2) Pay Book'], 'captain': 'Charles Lindegreen', 'itinerary': 'Portsmouth 21 Feb 1787 - 11 May False Bay - 21 Aug Whampoa - 7 Jan 1788 Macao - 22 Apr St Helena -1 Aug Deptford'};nan;nan;nan;nan;nan;nan;nan;nan
s10;ADMIRAL GAMBLER;[];{'time': '1812', 'destination': 'From China', 'reference': ['L/MAR/B/241A Journal 5 Jul 1812-29 May 1813', 'L/MAR/B/241B Journal 3 Jul 1812-29 May 1813, anon'], 'captain': 'Edward Lindsey', 'itinerary': 'Lintin 5 Jul 1812 - 21 Aug Macao - 31 Dec Cape - 27 Jan 1813 St Helena -18 May Blackwall'};nan;nan;nan;nan;nan;nan;nan;nan
