year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	2595	600	4712	6	28	1621.5	0	0	0	9562.5
1761	4895	1087	6814	3	14	1608	0	0	0	14421
1762	4514	1416	7387	5	24	1893	0	0	0	15239
1763	1505	9053	3799	5	24	746	0	0	0	15132
1764	3205.5	2955	7255.5	4.5	9.5	1764.5	0	0	0	15194.5
1765	2417.5	2675.5	7331.5	7.5	0	1247.5	6	0	0	13685.5
1766	935.5	3610	8809	13.5	30	1463	0	0	0	14861
1767	1296.5	2119.5	8381	0	14	935	0	0	0	12746
1768	3298	2760.5	6792	11	6	3380	0	0	0	16247.5
1769	3937	2050.5	4779	6	14	3061	0	0	0	13847.5
1770	4259	849	4126	9	17	4108	0	0	0	13368
1771	3467	0	4456	3	21	4070	0	0	0	12017
1772	2628	2322	3977	10	37	3994	0	0	0	12968
1773	1631.5	2869	3595.5	7	0	4007	0	0	0	12110
1774	1455	8900	4095	0	3	10093	0	0	0	24546
1775	3013.5	2541	1916.5	8	35	2250.5	0	0	0	9764.5
1776	864	1557	2007.5	17	0	2047	0	0	0	6492.5
1777	2381.5	875	1670	9	24	2239.5	0	0	0	7199
1778	1028	1520.5	2036.5	17	27	2519.5	0	0	0	7148.5
1779	1388.5	1014	2537.5	11	6	2178.5	0	0	0	7135.5
1780	2775.5	906	2317.5	33.5	10	2205.5	0	0	0	8248
1781	1358.5	1443	0	17.5	13	2202	0	0	0	5034
1782	4007	1396	2826.5	0	0	1793	0	0	0	10022.5
1783	3544	1595	5900	22.5	0	1822.5	0	0	0	12884
1784	2102	1518	1980	20	0	2464	0	0	0	8084
1785	1978	1787	2000	12.5	0	3220.5	0	0	0	8998
1786	1030	1358	1863	12	34	4522	0	0	0	8819
1787	953	1440	3692.5	6	0	3499.5	0	0	0	9591
1788	2075	1517	1668.5	16	0	3875.5	0	0	0	9152
1789	2035	1007.5	2443	5	0	4112.5	0	0	0	9603
1790	2054.5	1082	1036.5	20	0	4605	0	0	0	8798
1791	2117.5	1134.5	905	10	3	6386	0	0	0	10556
1792	2303.5	1061.5	1636.5	21	3	6599.5	0	0	0	11625
1793	2296.5	1047.5	1552.5	16.5	0	7156.5	0	0	0	12069.5
1794	2057	1037.5	2197	20.5	18	7087.5	0	0	0	12417.5
1795	1356.5	1175.5	1109.5	26	53	6966	0	0	0	10686.5
1796	2310	2276.5	3286.5	32	114	4462	0	0	0	12481
1797	2568	2325	3896	38	63	3196.5	0	0	0	12086.5
1798	2571.5	1239	3101	37	0	3143.5	0	0	0	10092
1799	3731	675	2717	39.5	0	7049	0	0	0	14211.5
1800	4125	996	2634	50	0	7174	0	0	0	14979
1801	3430.5	2917	2395	41.5	79	7102	0	0	0	15965
1802	4053.5	4380	2488	54	78	7269	0	0	0	18322.5
1803	3020	5818	2740	34	84	9835	0	0	0	21531
1804	3250	2964	2137.5	19	105	9836	0	0	0	18311.5
1805	3366.5	2553	1352.5	29	123	9664	0	1240	0	18328
1806										
1807	1729.5	556.5	7104	54	140.5	9954.5	0	0	0	19539
1808	3722	578.5	5107.5	56	214.5	9082.5	0	1478	0	20239
1809	3534	810	5080	30	95	8827	0	511.5	0	18887.5
1810	2834	872.5	4356.5	21	90	5921	0	348	0	14443
1811	3255	1068.5	4480.5	11	187	6471	0	407.5	0	15880.5
1812	3508.5	2467	4785	0	187	6450.5	0	242.5	47.5	17688
1813	5201	2455	3821.5	64	180	7610	0	474	67	19872.5
1814	0	2022	3327	36	0	8603	0	397.5	165	14550.5
1815	5450	619	3020.5	0	0	8264	0	0	0	17353.5
1816	1232.5	274	2150.5	0	0	10788	0	0	0	14445
1817	3818.5	9	1716	0	0	9954	0	0	0	15497.5
1818	1277	0	1088	0	0	9234	0	0	0	11599
1819	31.5	60	177	0	0	8814	0	0	0	9082.5
1820	1977.5	0	2760	0	0	12171	0	0	0	16908.5
1821	5241	1198.5	4464	0	0	12120	0	0	0	23023.5
1822	3408.5	2897	4360.5	0	0	15076	0	0	0	25742
1823	2514	0	1682	0	0	14680	0	0	0	18876
1824	4185	1066	3422	0	0	13701	0	0	0	22374
1825	3211	939	0	0	0	14520	0	0	0	18670
1826	300	0	239.5	0	0	19716	0	0	0	20255.5
1827	0	120	17	0	0	17790.5	0	0	0	17927.5
1828	0	0	0	0	0	13981.5	0	0	0	13981.5
1829	0	0	0	0	0	15576	0	0	0	15576
1830	0	0	0	0	0	15706.5	0	0	0	15706.5
1831	0	0	0	0	0	16926	0	0	0	16926
1832	0	0	0	0	0	12720	0	0	0	12720
1833	0	0	0	0	0	16440.5	0	0	0	16440.5
1834	0	0	0	0	0	11136	0	0	0	11136
