year	bengal	madras	bombay	st_helena	benkulen	china	madagascar	mocha	madeira	angola	penang	cape	persia	java	singapore	total
1760	106277	52725	109708	11154	9610	55060	0	0	0	0	0	0	0	0	0	344534
1761	149980	68646	200420	5187	11681	64551	1271	49	0	0	0	0	0	0	0	501785
1762	153504	50819	213108	5817	8143	87974	0	0	74	0	0	0	0	0	0	519439
1763	70275	171336	139130	10987	13330	49014	0	51	0	0	0	0	0	0	0	454123
1764	96369	74439	188440	5921	10478	78396	0	0	0	0	0	0	0	0	0	454043
1765	81743	78347	173918	7309	7386	69278	0	50	0	3743	0	0	0	0	0	421774
1766	68111	127868	232744	12363	6934	82798	0	0	0	0	0	0	0	0	0	530818
1767	130642	99905	224261	11881	8316	58233	0	74	0	0	0	0	0	0	0	533312
1768	126429	111881	159926	12376	5624	149001	0	0	0	0	0	0	0	0	0	565237
1769	182352	125517	152714	10004	8383	165060	0	50	0	0	0	0	0	0	0	644080
1770	147259	115559	129128	12630	9792	188288	0	0	0	0	0	0	0	0	0	602656
1771	120328	53580	143831	20318	8221	168873	0	93	0	0	0	0	0	0	0	515244
1772	90438	65864	168107	10911	9597	142720	0	0	0	0	0	0	0	0	0	487637
1773	89198	98692	135764	15316	3467	144119	0	0	0	0	0	0	0	0	0	486556
1774	116156	125023	119988	0	5203	86856	0	0	0	0	0	0	0	0	0	453226
1775	133783	99449	114083	14557	8387	100988	0	0	0	0	0	0	0	0	0	471247
1776	162395	111629	102384	19220	4238	107435	0	0	0	0	0	0	0	0	0	507301
1777	191012	101103	115120	17333	7658	116412	0	0	0	0	0	0	0	0	0	548638
1778	107474	137663	115718	14126	7574	126378	0	0	0	0	0	0	0	0	0	508933
1779	130042	97985	151791	18805	8580	111266	0	0	0	0	0	0	0	0	0	518469
1780	210982	121238	119830	16811	5464	113426	0	0	0	0	0	0	0	0	0	587751
1781	117676	78436	35977	20635	3879	115776	0	0	0	0	0	0	0	0	0	372379
1782	172807	115042	123115	12786	0	127945	0	0	0	0	0	0	0	0	0	551695
1783	183203	152001	247816	23000	6024	115875	0	0	0	0	0	0	0	0	0	727919
1784	143646	55172	82044	15928	2684	131122	0	0	0	0	0	0	0	0	0	430596
1785	85765	56716	91588	5117	2731	185895	0	0	0	0	0	0	0	0	0	427812
1786	69580	98623	78514	15307	5862	289576	0	0	0	0	0	0	0	0	0	557462
1787	78757	94042	131680	10665	2724	262530	0	0	0	0	0	0	0	0	0	580398
1788	136320	106552	150654	16428	11697	398051	0	0	0	0	0	0	0	0	0	819702
1789	145012	101567	126184	16210	3438	435050	0	0	0	0	0	0	0	0	0	827461
1790	178707	90548	192053	10555	4397	509235	0	0	0	0	0	0	0	0	0	985495
1791	145068	95222	153734	16127	4551	591567	0	0	0	0	0	0	0	0	0	1006269
1792	195960	74212	138580	26955	4092	624914	0	0	0	0	0	0	0	0	0	1064713
1793	148134	73382	144010	16495	1395	742393	0	0	0	0	0	0	0	0	0	1125809
1794	193050	107374	130261	28247	2509	729138	0	0	0	0	0	0	0	0	0	1190579
1795	202572	135314	89794	31229	3011	785597	0	0	0	0	0	0	0	0	0	1247517
1796	215271	203515	225234	33081	10828	689627	0	0	0	0	0	0	0	0	0	1377556
1797	209830	173671	215751	39937	8033	540801	0	0	0	0	0	0	0	0	0	1188023
1798	255577	138021	231844	38657	2561	547427	0	0	0	0	0	0	0	0	0	1214087
1799	247189	91825	296443	40297	0	857105	0	0	0	0	0	0	0	0	0	1532859
1800	394859	107381	202821	36857	536	905997	0	0	0	0	0	0	0	0	0	1648451
1801	312920	198566	291800	68544	18052	1016793	0	0	0	0	7936	0	0	0	0	1914611
1802	455883	257618	363006	47791	6328	1172695	0	0	0	0	0	0	0	0	0	2303321
1803	405031	282739	325484	49128	15259	1197901	0	0	0	0	0	0	0	0	0	2275542
1804	267314	171631	201969	53560	20446	1250747	0	0	0	0	0	0	0	0	0	1965667
1805	369848	165648	123734	80309	24994	1143321	0	0	0	0	76364	0	0	0	0	1984218
1806	266039	141089	316737	82815	20199	1216121	0	0	0	0	27452	0	0	0	0	2070452
1807	446720	237740	451798	104417	15284	1241915	0	0	0	0	40420	0	0	0	0	2538294
1808	393793	163766	296494	72816	6184	1194822	0	0	0	0	75967	42	0	0	0	2203884
1809	407598	137199	286507	25674	10914	1088476	0	0	0	0	60297	0	0	0	0	2016665
1810	342294	157434	283058	41788	3838	937892	0	0	0	0	38059	0	1143	0	0	1805506
1811	398233	184627	360852	34485	10986	946006	0	0	0	0	27118	0	0	0	0	1962307
1812	410087	150759	318848	54971	13588	977423	0	0	0	0	69583	0	0	45901	0	2041160
1813	371830	204359	287017	32657	12361	1094739	0	0	0	0	32539	0	650	67760	0	2103912
1814	152954	124370	161669	34877	0	955292	0	0	0	0	27450	0	58	87426	0	1544096
1815	438868	196186	160870	55859	5086	803759	0	0	0	0	19876	1540	0	0	0	1682044
1816	299010	113054	231878	55388	5700	867538	0	0	0	0	0	0	0	0	0	1572568
1817	566229	64904	262370	78212	3629	840797	0	0	0	0	7314	0	0	0	0	1823455
1818	246020	100060	165445	46498	1345	772202	0	0	0	0	1913	0	0	0	0	1333483
1819	311728	120988	121365	166837	1036	658465	0	0	0	0	824	0	0	0	0	1381243
1820	403666	165814	282490	94949	0	830675	0	0	0	0	1550	1000	0	0	0	1780144
1821	430449	113056	395949	46025	390	895161	0	0	0	0	0	856	0	0	0	1881886
1822	337688	196871	256013	19495	1284	815428	0	0	0	0	6074	0	0	0	0	1632853
1823	372097	147021	201389	45053	0	693636	0	0	0	0	4119	0	0	0	0	1463315
1824	492901	61386	168886	37169	8218	735996	0	0	0	0	0	0	0	0	0	1504556
1825	320536	71412	94712	55900	0	688055	0	0	0	0	3753	0	0	0	0	1234368
1826	522718	108924	154676	53135	0	912306	0	0	0	0	7530	0	0	0	1798	1761087
1827	837093	177009	36387	46834	0	764314	0	0	0	0	9499	0	0	0	0	1871136
1828	516371	129498	192525	44351	0	720840	0	0	0	0	3063	0	0	0	0	1606648
1829	179470	130966	139162	49985	0	602508	0	0	0	0	3833	0	0	0	0	1105924
1830	103536	103869	86464	41735	0	575063	0	0	0	0	3635	0	0	0	0	914302
1831	55500	15568	63183	31591	0	593809	0	0	0	0	4221	0	0	0	0	763872
1832	53173	54444	60166	25456	0	398471	0	0	0	0	0	0	0	0	0	591710
1833	61088	46206	29788	32812	0	446052	0	0	0	0	0	0	0	0	0	615946
1834	94834	15010	67212	5405	0	317618	0	0	0	0	0	0	0	0	0	500079
