year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	1105	736	1105	4	1474	0	0	0	0	4424
1761	610	610	0	0	660	0	0	0	0	1880
1762	891	594	594	0	0	2651	0	0	0	4730
1763	1136	1136	648	11	427	0	0	0	0	3358
1764	6598	1645	3795	0	858	0	0	0	0	12896
1765	660	396	2640	0	1375	0	32	0	0	5103
1766	2580	5180	4245	31	1704	0	0	0	0	13740
1767	6027	3410	5112	52	1815	0	0	0	0	16416
1768	3817	3629	3631	47	962	0	0	0	0	12086
1769	2968	2970	4899	0	1595	0	0	0	0	12432
1770	3191	3492	1914	44	1793	0	0	0	0	10434
1771	1305	399	1793	173	341	0	0	0	0	4011
1772	825	825	1650	48	352	0	0	0	0	3700
1773	1650	2475	1650	0	352	0	0	0	0	6127
1774	0	616	770	0	418	0	0	0	0	1804
1775	715	429	1373	0	594	0	0	0	0	3111
1776	1490	2980	2235	0	313	0	0	0	0	7018
1777	1943	3409	2556	0	544	0	0	0	0	8452
1778	866	3466	2598	0	737	0	0	0	0	7667
1779	2992	1122	2805	0	1352	0	0	0	0	8271
1780	2062	1650	1072	36	693	0	0	0	0	5513
1781	2038	1540	990	34	660	0	0	0	0	5262
1782	1980	3872	3960	0	0	0	0	0	0	9812
1783	2090	1281	8250	25	440	0	0	0	0	12086
1784	1924	962	962	0	203	0	0	0	0	4051
1785	601	0	1122	6	198	0	0	0	0	1927
1786	467	1402	467	44	198	0	0	0	0	2578
1787	748	1496	1870	0	203	0	0	0	0	4317
1788	3739	2616	5610	0	509	0	0	0	0	12474
1789	8256	2616	2805	69	509	0	0	0	0	14255
1790	5699	2181	4758	0	1228	0	0	0	0	13866
1791	5775	1348	3848	0	1445	0	0	0	0	12416
1792	7919	2347	3163	0	1472	0	0	0	0	14901
1793	7808	3904	3905	0	0	0	0	0	0	15617
1794	7021	4012	4013	0	0	0	0	0	0	15046
1795	6104	3052	5086	0	0	0	0	0	0	14242
1796	8277	8277	17737	0	2530	0	0	0	0	36821
1797	3877	3257	9900	0	2750	0	0	0	0	19784
1798	3503	6063	14148	0	0	0	0	0	0	23714
1799	550	5502	21450	0	0	5450	0	0	0	32952
1800	11682	5390	13684	0	0	0	0	0	0	30756
1801	10582	4719	19113	0	2860	0	0	3080	0	40354
1802	23479	3877	20636	0	0	0	0	0	0	47992
1803	23182	3795	25566	0	2695	0	0	0	0	55238
1804	12049	9965	26555	0	3253	0	0		0	51822
1805	10874	5921	33097	0	3085	0	0	8862	0	61839
1806	17261	5055	17680	0	1981	0	0	0	0	41977
1807	11720	5831	19408	0	2315	0	0	18232	0	57506
1808	5318	145	22643	0	0	0	0	21937	0	50043
1809	25371	3458	25639	0	1975	0	0	5690	0	62133
1810	28524	793	31076	0	1853	830	0	8222	0	71298
1811	30984	2718	18725	0	1815	3473	0	6829	0	64544
1812	31207	8732	14803	0	0	7820	0	12169	4205	78936
1813	33958	6488	11690	0	1580	19458	0	8961	2042	84177
1814	8022	1897	11831	0	0	23195	0	10929	9357	65231
1815	35423	3077	9905	0	0	11822	0	0	0	60227
1816	29133	12460	0	0	0	11552	0	0	0	53145
1817	11436	0	25113	0	0	4819	0	0	0	41368
1818	0	0	7224	0	0	7708	0	0	0	14932
1819	0	0	23517	0	0	8533	0	0	0	32050
1820	7920	0	26911	0	0	9610	0	0	0	44441
1821	12196	0	28283	0	0	16438	0	0	0	56917
1822	13835	5909	20095	0	0	14156	0	0	0	53995
1823	12887	3812	21389	0	0	13788	0	0	0	51876
1824	9522	0	6315	0	0	17620	0	0	0	33457
1825	0	0	5883	0	0	17401	0	0	0	23284
1826	0	0	15414	0	0	40131	0	0	0	55545
1827	0	0	0	0	0	33387	0	0	0	33387
1828	0	0	0	0	0	20722	0	0	0	20722
1829	0	0	0	0	0	21275	0	0	0	21275
1830	0	0	0	0	0	14730	0	0	0	14730
1831	0	0	0	0	0	13281	0	0	0	13281
1832	0	0	0	0	0	9583	0	0	0	9583
1833	0	0	0	0	0	6719	0	0	0	6719
1834	0	0	0	0	0	4397	0	0	0	4397
