year	bengal	madras	bombay	st_helena	benkulen	china	penang	java	total
1760	800	800	1202	0	100	3600	0	0	6502
1761	801	800	600	0	0	11201	0	0	13402
1762	798	799	799	0	20	14451	0	0	16867
1763	1400	1400	800	0	50	18400	0	0	22050
1764	4796	2000	4202	0	10	22000	0	0	33008
1765	5999	3506	1885	0	1000	26404	0	0	38794
1766	2000	2000	6001	0	0	27200	0	0	37201
1767	5000	1998	6048	0	0	16800	0	0	29846
1768	5624	2200	4001	0	0	30999	0	0	42824
1769	5800	1999	6020	0	0	42979	0	0	56798
1770	6599	3200	5046	0	400	45200	0	0	60445
1771	2778	1898	4720	99	400	45203	0	0	55098
1772	2000	1001	2000	0	0	31000	0	0	36001
1773	4266	3218	3600	0	400	10001	0	0	21485
1774	4203	999	3999	0	0	4801	0	0	14002
1775	2400	1400	2202	0	100	4802	0	0	10904
1776	2401	2200	2500	0	100	5602	0	0	12803
1777	3898	1000	2001	9	0	8000	0	0	14908
1778	3003	2000	6002	20	0	5001	0	0	16026
1779	3002	2000	3000	0	0	6001	0	0	14003
1780	2400	2002	2000	0	0	12320	0	0	18722
1781	2000	2000	2000	0	0	13003	0	0	19003
1782	3001	4000	1802	0	0	10001	0	0	18804
1783	600	1001	1803	0	0	9896	0	0	13300
1784	2000	1300	1002	0	0	5000	0	0	9302
1785	0	0	1003	0	0	22002	0	0	23005
1786	5001	1001	1500	0	0	40803	0	0	48305
1787	1001	1000	1000	0	401	36607	0	0	40009
1788	4001	901	4501	0	399	34400	0	0	44202
1789	4003	0	1200	0	0	30424	0	0	35627
1790	6001	0	5002	0	0	32208	0	0	43211
1791	6001	0	6002	0	6	13203	0	0	25212
1792	4000	1002	1001	0	0	15457	0	0	21460
1793	8004	3000	3001	0	0	14002	0	0	28007
1794	8005	2001	2002	0	0	32013	0	0	44021
1795	6001	1000	1001	0	0	8000	0	0	16002
1796	8001	0	8004	0	0	15706	0	0	31711
1797	8007	1001	13304	0	0	13708	0	0	36020
1798	3001	0	3003	0	0	4000	0	0	10004
1799	8005	1001	20004	0	0	6001	0	0	35011
1800	6002	1000	1001	0	0	21993	0	0	29996
1801	12403	4002	6401	0	0	48104	0	0	70910
1802	10002	2200	4801	0	0	63008	0	0	80011
1803	0	0	0	0	0	19985	0	0	19985
1804	18006	3199	10703	0	200	37761	0	0	69869
1805	7713	0	0	0	0	17196	401	0	25310
1806	19013	0	5999	0	0	16003	0	0	41015
1807	21172	0	6065	0	0	24002	0	0	51239
1808	16674	0	8500	0	0	33675	0	0	58849
1809	16003	2001	7993	0	0	36001	0	0	61998
1810	15707	2001	8002	0	0	44304	0	0	70014
1811	14003	6002	9999	0	0	24003	0	0	54007
1812	9397	6096	4500	0	0	27995	0	159	48147
1813	7199	2198	6198	0	0	0	1099	1099	17793
1814	3599	0	2560	62	0	4999	0	800	12020
1815	640	0	0	0	0	17001	0	0	17641
1816	7140	0	0	0	0	27142	0	0	34282
1817	4241	0	13942	0	0	20000	0	0	38183
1818	8000	0	10100	0	0	12600	0	0	30700
1819	8299	0	0	0	0	13401	0	0	21700
1820	11001	0	5000	0	0	17403	0	0	33404
1821	2016	0	0	0	0	10001	0	0	12017
1822	1393	403	0	0	0	10002	0	0	11798
1823	0	2413	0	0	0	18704	0	0	21117
1824	0	2000	0	0	0	19002	0	0	21002
1825	1000	1000	800	0	0	29206	0	0	32006
1826	0	1200	0	0	0	28941	0	0	30141
1827	0	0	0	0	0	38007	0	0	38007
1828	0	0	0	0	0	33992	0	0	33992
1829	0	0	0	0	0	20000	0	0	20000
1830	0	0	0	0	0	19560	0	0	19560
1831	0	0	0	0	0	31380	0	0	31380
1832	0	0	0	0	0	22002	0	0	22002
1833	0	0	0	0	0	33655	0	0	33655
1834	0	0	0	0	0	3810	0	0	3810
