year	bengal	madras	bombay	st_helena	benkulen	china	angola	penang	java	total
1760	4680	0	13388	14	0	25791	0	0	0	43873
1761	15284	408	18831	14	0	22756	0	0	0	57293
1762	21862	1803	29568	12	0	32021	0	0	0	85266
1763	15	17984	12252	12	0	16038	0	0	0	46301
1764	2356	7159	30207	8	0	24643	0	0	0	64373
1765	0	7175	6400	11	0	19553	15	0	0	33154
1766	2221	11493	19872	17	0	26349	0	0	0	59952
1767	2824	3040	22223	0	0	22047	0	0	0	50134
1768	2088	4152	13847	8	0	44617	0	0	0	64712
1769	6107	1296	11666	11	0	46757	0	0	0	65837
1770	12265	1275	9556	11	0	46033	0	0	0	69140
1771	5478	818	13021	0	0	45709	0	0	0	65026
1772	6046	848	10335	19	0	31150	0	0	0	48398
1773	6395	2267	22469	15	0	53420	0	0	0	84566
1774	3958	2661	18440	0	0	32845	0	0	0	57904
1775	4155	1352	17088	0	0	51121	0	0	0	73716
1776	3812	2711	14379	24	0	57749	0	0	0	78675
1777	5887	817	8527	12	0	58647	0	0	0	73890
1778	3942	4096	12792	10	0	63602	0	0	0	84442
1779	5533	691	18209	7	0	59088	0	0	0	83528
1780	4929	691	18443	37	0	57886	0	0	0	81986
1781	1352	677	0	82	0	56207	0	0	0	58318
1782	15720	708	16706	0	0	74745	0	0	0	107879
1783	5887	1072	22420	37	0	59998	0	0	0	89414
1784	5580	1156	7856	20	0	62992	0	0	0	77604
1785	4490	482	6018	0	0	85072	0	0	0	96062
1786	3713	476	10004	50	0	147589	0	0	0	161832
1787	6696	1274	25779	0	0	146297	0	0	0	180046
1788	6768	1895	12682	0	0	265905	0	0	0	287250
1789	6968	2472	19287	0	0	270387	0	0	0	299114
1790	5677	2117	8537	0	0	278669	0	0	0	295000
1791	3770	1374	4118	0	0	315960	0	0	0	325222
1792	5183	1216	4327	0	0	361583	0	0	0	372309
1793	4998	1291	4380	0	0	442115	0	0	0	452784
1794	6736	1254	13734	0	0	475238	0	0	0	496962
1795	5520	1406	23475	23	0	480488	0	0	0	510912
1796	5524	1430	27365	35	63	440793	0	0	0	475210
1797	5350	1455	23754	20	81	321004	0	0	0	351664
1798	5831	1076	19746	0	0	352727	0	0	0	379380
1799	10522	878	35155	48	0	562775	0	0	0	609378
1800	11132	1545	45335	35	0	565693	0	0	0	623740
1801	9550	14841	53845	44	0	619953	0	0	0	698233
1802	10278	30313	40246	27	0	679880	0	0	0	760744
1803	10100	13305	16338	27	0	701545	0	0	0	741315
1804	11876	644	24138	14	244	742709	0	0	0	779625
1805	8335	3423	9089	22	363	625519	0	3742	0	650493
1806	4275	277	15745	34	236	712870	0	0	0	733437
1807	18893	12492	19005	95	34	711205	0	0	0	761724
1808	16351	1287	7763	179	89	687591	0	3739	0	716999
1809	9795	0	7610	0	0	587723	0	893	0	606021
1810	2478	14937	0	0	0	515030	0	303	0	532748
1811	2852	4294	25155	0	0	556715	0	607	0	589623
1812	3833	11074	10850	0	0	567625	0	0	456	593838
1813	583	11109	3718	0	0	576945	0	632	590	593577
1814	0	0	4550	0	0	484405	0	599	148	489702
1815	5384	n/a	4755	0	0	368898	0	0	0	379037
1816	4658	0	1439	0	0	377442	0	0	0	383539
1817	4784	0	0	0	0	361083	0	0	0	365867
1818	8410	0	5382	0	0	195976	0	0	0	209768
1819	8482	0	25525	0	0	316005	0	0	0	350012
1820	41256	0	37613	0	0	372478	0	0	0	451347
1821	76342	205	32361	0	0	347929	0	0	0	456837
1822	1563	17099	17541	0	0	362012	0	0	0	398215
1823	0	0	0	0	0	337592	0	0	0	337592
1824	0	0	0	0	0	321450	0	0	0	321450
1825	0	0	0	0	0	284686	0	0	0	284686
1826	0	0	0	0	0	419806	0	0	0	419806
1827	0	0	0	0	0	299951	0	0	0	299951
1828	0	0	0	0	0	337139	0	0	0	337139
1829	0	0	0	0	0	238462	0	0	0	238462
1830	0	0	0	0	0	264856	0	0	0	264856
1831	0	0	0	0	0	238827	0	0	0	238827
1832	0	0	0	0	0	177335	0	0	0	177335
1833	0	0	0	0	0	178140	0	0	0	178140
1834	0	0	0	0	0	153709	0	0	0	153709
