year	bengal	madras	bombay	st_helena	benkulen	china	madagascar	mocha	madeira	angola	penang	cape	java	singapore	total
1760	27142	18688	9152	10914	7264	291	0	0	0	0	0	0	0	0	73451
1761	12887	21496	30087	5028	10669	708	1271	49	0	0	0	0	0	0	82195
1762	16388	9210	13607	5596	6522	2262	0	0	74	0	0	0	0	0	53659
1763	15801	11274	23883	10765	12054	1860	0	51	0	0	0	0	0	0	75688
1764	23647	15503	22237	5748	9382	596	0	0	0	0	0	0	0	0	77113
1765	28614	21480	24325	7085	5225	274	0	50	0	3648	0	0	0	0	90701
1766	22709	24369	24112	11866	4839	345	0	0	0	0	0	0	0	0	88240
1767	72022	36668	23900	11829	6282	212	0	74	0	0	0	0	0	0	150987
1768	41883	32890	22686	11972	4527	245	0	0	0	0	0	0	0	0	114203
1769	68541	64097	40216	9787	6476	196	0	50	0	0	0	0	0	0	189363
1770	22973	73569	33646	12239	7273	262	0	0	0	0	0	0	0	0	149962
1771	43974	39749	24285	19897	7145	121	0	93	0	0	0	0	0	0	135264
1772	30624	25381	24987	10464	8603	235	0	0	0	0	0	0	0	0	100294
1773	21637	28315	12066	15033	2789	122	0	0	0	0	0	0	0	0	79962
1774	11852	21720	13433	0	4601	739	0	0	0	0	0	0	0	0	52345
1775	10894	27931	9710	14386	6944	178	0	0	0	0	0	0	0	0	70043
1776	30594	37203	9500	18647	3845	173	0	0	0	0	0	0	0	0	99962
1777	16100	42601	42869	17062	6499	3670	0	0	0	0	0	0	0	0	128801
1778	22908	39247	33039	13664	5270	3852	0	0	0	0	0	0	0	0	117980
1779	27115	26773	35411	18552	6248	643	0	0	0	0	0	0	0	0	114742
1780	78445	52034	24440	15909	4649	162	0	0	0	0	0	0	0	0	175639
1781	54047	37247	21541	19937	3046	283	0	0	0	0	0	0	0	0	136101
1782	28361	36435	34831	12786	0	702	0	0	0	0	0	0	0	0	113115
1783	39378	61662	61738	22184	5584	884	0	0	0	0	0	0	0	0	191430
1784	17127	14965	19079	15368	2481	780	0	0	0	0	0	0	0	0	69800
1785	10552	6913	16464	4749	2533	824	0	0	0	0	0	0	0	0	42035
1786	14169	56226	10314	14872	4922	1278	0	0	0	0	0	0	0	0	101781
1787	15104	47518	9982	10510	2110	545	0	0	0	0	0	0	0	0	85769
1788	51993	41536	58513	15982	10728	1010	0	0	0	0	0	0	0	0	179762
1789	51311	51218	38349	16018	2929	5341	0	0	0	0	0	0	0	0	165166
1790	49749	13760	17868	10062	3169	422	0	0	0	0	0	0	0	0	95030
1791	49302	33370	25542	15848	3067	797	0	0	0	0	0	0	0	0	127926
1792	100168	36253	47087	26287	2588	784	0	0	0	0	0	0	0	0	213167
1793	50353	34307	73831	16139	1395	13397	0	0	0	0	0	0	0	0	189422
1794	39682	47859	20827	27534	2180	2820	0	0	0	0	0	0	0	0	140902
1795	33216	50058	30122	30623	2016	3037	0	0	0	0	0	0	0	0	149072
1796	56651	72488	37556	32224	6150	1150	0	0	0	0	0	0	0	0	206219
1797	67858	31091	43630	38751	4091	1741	0	0	0	0	0	0	0	0	187162
1798	86497	63270	90404	37876	0	1348	0	0	0	0	0	0	0	0	279395
1799	96363	60188	107066	38699	0	1441	0	0	0	0	0	0	0	0	303757
1800	223830	78464	82592	35237	536	8817	0	0	0	0	0	0	0	0	429476
1801	73886	94621	99793	67407	12455	9207	0	0	0	0	4856	0	0	0	362225
