year	bengal	madras	bombay	st_helena	benkulen	china	penang	persia	java	total
1760	42	0	1221	45	196	176	0	0	0	1680
1761	21	121	1759	46	60	5003	0	0	0	7010
1762	21	122	811	48	274	5070	0	0	0	6346
1763	0	490	1007	49	278	3768	0	0	0	5592
1764	45	288	609	32	0	1854	0	0	0	2828
1765	146	62	918	32	0	6132	0	0	0	7290
1766	90	273	461	61	10	5960	0	0	0	6855
1767	104	233	462	0	0	2381	0	0	0	3180
1768	19	213	0	39	0	10759	0	0	0	11030
1769	0	67	174	43	0	19572	0	0	0	19856
1770	0	127	173	61	0	22103	0	0	0	22464
1771	0	0	84	77	53	6715	0	0	0	6929
1772	0	0	69	0	0	0	0	0	0	69
1773	0	0	0	83	0	0	0	0	0	83
1774	0	0	0	0	20	0	0	0	0	20
1775	0	0	0	0	0	0	0	0	0	0
1776	0	0	0	114	0	3638	0	0	0	3752
1777	0	0	0	53	0	2525	0	0	0	2578
1778	0	0	86	54	0	3670	0	0	0	3810
1779	0	0	328	11	0	2764	0	0	0	3103
1780	0	0	0	65	0	2484	0	0	0	2549
1781	0	0	0	158	0	3059	0	0	0	3217
1782	1710	1038	0	0	0	4919	0	0	0	7667
1783	0	0	0	201	0	7514	0	0	0	7715
1784	0	0	0	25	0	8462	0	0	0	8487
1785	0	0	0	78	0	8953	0	0	0	9031
1786	141	140	141	31	0	3308	0	0	0	3761
1787	206	0	0	20	0	2521	0	0	0	2747
1788	0	0	0	36	0	3416	0	0	0	3452
1789	3232	1609	352	0	0	7855	0	0	0	13048
1790	0	0	0	67	0	9879	0	0	0	9946
1791	0	188	182	70	0	16006	0	0	0	16446
1792	0	5	0	188	0	22520	0	0	0	22713
1793	0	0	0	81	0	35448	0	0	0	35529
1794	0	0	0	201	0	44900	0	0	0	45101
1795	13	0	0	77	0	39686	0	0	0	39776
1796	1825	167	245	111	0	33103	0	0	0	35451
1797	7226	856	1645	423	0	47069	0	0	0	57219
1798	11388	0	633	0	0	28527	0	0	0	40548
1799	153	0	0	748	0	42190	0	0	0	43091
1800	4693	1718	0	425	0	67750	0	0	0	74586
1801	3677	6042	1381	362	1128	87494	0	0	0	100084
1802	4447	3579	2973	874	581	160197	0	0	0	172651
1803	5018	3286	1977	276	821	185646	0	0	0	197024
1804	5888	391	1833	180	1265	205953	0	0	0	215510
1805	5031	3061	2212	1865	702	186376	3434	0	0	202681
1806	11225	8452	4094	2203	1129	196716	0	0	0	223819
1807	9132	6195	6033	1025	883	179708	0	0	0	202976
1808	7679	4034	8594	1107	1098	160518	20608	0	0	203638
1809	7659	929	5994	217	588	158815	5194	0	0	179396
1810	1810	3834	6850	483	0	167501	5565	1143	0	187186
1811	61	4658	12490	59	471	180492	4169	0	0	202400
1812	1496	9567	17917	433	556	197937	1250	0	3970	233126
1813	2485	7057	10220	725	172	234158	2859	0	4393	262069
1814	0	2295	5947	837	0	167862	4392	0	19584	200917
1815	2779	1285	8040	0	0	138649	0	0	0	150753
1816	1366	1770	0	0	0	164810	0	0	0	167946
1817	2569	0	881	0	0	178302	0	0	0	181752
1818	337	0	0	0	0	160154	0	0	0	160491
1819	519	0	0	0	0	138423	0	0	0	138942
1820	751	0	0	0	0	172119	0	0	0	172870
1821	3614	1655	587	0	0	155911	0	0	0	161767
1822	5705	4779	650	0	0	159868	0	0	0	171002
1823	6701	0	2811	0	0	102446	0	0	0	111958
1824	1650	1132	564	0	0	96913	0	0	0	100259
1825	618	0	618	0	0	99939	0	0	0	101175
1826	0	0	0	0	0	115021	0	0	0	115021
1827	558	0	0	0	0	105954	0	0	0	106512
1828	0	0	0	0	0	99923	0	0	0	99923
1829	0	0	0	0	0	92434	0	0	0	92434
1830	0	0	0	0	0	62513	0	0	0	62513
1831	0	0	0	0	0	69003	0	0	0	69003
1832	0	0	0	0	0	22812	0	0	0	22812
1833	0	0	0	0	0	24215	0	0	0	24215
1834	0	0	0	0	0	15129	0	0	0	15129
