year	bengal	madras	bombay	st_helena	benkulen	china	penang	persia	java	total
1760	8	0	321	16	10	20	0	0	0	375
1761	4	16	468	16	2	605	0	0	0	1111
1762	4	20	238	16	15	615	0	0	0	908
1763	0	85	333	15	15	450	0	0	0	898
1764	8	45	139	10	0	211	0	0	0	413
1765	38	20	221	11	0	720	0	0	0	1010
1766	24	45	79	20	2	700	0	0	0	870
1767	33	35	90	0	0	300	0	0	0	458
1768	4	25	0	13	0	970	0	0	0	1012
1769	0	25	23	14	0	2360	0	0	0	2422
1770	0	15	25	19	0	2600	0	0	0	2659
1771	0	0	20	22	3	798	0	0	0	843
1772	0	0	20	0	0	0	0	0	0	20
1773	0	0	0	19	0	0	0	0	0	19
1774	0	0	0	0	1	0	0	0	0	1
1775	0	0	0	0	0	0	0	0	0	0
1776	0	0	0	8	0	440	0	0	0	448
1777	0	0	0	11	0	299	0	0	0	310
1778	0	0	16	14	0	400	0	0	0	430
1779	0	0	40	4	0	320	0	0	0	364
1780	0	0	0	21	0	300	0	0	0	321
1781	0	0	0	24	0	376	0	0	0	400
1782	200	200	0	0	0	599	0	0	0	999
1783	0	0	0	40	0	900	0	0	0	940
1784	0	0	0	9	0	920	0	0	0	929
1785	0	0	0	15	0	960	0	0	0	975
1786	14	14	14	11	0	352	0	0	0	405
1787	20	0	0	7	0	200	0	0	0	227
1788	0	0	0	10	0	400	0	0	0	410
1789	548	183	40	0	0	940	0	0	0	1711
1790	0	0	0	17	0	1300	0	0	0	1317
1791	0	32	32	19	0	1829	0	0	0	1912
1792	0	1	0	35	0	2300	0	0	0	2336
1793	0	0	0	40	0	4164	0	0	0	4204
1794	0	0	0	51	0	5120	0	0	0	5171
1795	2	0	0	25	0	5000	0	0	0	5027
1796	363	40	35	27	0	4480	0	0	0	4945
1797	1510	115	429	310	0	6640	0	0	0	9004
1798	2510	0	45	0	0	2046	0	0	0	4601
1799	30	0	0	526	0	6020	0	0	0	6576
1800	1030	341	0	88		11300	0	0	0	12759
1801	2795	2384	248	1530	198	12200	0	0	0	19355
1802	1956	1479	311	1052	175	22800	0	0	0	27773
1803	10278	1322	876	46	244	23300	0	0	0	36066
1804	18572	20	182	41	580	24201	0	0	0	43596
1805	6780	1507.5	361	1076	316	21800	1105	0	0	32945.5
1806										
1807	1346	910	821	677	324	26210	0	0	0	30288
1808	10742	446	1178	657	290	24714	9064	0	0	47091
1809	11066	496	937	40	325	26264	3480.5	0	0	42608.5
1810	3321	1684	2252	102	0	23834	2550	318	0	34061
1811	612	729	4437	21	250	25420	1944	0	0	33413
1812	320	28508	6058	358	280	31120	340	0	1579	68563
1813	5254	16495	13103	958	110	35894	950	0	1448	74212
1814	0	580	1124	677	0	23940	1054	0	16759	44134
1815										
1816										
1817	20041	0	83	0	0	22050	0	0	0	42174
1818	300	0	0	0	0	22000	0	0	0	22300
1819	50	0	0	0	0	19000	0	0	0	19050
1820	81	0	0	0	0	19830	0	0	0	19911
1821	1400	1040	520	0	0	20000	0	0	0	22960
1822	4785	2202	594	0	0	21500	0	0	0	29081
1823	4794	0	2320	0	0	19800	0	0	0	26914
1824	465	310	155	0	0	20000	0	0	0	20930
1825	69	0	69	0	0	20680	0	0	0	20818
1826	0	0	0	0	0	24400	0	0	0	24400
1827	52	0	0	0	0	20071	0	0	0	20123
1828	0	0	0	0	0	20075	0	0	0	20075
1829	0	0	0	0	0	14104	0	0	0	14104
1830	0	0	0	0	0	11470	0	0	0	11470
1831	0	0	0	0	0	12450	0	0	0	12450
1832	0	0	0	0	0	4150	0	0	0	4150
1833	0	0	0	0	0	4460	0	0	0	4460
1834	0	0	0	0	0	2837	0	0	0	2837
