year	total
1760	487934
1761	589287
1762	546907
1763	501719
1764	494024
1765	796618
1766	848244
1767	534271
1768	565237
1769	797552
1770	845944
1771	862599
1772	639692
1773	527176
1774	465035
1775	481398
1776	517333
1777	617517
1778	519775
1779	529084
1780	597703
1781	387319
1782	551695
1783	727919
1784	430596
1785	427812
1786	1283941
1787	1334340
1788	1467688
1789	1318282
1790	1774882
1791	1540636
1792	1597317
1793	1136753
1794	1207339
1795	1247517
1796	1415858
1797	1409230
1798	1844619
1799	2755888
1800	1889380
1801	2515817
1802	2734157
1803	3987074
1804	2756471
1805	3936869
1806	2773123
1807	2538294
1808	2484867
1809	2016665
1810	1805506
1811	1962307
1812	2041160
1813	2103912
1814	1544096
1815	1931559
1816	2819820
1817	1946778
1818	1440353
1819	2079660
1820	2522974
1821	2058832
1822	1632853
1823	1463315
1824	1504556
1825	1234368
1826	1761087
1827	1871136
1828	1606648
1829	1105924
1830	914302
1831	763872
1832	591710
1833	615946
1834	500079
