year	china
1761	273569
1762	126216
1763	302409
1764	204170
1765	238020
1766	466018
1767	443904
1768	398098
1769	350995
1770	484875
1771	133786
1772	591281
1773	637440
1774	261277
1775	132924
1776	83301
1777	105300
1778	237111
1779	293426
1780	246942
1781	183700
1782	556507
1783	223439
1784	380547
1785	523658
1786	711425
1787	875061
1788	1411547
1789	1486501
1790	1882757
1791	974106
1792	1617270
1793	601719
1794	108298
1795	1192888
1796	1447614
1797	1096215
1798	1547083
1799	2190389
1800	1078199
1801	1884847
1802	1399755
1803	2783116
1804	336023
1805	1869507
1806	1805349
1807	1482498
1808	2330617
1809	551878
1810	1202100
1811	1194497
1812	2468236
1813	2362503
1814	178660
1815	1716430
1816	2359672
1817	1604832
1818	2097194
1819	1313043
1820	1407246
1821	1695219
1822	2228376
1823	2177937
1824	1935449
1825	1697085
1826	1819122
1827	1785482
1828	2598777
1829	1496572
1830	1045550
1831	2927682
1832	1728420
1833	1736508
1834	1909437
