year	bengal	madras	bombay	india_total	china	overall_total
1761	341344	15318	6634	363296	5504	368800
1762	369157	36258	10439	415854	593	416447
1763	143341	35309	29659	208309	2657	210966
1764	517985	107700	43471	669156	1736	670892
1765	281925	148913	10772	441610	1550	443160
1766	263221	132920	43830	439971	676	440647
1767	482852	153100	68432	704384	1347	705731
1768	359162	182456	19517	561135	24445	585580
1769	604942	78935	31872	715749	88129	803878
1770	579599	66419	71714	717732	38870	756602
1771	419267	72196	20189	511652	404	512056
1772	732535	189897	60505	982937	4188	987125
1773	639307	228304	55378	922989	2783	925772
1774	526113	157995	32628	716736	1811	718547
1775	543378	234462	55079	832919	2401	835320
1776	609731	276900	7632	894263	1149	895412
1777	483757	68361	17171	569289	819	570108
1778	748681	350728	15628	1115037	3430	1118467
1779	501522	70991	37796	610309	2132	612441
1780	423734	198689	8952	631375	2791	634166
1781	346790	151337	14570	512697	2753	515450
1782	476170	60325	15290	551785	2781	554566
1783	181311	0	0	181311	2819	184130
1784	637776	0	40141	677917	4488	682405
1785	1411874	49575	18456	1479905	1616	1481521
1786	952299	72322	0	1024621	3475	1028096
1787	642820	0	0	642820	5719	648539
1788	636057	39480	31230	706767	4949	711716
1789	739067	152392	31099	922558	6431	928989
1790	702113	149496	9156	860765	16484	877249
1791	585015	74486	24764	684265	6868	691133
1792	661461	171566	3393	836420	10319	846739
1793	537782	159029	36692	733503	5627	739130
1794	801455	195073	13055	1009583	2505	1012088
1795	524514	247555	35285	807354	12607	819961
1796	740929	562954	30191	1334074	16479	1350553
1797	834560	406579	75211	1316350	28596	1344946
1798	330372	426849	174053	931274	18602	949876
1799	1193399	361708	76460	1631567	34871	1666438
1800	448843	606122	127721	1182686	28911	1211597
1801	435730	204856	77823	718409	77055	795464
1802	502002	464559	172604	1139165	23888	1163053
1803	449870	276513	45652	772035	37804	809839
1804	530894	401002	16040	947936	10470	958406
1805	379384	423133	40267	842784	32125	874909
1806	463016	461360	83853	1008229	46764	1054993
1807	170294	403271	22814	596379	39195	635574
1808	340492	304593	52719	697804	73475	771279
1809	220185	222620	52680	495485	21898	517383
1810	18097	7194	12865	38156	43920	82076
1811	254963	215448	41796	512207	26219	538426
1812	593145	369795	56106	1019046	52046	1071092
1813	414954	738828	0	1153782	49983	1203765
1814	129063	267532	40968	437563	6807	444370
1815				1026638	41138	1067776
1816				406623	68240	474863
1817				729415	28236	757651
1818				607728	52437	660165
1819				696922	43860	740782
1820				535761	39617	575378
1821				510865	37964	548829
1822				341101	55485	396586
1823				272292	35097	307389
1824				248609	6386	254995
1825	36873	106517	0	143390	0	143390
1826	151742	147868	0	299610	0	299610
1827	48495	113959	0	162454	0	162454
1828	105206	119310	0	224516	0	224516
1829	119192	166788	0	285980	0	285980
1830	91254	227383	0	318637	0	318637
1831	93607	147576	0	241183	0	241183
1832	104101	33167	0	137268	0	137268
1833	66735	144	0	66879	0	66879
1834	59331	0	0	59331	0	59331
