year	bengal 	madras	bombay	canton	benkulen	mocha	balambangan	java	moluccas	cape	ceylon	penang	amboyna	total
1761	422425	21764	44842	322267	10722	36546	0	0	0	0	0	0	0	858566
1762	476405	39664	80341	133348	0	0	0	0	0	0	0	0	0	729758
1763	187912	40810	49901	315531	0	32611	0	0	0	0	0	0	0	626765
1764	604309	114151	60179	229230	0	0	0	0	0	0	0	0	0	1007869
1765	339786	153230	27853	253262	0	0	0	0	0	0	0	0	0	774131
1766	344211	138415	91934	513053	6	0	0	0	0	0	0	0	0	1087619
1767	659336	158469	140487	362977	163	0	0	0	0	0	0	0	0	1321432
1768	499473	187877	57882	587157	0	31787	0	0	0	0	0	0	0	1364176
1769	816669	82204	77138	635062	2592	30508	0	0	0	0	0	0	0	1644173
1770	717093	101924	143327	590935	0	0	0	0	0	0	0	0	0	1553279
1771	575733	72196	36223	137877	8563	0	0	0	0	0	0	0	0	830592
1772	975666	199283	115931	636243	7702	0	0	0	0	0	0	0	0	1934825
1773	812678	232328	106169	822125	0	29338	0	0	0	0	0	0	0	2002638
1774	657125	164488	71884	454053	22071	0	0	0	0	0	0	0	0	1369621
1775	749890	247658	110231	286405	0	27609	6	0	0	0	0	0	0	1421799
1776	901527	288885	31787	191622	0	0	0	0	0	0	0	0	0	1413821
1777	821329	71167	42142	210759	25567	0	0	0	0	0	0	0	0	1170964
1778	1430742	365393	41041	404252	14214	0	0	0	0	0	0	0	0	2255642
1779	875735	75105	107843	494128	0	0	0	0	0	0	0	0	0	1552811
1780	1055170	216422	52794	418542	9411	0	0	0	0	0	0	0	0	1752339
1781	785134	164424	43469	340891	0	0	0	0	0	0	0	0	0	1333918
1782	980666	65974	41410	845599	20228	0	0	0	0	0	0	0	0	1953877
1783	340745	0	0	349759	0	0	0	0	0	0	0	0	0	690504
1784	1352604	0	111327	540559	11017	0	0	0	0	0	0	0	0	2015507
1785	2348899	55771	83849	627893	15136	0	0	0	0	0	0	0	0	3131548
1786	1361731	72431	95163	782413	24431	0	0	0	0	0	0	0	0	2336169
1787	854540	0	0	1084183	30603	0	0	0	0	0	0	0	0	1969326
1788	752149	39480	51085	1709736	13975	0	0	0	0	0	0	0	0	2566425
1789	1103749	152455	53527	1735631	12996	0	0	0	0	0	0	0	0	3058358
1790	1058725	149496	82317	2173073	10705	0	0	0	0	0	0	0	0	3474316
1791	913458	74486	74592	1067803	11132	0	0	0	0	0	0	0	0	2141471
1792	925048	171567	43682	1757834	0	0	0	0	0	0	0	0	0	2898131
1793	1023585	164686	129596	689380	15286	0	0	0	0	0	0	0	0	2022533
1794	1286611	195073	56301	110803	12981	0	0	0	0	0	0	0	0	1661769
1795	997623	247258	218024	1273175	0	0	0	0	0	0	0	0	0	2736080
1796	1489569	580960	162312	1564806	27899	0	0	0	0	0	0	0	0	3825546
1797	1488823	411101	191037	1189611	18707	0	0	0	0	11884	0	0	0	3311163
1798	828848	621560	354492	1608527	21634	0	0	0	0	0	0	0	0	3435061
1799	1977630	393924	122962	2274067	19692	0	0	0	0	0	12233	0	8731	4809239
1800	754308	591790	370234	1153138	34700	0	0	0	0	0	15574	0	0	2919744
1801	743317	209910	172616	2113194	14382	0	0	0	0	0	13052	0	6119	3272590
1802	705796	494282	423746	1456985	13168	0	0	0	0	0	8074	0	841	3102892
1803	807865	288536	101973	2952203	21698	0	0	0	0	0	29229	0	7626	4209130
1804	980527	433761	97120	352394	34422	0	0	0	0	0	24536	0	7439	1930199
1805	603355	505295	159445	1970777	32286	0	0	0	0	0	0	3705	0	3274863
1806	816197	541254	218675	1875474	97028	0	0	0	0	0	0	0	0	3548628
1807	417027	413215	147211	1545961	0	0	0	0	0	0	35552	141	0	2559107
1808	684499	314938	118399	2525781	32517	0	0	0	0	0	40402	0	0	3716536
1809	510736	251212	192066	620869	19437	0	0	0	0	0	60962	0	0	1655282
1810	218426	10131	116870	1317669	0	0	0	0	0	0	0	0	0	1663096
1811	676342	217842	133975	1269947	0	0	0	0	0	0	48210	0	0	2346316
1812	1468590	379846	125477	2653184	1099	0	0	0	0	0	46866	0	0	4675062
1813	1391309	744169	1228	2552707	34852	0	0	0	0	4027	83249	0	0	4811541
1814	508697	276326	60056	189822	17281	0	0	11111	0	1974	93780	0	0	1159047
1815	1170795	536681	116171	1876015	16550	0	0	11279	184585	0	66968	0	0	3979044
1816	648879	196622	77217	2602540	55423	0	0	4311	120359	235	87309	0	0	3792895
1817	642487	574984	117211	1666468	29797	0	0	110128	199754	1801	88473	0	0	3431103
1818	649735	317828	72220	2205941	15512	0	0	208	3147	24082	77006	0	0	3365679
1819	1029248	392648	96048	1404460	19769	0	0	0	11405	0	129724	0	0	3083302
1820	749989	346938	96559	1498839	0	0	0	0	25909	0	87412	0	0	2805646
1821	1076726	362599	124382	1812791	0	0	0	0	10091	0	84748	0	0	3471337
1822	1136185	176918	62277	2406208	0	0	0	0	0	0	83250	0	0	3864838
1823	1382075	143364	0	2310139	31944	0	0	0	0	0	27171	0	0	3894693
1824	1480699	107403	2	2010497	3603	0	0	0	0	0	101578	0	0	3703782
1825	626282	106517	27127	1730786	11203	0	0	0	0	9737	0	0	0	2511652
1826	1748710	153998	41348	1819122	14269	0	0	0	0	4609	0	0	0	3782056
1827	1181364	123070	0	1785482	0	0	0	0	0	5600	0	24643	0	3120159
1828	1709057	127077	0	2598686	0	0	0	0	0	0	0	0	0	4434820
1829	2089720	195879	0	1496572	0	0	0	0	0	0	0	0	0	3782171
1830	1611224	229791	0	1045550	0	0	0	0	0	0	0	0	0	2886565
1831	1994762	147576	2438	2927682	0	0	0	0	0	0	0	0	0	5072458
1832	1616732	50896	708	1728420	0	0	0	0	0	0	0	0	0	3396756
1833	904836	37780	169	1736508	0	0	0	0	0	0	0	0	0	2679293
1834	1125627	0	418	1909437	0	0	0	0	0	0	0	0	0	3035482
