year	tea	textiles	miscellaneous	total
1757	832568	794483	466168	2093219
1758	751859	516643	428466	1696968
1759	923702	718799	340321	1982822
1760	809125	973438	407772	2190335
1761	955694	875988	420187	2251869
1762	849722	807033	364088	2020843
1763	1013897	639470	351409	2004776
1764	1133401	112763	356265	1602429
1765	1169789	1483335	299561	2952685
1766	1110092	1080353	359284	2549729
1767	991340	1186795	529863	2707998
1768	2000078	1400597	633736	4034411
1769	1459520	1351234	861022	3671776
1770	1469752	1596731	712970	3779453
1771	1601809	1309809	641606	3553224
1772	1772995	1189689	866334	3829018
1773	839580	1098033	598762	2536375
1774	936590	1761349	673577	3371516
1775	1145540	1580066	768947	3494553
1776	1030056	1250695	617084	2897835
1777	872166	1741501	855893	3469560
1778	1250979	1569650	896649	3717278
1779	804963	1578463	862023	3245449
1780	1285889	1014712	766180	3066781
1781	1283446	839822	752125	2875393
1782	1148684	1648573	925436	3722693
1783	1272644	330332	928313	2531289
1784	1161854	1073522	744769	2980145
1785	2121887	1420559	938957	4481403
1786	1984278	1465309	761370	4210957
1787	2532846	1537888	676605	4747339
1788	2249937	1438278	1101160	4789375
1789	2342920	1413679	817915	4574514
1790	2313752	1360201	890651	4564604
1791	2473049	1719310	934366	5126725
1792	2350130	1574198	1426971	5351299
1793	2596463	1302340	887326	4786129
1794	2309975	1778718	902743	4991436
1795	2877474	1800354	1120222	5798050
1796	2539333	2024751	1459807	6023891
1797	2621256	2436868	1275073	6333197
1798	2776587	2144506	1235525	6156618
1799	3549681	256170	2081773	5887624
1800	3600445	1628367	1399697	6628509
1801	3456916	2590211	1607853	7654980
1802	3354726	2015250	1770187	7140163
1803	3797430	1310316	1048250	6155996
1804	3117537	1207614	1526834	5851985
1805	3366634	1535218	1265360	6167212
1806	3634185	941333	972382	5547900
1807	3561382	743629	847923	5152934
1808	3748726	470750	1003996	5223472
1809	3705504	1110023	1347869	6163396
1810	3702885	1087423	1363195	6153503
1811	3683408	919627	990909	5593944
1812	3768999	992296	1072147	5833442
1813	3703504	1256914	2042473	7002891
1814	3427699	1144198	1505611	6077508
1815	4672624	1414972	2205304	8292900
1816	3905716	1026330	1350622	6282668
1817	3224347	770348	1167358	5162053
1818	3577987	876811	2027398	6482196
1819	3908728	838958	1654480	6402166
1820	3435617	635660	1214396	5285673
1821	3396653	648014	965140	5009807
1822	3621351	644828	1420657	5686836
1823	3610421	579415	1414319	5604155
1824	3004841	448000	1153076	4605917
1825	3786525	380541	1492502	5659568
1826	3824237	256075	1745974	5826286
1827	3465366	195608	1367417	5028391
1828	3355328	179999	1757928	5293255
1829	3276834	145613	1722931	5145378
1830	3019559	181137	1096623	4297319
1831	3258048	189214	1378164	4825426
1832	3203888	157915	1106765	4468568
1833	3246656	155575	1174334	4576565
1834	3194409	162299	1440865	4797573
