year	bengal	madras	bombay	canton	st_helena	benkulen	interest	total
1757	90251	740	29031	0	2627	8706	0	131355
1758	37471	15052	64774	0	918	5908	0	124123
1759	25512	21696	89	0	7073	5943	0	60313
1760	277736	2172	220553	0	4216	10845	15045	530567
1761	485547	38975	128466	0	3812	11184	11828	679812
1762	300491	5658	21805	0	6784	0	1128	335866
1763	349620	13566	5680	0	7653	6530	10030	393079
1764	233777	110009	18629	8923	4909	5598	7987	389832
1765	335194	69748	2190	2613	6087	18698	9929	444459
1766	242947	49051	119052	31479	8874	10019	6578	468000
1767	142806	81541	12046	7292	7153	4717	4798	260353
1768	132335	96243	152080	0	10087	13395	9233	413373
1769	129196	44705	4135	0	9611	9258	4101	201006
1770	153965	22486	58173	0	11799	18167	150	264740
1771	37183	3952	4325	0	7792	2405	1457	57114
1772	30114	76899	135561	39216	10282	19458	4899	316429
1773	411412	56499	152243	84196	10999	40865	12245	768459
1774	466468	49310	88582	208539	12663	4079	19946	849587
1775	464681	93744	18594	164362	11303	96297	31917	880898
1776	47304	31733	54729	26264	12045	12146	1742	185963
1777	219067	63412	48746	18535	10424	43390	61	403635
1778	200643	54314	3662	136703	15826	36372	0	447520
1779	259572	48324	64594	261580	12447	39944	0	686461
1780	212492	49463	60601	234868	13679	120248	0	691351
1781	122747	56950	16377	374899	14077	26910	0	611960
1782	175650	21476	21558	551793	23094	12220	0	805791
1783	239433	192547	45141	320081	29761	63873	0	890836
1784	241258	43916	60758	452765	12937	6013	0	817647
1785	240875	246540	66731	484481	14028	85739	0	1138394
1786	250770	213341	156689	219064	11380	21984	35949	909177
1787	155226	157862	27318	552869	15953	15979	70192	995399
1788	555708	40317	9714	423843	13515	9398	66038	1118533
1789	1639524	35908	5359	676638	15653	39333	223333	2635748
1790	368794	17747	530	1009381	20673	4673	201550	1623348
1791	142207	18712	5056	336827	12064	12867	113377	641110
1792	19156	72266	9076	456892	14696	6484	68293	646863
1793	6597	55381	4900	317316	20397	11608	50548	466747
1794	2432	51417	9368	449691	10422	27579	0	550909
1795	20732	284383	10827	451763	19319	7453	0	794477
1796	7164	221065	36504	166956	20805	5214	0	457708
1797	182949	80603	19338	455603	31860	6020	2296	778669
1798	22659	53823	24408	761101	7887	5005	12073	886956
1799	26238	267773	1293	511418	17406	13695	12858	850681
1800	88293	118864	2946	842594	14820	6342	1151	1075010
1801	1858531	328259	48132	688098	20014	17085	5823	2965942
1802	212845	181288	117763	549890	19665	6199	3167	1090817
1803	218782	128618	164608	173258	12734	15674	1396	715070
1804	346619	154148	73355	461860	12188	16822	105	1065097
1805	164567	173238	188847	245831	11914	27975	2704	815076
1806	148378	207704	133012	569279	23326	3305	90	1085094
1807	163276	158122	167277	589283	26726	1213	1004	1106901
1808	159642	682189	180642	865657	31683	1591	1167	1922571
1809	252905	436796	221031	749953	32568	1442	0	1694695
1810	909197	817045	720667	150084	22024	323	0	2619340
1811	697833	623694	518738	367464	27180	0	0	2234909
1812	2441667	378734	521829	125310	16425	2672	55788	3542425
1813	1177370	392246	2219322	123916	35066	3886	54835	4006641
1814	590775	473662	101357	42675	39038	4413	24101	1276021
1815	680953	279404	112113	138201	44935	3740	18684	1278030
1816	538253	147435	51536	92784	40207	1718	9686	881619
1817	146632	82836	49569	237800	51317	618	0	568772
1818	259034	163193	91729	183030	110354	758	0	808098
1819	290539	248360	92673	179883	140769	3083	0	955307
1820	174560	124632	143787	163279	145750	2500	0	754508
1821	326478	279300	136558	116653	134913	2097	0	995999
1822	1127713	325721	133756	115027	117125	0	0	1819342
1823	1002078	322432	135189	82520	76682	1557	0	1620458
1824	2218636	856520	536929	179072	43564	0	0	3834721
1825	493152	225031	140866	191437	44443	0	14260	1109189
1826	845934	190363	121413	142853	36344	0	0	1336907
1827	359790	117817	64300	73565	36890	0	0	652362
1828	456752	127775	74721	591319	49382	0	0	1299949
1829	540571	154030	90371	121607	45254	0	0	951833
1830	645898	186904	113567	149975	33551	0	0	1129895
1831	654219	200107	113550	89416	27822	0	0	1085114
1832	681320	218659	118063	139777	30478	0	0	1188297
1833	602509	229362	109951	99194	40246	0	0	1081262
1834	442266	200276	81336	169260	33668	0	0	926806
