year 	india debt	carnatic debt	total
1791	990755	0	990755
1792	993250	0	993250
1793	1013295	0	1013295
1794	935607	0	935607
1795	883900	0	883900
1796	364213	0	364213
1797	510499	0	510499
1798	550795	0	550795
1799	526392	0	526392
1800	597701	0	597701
1801	823017	0	823017
1802	220372	0	220372
1803	167777	0	167777
1804	62389	0	62389
1805	25354	0	25354
1806	37725	0	37725
1807	17420	0	17420
1808	10963	0	10963
1809	71370	0	71370
1810	0	1837	1837
1811	0	3287	3287
1812	0	56938	56938
1813	0	79121	79121
1814	0	129367	129367
1815	0	182830	182830
1816	0	137426	137426
1817	0	194039	194039
1818	0	92452	92452
1819	0	130562	130562
1820	0	87940	87940
1821	0	111965	111965
1822	0	88832	88832
1823	0	101829	101829
1824	0	105112	105112
1825	0	91566	91566
1826	0	94820	94820
1827	0	109719	109719
1828	0	121997	121997
1829	0	98171	98171
1830	0	120863	120863
1831	0	97199	97199
1832	0	95594	95594
1833	0	94707	94707
1834	0	524334	524334
