year	broad_cloth	long_ells	stuffs	lead	copper	iron	tin	general_merchandise	total
1757	99842	38750	1626	13120	91625	4960	0	54359	304282
1758	131521	24095	2561	12627	51740	7013	0	29025	258582
1759	146150	37529	1284	7527	52247	2805	0	56366	303908
1760	143111	46451	1329	4211	67409	4355	0	74221	341087
1761	8944	35907	5907	8056	60418	2264	0	49239	170735
1762	189262	70895	6345	13979	166601	1863	0	54238	503183
1763	197471	45803	6497	19409	88453	4534	0	65568	427735
1764	251989	71518	3807	27016	86116	11730	0	86395	538571
1765	195762	32582	6465	28229	51803	4884	0	71665	391390
1766	197928	54892	5906	28862	110357	11105	0	95720	504770
1767	169476	59859	4795	31460	108922	14050	0	117103	505665
1768	208593	59099	9888	32661	76589	9950	0	118963	515743
1769	199162	59429	15544	47400	76637	11715	0	146602	556489
1770	215153	63063	19865	32550	86860	9799	0	155819	583109
1771	165495	58988	5876	54949	37349	3825	0	112967	439449
1772	196988	58426	67	29950	92245	3320	0	87082	468078
1773	195725	76901	41	14599	98106	5570	0	89256	480198
1774	135760	53023	24	9640	136658	1560	0	68662	405327
1775	150879	67377	0	8127	114391	2880	0	62535	406189
1776	79102	49420	3237	9199	145311	2033	0	74318	362620
1777	111232	69367	2307	8842	208213	7625	0	116797	524383
1778	133277	96280	3534	18880	149341	7744	0	122357	531413
1779	120542	75957	2713	10101	147882	7520	0	72531	437246
1780	126770	74653	2200	12088	100195	4980	0	113223	434109
1781	188966	82092	2909	15175	107051	6431	0	168889	571513
1782	73529	58705	5779	18261	139653	8640	0	142566	447133
1783	133934	78066	6612	11496	86375	9900	0	88674	415057
1784	163682	93064	8009	8713	221120	3685	0	139188	637461
1785	144852	87413	8537	28845	67506	1710	0	64775	403638
1786	117877	105557	3270	40719	69994	2730	0	56219	396366
1787	187790	205822	2387	37864	97012	4425	0	122028	657328
1788	166142	261620	2997	47672	84102	11349	0	156112	729994
1789	171238	272465	8462	45954	86494	8792	0	151706	745111
1790	160491	268370	9243	44275	124261	12606	53828	144127	817201
1791	193556	296438	13709	22854	66210	11336	0	95604	699707
1792	217461	347710	13296	23172	375033	13340	149228	159311	1298551
1793	228142	375396	31007	28526	76661	14207	61493	158191	973623
1794	247832	451864	39074	43696	166896	14607	91006	153320	1208295
1795	205056	467996	34669	13052	151382	12957	87476	198191	1170779
1796	225385	433107	28714	34868	218284	33522	87577	183070	1244527
1797	215905	321441	48977	32110	175337	18038	77986	191749	1081543
1798	180186	349177	25050	9029	172497	21666	89436	252397	1099438
1799	285378	554054	37959	29103	126272	30005	60059	282597	1405427
1800	303109	1048054	72859	34316	51474	28041	51474	380268	1969595
1801	320950	634098	87338	80560	192320	36723	52565	317628	1722182
1802	368522	696934	160175	86363	297450	39403	22617	406918	2078382
1803	429753	677154	178634	27413	275775	49632	29465	404050	2071876
1804	367352	686384	186616	90440	67111	47116	44599	279714	1769332
1805	359983	706546	177763	35617	174365	56114	62646	319007	1892041
1806	359404	535669	203086	77582	32476	38173	28125	496134	1770649
1807	394181	746570	198117	84500	267737	52269	47862	579913	2371149
1808	409622	611879	173709	73254	165028	49059	51868	404421	1938840
1809	401728	525284	161739	73090	170457	50811	63430	439518	1886057
1810	339867	563337	192984	97910	128321	63336	28382	384225	1798362
1811	228594	473805	153467	79307	189372	56514	31186	387820	1600065
1812	366108	366108	218654	59523	195719	69112	36515	354863	1666602
1813	400366	400366	228697	19607	186476	73671	69811	337514	1716508
1814	453088	453088	227911	16025	189549	107097	4999	225846	1677603
1815	286092	342302	122291	26164	163316	41509	37694	86538	1105906
1816	321519	277693	147183	7498	78654	37844	22691	73748	966830
1817	300014	323673	159662	24965	151298	19233	32206	33451	1044502
1818	191169	365393	155029	35741	874	12543	0	3913	764662
1819	181477	296760	115386	34744	242625	27683	0	0	898675
1820	337707	443893	158174	28794	283214	47552	0	0	1299334
1821	367398	403665	148164	13723	275314	47811	8341	0	1264416
1822	370541	377160	151125	13384	170941	48260	20531	0	1151942
1823	337357	269702	100418	21702	221901	39001	0	0	990081
1824	299449	264730	92037	29674	171560	20318	0	0	877768
1825	290560	321388	112749	42959	0	35445	0	0	803101
1826	209917	319947	120086	39901	0	36158	0	0	726009
1827	421930	320788	98565	49627	0	24449	0	0	915359
1828	257666	280317	100025	30875	0	20469	0	0	689352
1829	245092	243944	74888	23379	0	11387	0	0	598690
1830	208040	194431	62335	13051	0	12230	0	0	490087
1831	169836	198328	61820	24097	0	11353	0	0	465434
1832	220961	220005	33267	18991	0	9597	0	0	502821
1833	225241	233699	4331	15834	0	7259	0	0	486364
1834	47832	126327	9153	0	0	0	0	0	183312
