year	dividends
1757	188422
1758	189879
1759	190462
1760	189142
1761	202376
1762	191791
1763	191645
1764	190951
1765	191251
1766	190050
1767	192229
1768	317159
1769	315665
1770	352129
1771	383541
1772	394759
1773	297622
1774	189638
1775	192457
1776	190114
1777	206851
1778	222582
1779	253796
1780	252559
1781	255860
1782	253975
1783	253328
1784	255715
1785	255537
1786	255421
1787	282841
1788	319996
1789	316441
1790	351365
1791	416092
1792	408556
1793	400302
1794	567883
1795	628824
1796	629078
1797	627808
1798	624768
1799	644994
1800	633207
1801	628257
1802	631608
1803	630130
1804	625273
1805	625043
1806	632472
1807	627812
1808	626113
1809	629621
1810	628303
1811	630388
1812	629081
1813	630805
1814	622515
1815	627647
1816	629902
1817	647911
1818	632204
1819	629234
1820	626796
1821	632251
1822	627931
1823	631727
1824	626565
1825	631934
1826	630473
1827	621587
1828	633356
1829	629070
1830	630530
1831	629699
1832	631650
1833	622451
1834	634872
