year	company	private_trade 	tea_duties	total
1757	375091	60643	0	435734
1758	365282	44434	0	409716
1759	393807	39707	0	433514
1760	477137	39273	0	516410
1761	580137	42977	0	623114
1762	532323	54905	0	587228
1763	502522	31217	0	533739
1764	430123	55815	0	485938
1765	606772	76077	0	682849
1766	768673	39025	0	807698
1767	611850	75219	0	687069
1768	752010	57278	0	809288
1769	786759	78119	0	864878
1770	886922	45786	0	932708
1771	780706	53060	0	833766
1772	860944	36269	0	897213
1773	633252	34157	0	667409
1774	1244316	55205	0	1299521
1775	776700	42136	0	818836
1776	778511	20875	0	799386
1777	827504	56358	0	883862
1778	700210	53618	0	753828
1779	869417	65000	0	934417
1780	519733	50999	0	570732
1781	719144	52467	0	771611
1782	682290	39187	0	721477
1783	460491	50389	0	510880
1784	281538	77550	0	359088
1785	901456	87877	0	989333
1786	651506	106519	298094	1056119
1787	1034921	112872	331112	1478905
1788	446765	140430	314497	901692
1789	493506	135040	317339	945885
1790	507277	164345	318817	990439
1791	633252	118112	342190	1093554
1792	564037	82996	339293	986326
1793	606273	89139	329710	1025122
1794	602477	93473	332575	1028525
1795	655134	148555	439115	1242804
1796	882912	86000	652971	1621883
1797	773195	121461	545572	1440228
1798	648425	66347	1061228	1776000
1799	912589	100891	98143	1111623
1800	473202	208627	134172	816001
1801	199920	119381	142194	461495
1802	87256	84099	1554152	1725507
1803	124766	67951	1679765	1872482
1804	0	176962	2327813	2504775
1805	98402	60921	2209699	2369022
1806	53523	76466	3107589	3237578
1807	50472	73427	3138871	3262770
1808	58486	49867	3021919	3130272
1809	73092	46029	4915371	5034492
1810	84200	50876	2001943	2137019
1811	64733	70343	3949000	4084076
1812	78392	43290	3189225	3310907
1813	29030	95003	3378478	3502511
1814	130325	46701	3678557	3855583
1815	87721	91523	4144342	4323586
1816	79390	146712	3537846	3763948
1817	40041	118663	2948660	3107364
1818	76465	86838	3165610	3328913
1819	79268	60898	3378725	3518891
1820	33740	35710	3119846	3189296
1821	7524	2807	3150817	3161148
1822	0	8	3350504	3350512
1823	0	5772	3417859	3423631
1824	11706	3479	3428466	3443651
1825	1303	2799	3435892	3439994
1826	0	823	3552358	3553181
1827	0	2374	3238877	3241251
1828	0	322	3185028	3185350
1829	2283	1588	3302252	3306123
1830	0	492	3217334	3217826
1831	0	313	3423857	3424170
1832	0	317	3427935	3428252
1833	136	120	3372830	3373086
1834	0	408	3466932	3467340
