year	personal	attorney	total
1755	823	189	1012
1756	478	163	641
1757	770	225	995
1758	837	210	1047
1759	502	131	633
1760	402	151	553
1761	555	227	782
1762	408	181	589
1763	1755	532	2287
1764	1601	515	2116
1765	1559	402	1961
1766	3340	1084	4424
1767	3880	877	4757
1768	2261	625	2886
1769	2748	718	3466
1770	1927	494	2421
1771	2198	630	2828
1772	2149	595	2744
1773	1756	644	2400
1774	804	281	1085
1775	777	197	974
1776	596	291	887
1777	634	208	842
1778	429	174	603
1779	422	171	593
1780	436	167	603
1781	510	242	752
1782	526	170	696
1783	570	188	758
1784	390	165	555
1785	398	196	594
1786	545	197	742
1787	871	202	1073
1788	671	269	940
1789	700	319	1019
1790	1059	250	1309
1791	1556	613	2169
1792	2086	594	2680
1793	1994	440	2434
1794	1486	340	1826
1795	1051	241	1292
1796	1065	346	1411
1797	596	219	815
1798	593	242	835
1799	607	255	862
1800	677	271	948
1801	518	208	726
1802	569	292	861
1803	566	268	834
1804	502	233	735
1805	505	230	735
1806	578	271	849
1807	560	205	765
1808	679	228	907
1809	577	208	785
1810	587	236	823
1811	474	168	642
1812	386	195	581
1813	363	177	540
1814	434	264	698
1815	353	233	586
1816	457	262	719
1817	661	385	1046
1818	414	219	633
1819	435	189	624
1820	475	211	686
1821	458	209	667
1822	583	265	848
1823	621	215	836
1824	543	250	793
1825	553	188	741
1826	592	246	838
1827	530	216	746
1828	517	167	684
1829	659	219	878
1830	639	233	872
1831	546	202	748
1832	609	201	810
1833	1048	314	1362
1834	884	277	1161
