month	personal	attorney	total
Jan. 1755	47	7	54
Feb. 1755	119	14	133
Mar. 1755	59	3	62
Apr. 1755	84	12	96
May 1755	104	41	145
Jun. 1755	45	6	51
Jul. 1755	23	11	34
Aug. 1755	86	34	120
Sep. 1755	28	8	36
Oct. 1755	36	10	46
Nov. 1755	130	25	155
Dec. 1755	62	18	80
Jan. 1756	26	11	37
Feb. 1756	62	19	81
Mar. 1756	40	9	49
Apr. 1756	30	15	45
May 1756	72	21	93
Jun. 1756	37	9	46
Jul. 1756	29	13	42
Aug. 1756	48	30	78
Sep. 1756	37	7	44
Oct. 1756	23	9	32
Nov. 1756	27	4	31
Dec. 1756	47	16	63
Jan. 1757	16	10	26
Feb. 1757	36	19	55
Mar. 1757	64	3	67
Apr. 1757	46	19	65
May 1757	50	18	68
Jun. 1757	142	20	162
Jul. 1757	36	37	73
Aug. 1757	119	46	165
Sep. 1757	66	11	77
Oct. 1757	50	10	60
Nov. 1757	98	24	122
Dec. 1757	47	8	55
Jan. 1758	23	9	32
Feb. 1758	147	27	174
Mar. 1758	24	5	29
Apr. 1758	75	46	121
May 1758	77	18	95
Jun. 1758	71	14	85
Jul. 1758	42	21	63
Aug. 1758	144	27	171
Sep. 1758	56	13	69
Oct. 1758	46	10	56
Nov. 1758	87	11	98
Dec. 1758	45	9	54
Jan. 1759	44	10	54
Feb. 1759	63	17	80
Mar. 1759	29	8	37
Apr. 1759	46	23	69
May 1759	53	12	65
Jun. 1759	31	4	35
Jul. 1759	20	5	25
Aug. 1759	55	10	65
Sep. 1759	31	6	37
Oct. 1759	36	13	49
Nov. 1759	48	10	58
Dec. 1759	46	13	59
Jan. 1760	30	12	42
Feb. 1760	59	30	89
Mar. 1760	11	9	20
Apr. 1760	44	11	55
May 1760	48	21	69
Jun. 1760	25	4	29
Jul. 1760	21	20	41
Aug. 1760	49	7	56
Sep. 1760	18	4	22
Oct. 1760	32	11	43
Nov. 1760	19	4	23
Dec. 1760	46	18	64
Jan. 1761	15	17	32
Feb. 1761	60	26	86
Mar. 1761	81	14	95
Apr. 1761	90	28	118
May 1761	84	23	107
Jun. 1761	38	17	55
Jul. 1761	26	14	40
Aug. 1761	34	29	63
Sep. 1761	23	13	36
Oct. 1761	36	17	53
Nov. 1761	54	15	69
Dec. 1761	14	14	28
Jan. 1762	27	11	38
Feb. 1762	52	22	74
Mar. 1762	16	12	28
Apr. 1762	25	22	47
May 1762	44	10	54
Jun. 1762	21	7	28
Jul. 1762	10	21	31
Aug. 1762	50	11	61
Sep. 1762	33	13	46
Oct. 1762	31	12	43
Nov. 1762	60	31	91
Dec. 1762	39	9	48
Jan. 1763	28	20	48
Feb. 1763	145	80	225
Mar. 1763	681	142	823
Apr. 1763	239	37	276
May 1763	266	104	370
Jun. 1763	91	29	120
Jul. 1763	25	7	32
Aug. 1763	83	41	124
Sep. 1763	52	24	76
Oct. 1763	40	11	51
Nov. 1763	78	26	104
Dec. 1763	27	11	38
Jan. 1764	78	17	95
Feb. 1764	193	81	274
Mar. 1764	363	176	539
Apr. 1764	115	49	164
May 1764	292	80	372
Jun. 1764	217	14	231
Jul. 1764	53	19	72
Aug. 1764	82	20	102
Sep. 1764	35	8	43
Oct. 1764	51	16	67
Nov. 1764	72	32	104
Dec. 1764	50	3	53
Jan. 1765	56	10	66
Feb. 1765	274	84	358
Mar. 1765	261	106	367
Apr. 1765	242	43	285
May 1765	193	28	221
Jun. 1765	69	18	87
Jul. 1765	65	16	81
Aug. 1765	108	26	134
Sep. 1765	94	20	114
Oct. 1765	74	21	95
Nov. 1765	99	22	121
Dec. 1765	24	8	32
Jan. 1766	57	16	73
Feb. 1766	64	44	108
Mar. 1766	37	13	50
Apr. 1766	122	27	149
May 1766	277	88	365
Jun. 1766	88	39	127
Jul. 1766	285	123	408
Aug. 1766	523	326	849
Sep. 1766	760	214	974
Oct. 1766	626	79	705
Nov. 1766	397	91	488
Dec. 1766	104	24	128
Jan. 1767	287	64	351
Feb. 1767	407	102	509
Mar. 1767	400	34	434
Apr. 1767	449	97	546
May 1767	755	194	949
Jun. 1767	347	44	391
Jul. 1767	258	59	317
Aug. 1767	249	83	332
Sep. 1767	125	37	162
Oct. 1767	316	92	408
Nov. 1767	240	67	307
Dec. 1767	47	4	51
Jan. 1768	185	58	243
Feb. 1768	264	59	323
Mar. 1768	81	25	106
Apr. 1768	178	46	224
May 1768	182	49	231
Jun. 1768	72	20	92
Jul. 1768	112	32	144
Aug. 1768	199	85	284
Sep. 1768	157	62	219
Oct. 1768	711	95	806
Nov. 1768	88	94	182
Dec. 1768	32	0	32
Jan. 1769	152	31	183
Feb. 1769	156	50	206
Mar. 1769	61	14	75
Apr. 1769	244	73	317
May 1769	351	94	445
Jun. 1769	410	56	466
Jul. 1769	305	94	399
Aug. 1769	252	94	346
Sep. 1769	101	28	129
Oct. 1769	545	102	647
Nov. 1769	109	71	180
Dec. 1769	62	11	73
Jan. 1770	98	26	124
Feb. 1770	98	25	123
Mar. 1770	158	22	180
Apr. 1770	263	71	334
May 1770	226	71	297
Jun. 1770	86	18	104
Jul. 1770	133	42	175
Aug. 1770	164	37	201
Sep. 1770	196	41	237
Oct. 1770	225	51	276
Nov. 1770	231	87	318
Dec. 1770	49	3	52
Jan. 1771	234	19	253
Feb. 1771	259	72	331
Mar. 1771	87	12	99
Apr. 1771	237	98	335
May 1771	251	115	366
Jun. 1771	103	35	138
Jul. 1771	172	51	223
Aug. 1771	166	70	236
Sep. 1771	94	22	116
Oct. 1771	340	77	417
Nov. 1771	215	42	257
Dec. 1771	40	17	57
Jan. 1772	98	37	135
Feb. 1772	135	59	194
Mar. 1772	54	5	59
Apr. 1772	180	49	229
May 1772	200	72	272
Jun. 1772	153	57	210
Jul. 1772	206	63	269
Aug. 1772	217	26	243
Sep. 1772	192	44	236
Oct. 1772	359	98	457
Nov. 1772	245	51	296
Dec. 1772	110	34	144
Jan. 1773	129	48	177
Feb. 1773	171	60	231
Mar. 1773	57	16	73
Apr. 1773	190	64	254
May 1773	186	73	259
Jun. 1773	99	39	138
Jul. 1773	147	36	183
Aug. 1773	157	109	266
Sep. 1773	272	81	353
Oct. 1773	184	42	226
Nov. 1773	101	64	165
Dec. 1773	63	12	75
Jan. 1774	86	25	111
Feb. 1774	124	38	162
Mar. 1774	46	5	51
Apr. 1774	178	56	234
May 1774	105	42	147
Jun. 1774	50	13	63
Jul. 1774	46	29	75
Aug. 1774	51	24	75
Sep. 1774	16	7	23
Oct. 1774	35	10	45
Nov. 1774	41	23	64
Dec. 1774	26	9	35
Jan. 1775	79	17	96
Feb. 1775	79	22	101
Mar. 1775	99	25	124
Apr. 1775	53	11	64
May 1775	75	33	108
Jun. 1775	27	15	42
Jul. 1775	35	13	48
Aug. 1775	57	30	87
Sep. 1775	56	8	64
Oct. 1775	60	9	69
Nov. 1775	92	14	106
Dec. 1775	65	0	65
Jan. 1776	59	15	74
Feb. 1776	57	48	105
Mar. 1776	28	12	40
Apr. 1776	51	32	83
May 1776	73	38	111
Jun. 1776	19	15	34
Jul. 1776	49	15	64
Aug. 1776	53	24	77
Sep. 1776	43	25	68
Oct. 1776	71	23	94
Nov. 1776	58	31	89
Dec. 1776	35	13	48
Jan. 1777	41	12	53
Feb. 1777	68	66	134
Mar. 1777	33	5	38
Apr. 1777	86	11	97
May 1777	96	17	113
Jun. 1777	42	7	49
Jul. 1777	52	35	87
Aug. 1777	66	24	90
Sep. 1777	34	7	41
Oct. 1777	48	5	53
Nov. 1777	26	12	38
Dec. 1777	42	7	49
Jan. 1778	44	19	63
Feb. 1778	72	17	89
Mar. 1778	16	3	19
Apr. 1778	54	34	88
May 1778	51	12	63
Jun. 1778	19	15	34
Jul. 1778	31	6	37
Aug. 1778	47	18	65
Sep. 1778	16	13	29
Oct. 1778	33	12	45
Nov. 1778	26	16	42
Dec. 1778	20	9	29
Jan. 1779	20	14	34
Feb. 1779	38	17	55
Mar. 1779	19	9	28
Apr. 1779	59	30	89
May 1779	48	15	63
Jun. 1779	24	4	28
Jul. 1779	47	13	60
Aug. 1779	38	33	71
Sep. 1779	35	7	42
Oct. 1779	45	10	55
Nov. 1779	34	14	48
Dec. 1779	15	5	20
Jan. 1780	42	5	47
Feb. 1780	55	14	69
Mar. 1780	21	14	35
Apr. 1780	49	31	80
May 1780	45	30	75
Jun. 1780	22	14	36
Jul. 1780	28	8	36
Aug. 1780	40	13	53
Sep. 1780	17	9	26
Oct. 1780	43	11	54
Nov. 1780	32	13	45
Dec. 1780	42	5	47
Jan. 1781	26	24	50
Feb. 1781	47	15	62
Mar. 1781	34	20	54
Apr. 1781	62	32	94
May 1781	76	33	109
Jun. 1781	16	7	23
Jul. 1781	67	18	85
Aug. 1781	50	23	73
Sep. 1781	29	9	38
Oct. 1781	31	30	61
Nov. 1781	45	22	67
Dec. 1781	27	9	36
Jan. 1782	38	14	52
Feb. 1782	66	25	91
Mar. 1782	23	4	27
Apr. 1782	54	24	78
May 1782	61	11	72
Jun. 1782	19	13	32
Jul. 1782	46	10	56
Aug. 1782	68	18	86
Sep. 1782	25	7	32
Oct. 1782	39	19	58
Nov. 1782	63	19	82
Dec. 1782	24	6	30
Jan. 1783	53	9	62
Feb. 1783	58	19	77
Mar. 1783	67	17	84
Apr. 1783	64	17	81
May 1783	81	29	110
Jun. 1783	16	5	21
Jul. 1783	27	18	45
Aug. 1783	44	15	59
Sep. 1783	24	8	32
Oct. 1783	39	18	57
Nov. 1783	37	13	50
Dec. 1783	60	20	80
Jan. 1784	38	13	51
Feb. 1784	39	25	64
Mar. 1784	34	10	44
Apr. 1784	25	19	44
May 1784	39	23	62
Jun. 1784	23	5	28
Jul. 1784	49	20	69
Aug. 1784	66	12	78
Sep. 1784	13	8	21
Oct. 1784	22	13	35
Nov. 1784	15	3	18
Dec. 1784	27	14	41
Jan. 1785	29	18	47
Feb. 1785	42	21	63
Mar. 1785	56	13	69
Apr. 1785	36	10	46
May 1785	33	15	48
Jun. 1785	8	2	10
Jul. 1785	29	25	54
Aug. 1785	29	24	53
Sep. 1785	27	15	42
Oct. 1785	30	13	43
Nov. 1785	56	36	92
Dec. 1785	23	4	27
Jan. 1786	29	10	39
Feb. 1786	46	32	78
Mar. 1786	33	12	45
Apr. 1786	29	18	47
May 1786	56	12	68
Jun. 1786	15	6	21
Jul. 1786	43	17	60
Aug. 1786	66	21	87
Sep. 1786	41	15	56
Oct. 1786	73	21	94
Nov. 1786	73	25	98
Dec. 1786	41	8	49
Jan. 1787	25	16	41
Feb. 1787	93	16	109
Mar. 1787	77	11	88
Apr. 1787	94	20	114
May 1787	122	31	153
Jun. 1787	29	8	37
Jul. 1787	73	12	85
Aug. 1787	89	31	120
Sep. 1787	58	8	66
Oct. 1787	62	16	78
Nov. 1787	101	18	119
Dec. 1787	48	15	63
Jan. 1788	47	24	71
Feb. 1788	112	29	141
Mar. 1788	61	20	81
Apr. 1788	84	43	127
May 1788	87	37	124
Jun. 1788	31	10	41
Jul. 1788	47	27	74
Aug. 1788	49	25	74
Sep. 1788	16	13	29
Oct. 1788	39	17	56
Nov. 1788	59	10	69
Dec. 1788	39	14	53
Jan. 1789	36	26	62
Feb. 1789	74	21	95
Mar. 1789	48	5	53
Apr. 1789	71	36	107
May 1789	35	55	90
Jun. 1789	15	5	20
Jul. 1789	68	33	101
Aug. 1789	59	34	93
Sep. 1789	41	36	77
Oct. 1789	89	27	116
Nov. 1789	110	30	140
Dec. 1789	54	11	65
Jan. 1790	42	22	64
Feb. 1790	64	21	85
Mar. 1790	84	9	93
