name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
ILCHESTER;['Rated at 498 tons, 99 crew, 28 guns'];{'time': ['1745', '1746'], 'destination': 'Bombay', 'reference': ['L/MAR/B/601A Journal 25 Dec 1745-21 Sep 1748, William Douglas, Chief Mate ', 'L/MAR/B/601E(1) Ledger ', 'L/MAR/B/601E(2) Pay Book'], 'captain': 'John Tedd', 'itinerary': 'Plymouth 16 May 1746 - 14 Aug Cape - 6 Nov Anjengo - 23 Nov Tellicherry - 9 Dec Bombay - 19 Feb 1747 Tellicherry - 9 Apr Bombay - 27 May Fort St David -18 Jul Trincomalee -11 Sep Fort St David - 9 Nov Point de Galle - 26 Nov Anjengo - 4 Apr 1748 St Salvadore - 22 Jul Lisbon - 23 Aug Downs'};{'time': ['1749', '1750'], 'destination': 'Bombay', 'reference': ['L/MAR/B/601B Journal 30 Dec 1749-7 Oct 1751', 'L/MAR/B/601F(1) Ledger', 'L/MAR/B/601F(2) Pay Book'], 'captain': 'John Tedd', 'itinerary': 'Downs 31 Mar 1750 - 20 Jul Madagascar - 3 Sep Bandar Abbas 24 Nov Bombay - 27 Jan 1751 Tellicherry -18 Feb Anjengo -19 Jun St Helena - 9 Sep Downs'};{'time': ['1753', '1754'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/601C Journal 26 Oct 1753-22 Jul 1755', 'L/MAR/B/601G(1) Ledger', 'L/MAR/B/601 G(2) Pay Book'], 'captain': 'John Tedd', 'itinerary': 'Downs 27 Dec 1753 - 28 Mar 1754 Cape -14 Jun Madras - 2 Sep Whampoa - 27 Nov Second Bar - 11 Mar 1755 St Helena -10 Jun Long Reach'};{'time': ['1756', '1757'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/601D Journal 21 Jan 1757-30 Nov 1759, James Ward, Chief Mate', 'L/MAR/B/601H(1) Ledger', 'L/MAR/B/601H(2) Pay Book'], 'captain': 'John Tedd', 'itinerary': 'Portsmouth 4 May 1757 - 26 Jul St Salvadore - 5 Dec Nicobars - 28 Dec Negrais -18 Feb 1758 Calcutta -12 Sep Kedgeree - 20 Oct Vizagapatam - 30 Nov Ingeli - 6 Jan 1759 Kedgeree -11 Apr Cape - 6 Jun St Helena -17 Sep Kinsale -19 Oct Downs'};;;;;
INDEFATIGABLE;[];{'time': ['1812', '1813'], 'destination': 'Tasmama and New South Wales', 'reference': ['L/MAB/B/786A Journal 7 Jun 1812-9 Jun 1814 '], 'captain': 'John Cross', 'itinerary': 'Lizard 7 Jun 1812 -19 Oct Hobart - 7 Dec Port Jackson Jan 1813 - 6 Aug Cape - 5 Sep St Helena 1 Mar 1814 -19 May Blackwall'};;;;;;;;
INDIA;['Yacht, 60 tons, 12 crew, 6 guns'];{'time': ['1740', '1741'], 'destination': 'St Helena', 'reference': [], 'captain': 'Gabriel Steward', 'itinerary': '26 Oct 1740 - 28 Sep 1741'};{'time': '1750', 'destination': 'West Africa', 'reference': ['L/MAR/B/611A Journal 4 Jun-6 Nov 1750 '], 'captain': 'George Bere', 'itinerary': 'Falmouth 8 Jul 1750 - 2 Aug Goree - 5 Nov Downs (to investigate wreck of Cumberland)'};;;;;;;
INDIAN;['Frigate, 130 tons'];{'time': ['1705', '1706'], 'destination': 'Bombay', 'reference': ['L/MAR/B/783A Imprest Book '], 'captain': [], 'itinerary': 'Capt Robert Hill 18 Oct 1706 - to remain'};;;;;;;;
INDIAN CHIEF;['Built m Bengal 1798, 402 tons, captured and sold to the Americans '];{'time': ['1800', '1801'], 'destination': 'Bengal', 'reference': ['L/MAR/B/377A Journal 21 Apr 1800-3 Oct 1801, anon'], 'captain': [], 'itinerary': 'New York 21 Apr 1800 - 13 Jun Hamburg - 22 Aug Yarmouth - 2 Dec Portsmouth -15 Dec Madeira - 2 Apr 1801 Calcutta -16 May Culpee -12 Aug St Helena - 22 Sep Downs'};;;;;;;;
INDIAN TRADER;"[""Extra ship, built by Wells, 3 decks, length 101ft 8m, keel 80ft 6in, breadth 28ft 2'Am, hold lift S^in, wing transom 17ft 3 in, waist 2ft, between decks 6ft 4in, 340 tons""]";{'time': ['1794', '1795'], 'destination': 'Bengal', 'reference': ['L/MAR/B/449A Journal 8 May 1794-2 Jan 1796 '], 'captain': 'David Dunlop', 'itinerary': 'Falmouth 14 Aug 1794 - 5 Sep Madeira -15 Feb 1795 Calcutta -14 Apr Diamond Harbour - 25 Aug St Helena - 24 Nov Downs'};;;;;;;;
INDISPENSABLE;[];{'time': '1795', 'destination': 'From China', 'reference': ['L/MAR/B/434A Journal 18 Nov 1794-4 Sep 1795', 'L/MAR/B/434B Journal 18 Nov 1794-4 Sep 1795, James Walton, Chief Mate'], 'captain': 'William Williamson', 'itinerary': 'Whampoa 24 Jan 1795 - 14 Apr St Helena - 23 Jul Downs'};{'time': '1797', 'destination': 'From China', 'reference': ['L/MAR/B/434C Journal 5 Dec 1796-11 Aug 1797 '], 'captain': 'William Williamson', 'itinerary': 'Whampoa 7 Jan 1797 - 3 Apr Cape - 29 Apr St Helena - 25 Jul Downs'};;;;;;;
INDUS;"[""Built by Temple, launched 1804, 2 decks, 4m bottom, length 122ft 5m, keel 98ft, breadth 33ft, hold 13ft Sin, wing transom 18ft Sin, waist 1ft lin, between decks 6ft 5'Ain, roundhouse 6ft 3 Ain, 567 tons Principal Managing Owners 1-5 William Borradaile, 6 Richardson Borradaile""]";{'time': ['1803', '1804'], 'destination': 'Madras', 'reference': ['L/MAR/B/225A Journal 31 May 1804-21 Dec 1805 ', 'L/MAR/B/225G(1) Ledger', 'L/MAR/B/225G(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 4 Sep 1804 - 27 Sep Madeira - 17 Feb 1805 Madras - 20 Jul St Helena -1 Oct Crookhaven - 24 Nov Downs'};{'time': ['1805', '1806'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/225B Journal 12 Mar 1806-6 Jan 1808 ', 'L/MAR/B/225H(1) Ledger', 'L/MAR/B/225H(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 10 Jun 1806 - 28 Jun Madeira - 3 Oct Cape - 20 Dec Madras - 7 Feb 1807 Diamond Harbour - 3 Apr Madras - 30 Apr Calcutta - 20 Jul Madras - 3 Dec Downs'};{'time': ['1807', '1808'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/225C Journal 7 Mar 1808-11 Aug 1809', 'L/MAR/B/225-I(l) Ledger', 'L/MAR/B/225-I(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 6 May 1808 - 30 May Madeira - 2 Aug Cape - 30 Sep Madras -1 Nov Calcutta - 23 Jan 1809 Saugor - 7 Feb Point de Galle -11 Apr Cape - 30 Apr St Helena -14 Jul Downs'};{'time': ['1809', '1810'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/225D Journal 5 Feb 1810-29 Oct 1811', 'L/MAR/B/225J(1) Ledger', 'L/MAR/B/225J(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 13 Apr 1810 -19 May Madeira -12 Oct Madras -18 Nov Calcutta - 5 Jan 1811 Saugor - 31 Jan Vizagapatam - 26 Feb Madras -18 Jun St Helena - 30 Aug Downs'};{'time': ['1811', '1812'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/225E Journal 13 Jan 1812-10 Dec 1813', 'L/MAR/B/225K(1) Ledger', 'L/MAR/B/225K(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 8 Apr 1812 - 24 Apr Madeira -17 Sep Madras - 3 Nov Calcutta -19 Feb 1813 Madras - 25 Jun St Helena - 7 Nov Downs'};{'time': ['1813', '1814'], 'destination': 'Bombay', 'reference': ['L/MAR/B/225L(1) Ledger', 'L/MAR/B/225L(2) Pay Book'], 'captain': 'George Weltden', 'itinerary': 'Portsmouth 8 Jun 1814 - 23 Jun Madeira -15 Nov Bombay -10 Jan 1815 Tellicherry - 27 Mar Cape - 25 Apr St Helena - 23 Jun Downs'};;;
INDUSTRY;[];"{'time': '1699', 'destination': '& 1700 Gibraltar', 'reference': ['L/MAR/A/CXIII ff.7v-16 Journal 14 Jun 1699-26 Dec 1700, anon'], 'captain': 'Nathaniel Grantham', 'itinerary': ""Lizard 15 Jul 1699 - 22 Jul Lisbon - Cap Sprat 29 Feb 1700 - 27 Mar Downs - 'from England' 5 Dec -26 Dec Cap Sprat""}";;;;;;;;
INGLIS;['Built at Penang, launched 1811, 3 decks, 4in bottom, length 165ft 8in, keel 133ft 7in, breadth 42ft 9in, hold 17ft 5in, wing transom 125ft 9in, port cell 29ft 8Â½in, waist 1ft 6in, between decks 6ft 7in & 6ft 6in, roundhouse 6ft 5in, ports 14 middle & 13 upper, deck range 97ft, 1298 tons Principal Managing Owners: 1-2 Robert Hudson, 3-11 Richard Borradaile', 'National Maritime Museum holds journals by Joseph Dudman for voyages 2,3 & 5-12'];{'time': '', 'destination': '1832/3 Madras, Bengal and China', 'reference': ['L/MAR/B/30L Journal 13 Dec 1832-5 May 1834', 'L/MAR/B/30X(1) Ledger', 'L/MAR/B/30X(2) Pay Book'], 'captain': 'Joseph Dudman', 'itinerary': 'Downs 18 Jan 1833-14 May Madras - 24 May Saugor - 9 Aug Penang - 1 Sep Singapore - 27 Sep Whampoa - 27 Nov Second Bar - 11 Feb 1834 St Helena - 3 Apr Downs'};{'time': ['1812', '1813'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/30B Journal 1 Aug 1812-20 Sep 1814', 'L/MAR/B/30N(1) Ledger', 'L/MAR/B/30N(2) Pay Book'], 'captain': 'William Hay', 'itinerary': 'Torbay 29 Sep 1812-11 Feb 1813 Saugor - 4 Sep Malacca - 24 Sep Whampoa - 23 Dec Second Bar - 26 May 1814 St Helena - 6 Aug Downs'};{'time': ['1814', '1815'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30C Journal 19 Oct 1814-28 Jun 1816', 'L/MAR/B/30-0(1) Ledger', 'L/MAR/B/30-0(2) Pay Book'], 'captain': 'William Hay', 'itinerary': 'Downs 14 Jan 1815-31 Mar Cape - 27 May Bombay - 8 Aug Penang - 23 Sep Whampoa - 27 Nov Second Bar - 25 Mar 1816 St Helena - 11 May Downs'};{'time': ['1816', '1817'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30D Journal 24 Oct 1816-8 Jun 1818', 'L/MAR/B/30P(1) Ledger', 'L/MAR/B/30P(2) Pay Book'], 'captain': 'William Hay', 'itinerary': 'Downs 17 May 1817-27 May Bombay - 27 Jul Penang - 12 Sep Whampoa - 21 Nov Second Bar - 8 Mar 1818 St Helena - 5 May Downs'};{'time': ['1818', '1819'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30E Journal 12 Nov 1818-30 Jun 1820', 'L/MAR/B/30Q(1) Ledger', 'L/MAR/B/30Q(2) Pay Book'], 'captain': 'Thomas Borradaile', 'itinerary': 'Downs 27 Jan 1819-29 May Bombay - 11 Aug Penang - 21 Sep Whampa - 13 Dec Second Bar - 29 Mar 1820 St Helena - 15 May Downs'};{'time': ['1820', '1821'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30F Journal 6 Nov 1820-27 May 1822, Joseph Dudman, Chief Mate', 'L/MAR/B/30R(1) Ledger', 'L/MAR/B/30R(2) Pay Book'], 'captain': 'Thomas Borradaile', 'itinerary': 'Portsmouth 23 Jan 1821 - 20 May Bombay - 1 Sep Whampoa - 7 Nov Second Bar - 13 Feb 1822 St Helena-21 Apr Downs'};{'time': ['1822', '1823'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30G Journal 15 Nov 1822-17 May 1824', 'L/MAR/B/30S(1) Ledger', 'L/MAR/B/30S(2) Pay Book '], 'captain': 'Samuel Serle', 'itinerary': 'Downs 8 Jan 1823-27 May Bombay - 22 Aug Lintin - 2 Oct Whampoa - 28 Nov Second Bar - 18 Feb 1824 St Helena - 10 Apr Downs'};{'time': ['1824', '1825'], 'destination': 'Bombay and China', 'reference': ['L/MAR/B/30H Journal 20 Dec 1824-9 May 1826', 'L/MAR/B/30T(1) Ledger', 'L/MAR/B/30T(2) Pay Book'], 'captain': 'Samuel Serle', 'itinerary': 'Downs 16 Feb 1825-6 Jun Bombay - 21 Aug Malacca - 13 Sep Whampoa - 29 Oct Second Bar - 2 Feb 1826 St Helena - 6 Apr Downs'};{'time': ['1826', '1827'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/30-1 Journal 28 Dec 1826-8 Jul 1828', 'L/MAR/B/30U(1) Ledger', 'L/MAR/B/30U(2) Pay Book'], 'captain': 'Samuel Serle', 'itinerary': 'Downs 15 Feb 1827-30 May Madras - 8 Jun Saugor - 3 Oct Singapore - 25 Nov Whampoa - 12 Jan 1828 Second Bar - 24 Apr St Helena - 7 Jun Downs'}
