name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
ACCLESFIELD (1);['New Company, galley, 46 crew, 250 tons'];{'time': ['1698', '1699'], 'destination': 'China', 'reference': ['L/MAR/A/CXXIII Journal 23 Feb 1699-17 Jun 1700, Robert Douglas, chief supercargo '], 'captain': 'John Hurle', 'itinerary': 'Downs 2 Mar 1699 - 14 Mar Madeira -15 Jul Batavia - 26 Aug Macao -15 Sep Whampoa - 29 Sep Macao - 7 Oct Whampoa 18 Jul 1700 - 6 Aug Chusan 24 Dec -1 Jul 1701 Portsmouth'};{'time': ['1701', '1702'], 'destination': 'Bombay ', 'reference': ['L/MAR/A/CLXV Ledger L/MAM/A/CLXVII Ledger Capt Thomas Roberts/John Hurle'], 'captain': [], 'itinerary': 'Downs 10 Sep 1701 - 29 Sep Madeira - 20 Oct Sao Tiago - Annabon - St Helena - 29 May 1702 Bombay - Surat - Muscat - Mokha - Dec Cape - Downs'};;;;;;;
MACCLESFIELD (2);['450 tons, 90 crew, 30 guns', 'macqueen', 'Built by Brindley, launched 1821, 3 decks, 4in bottom, length 166ft 6in, keel 134ft, breadth 43ft 3in, hold 17ft 21/2in, wing transom 26ft, port cell 29ft 7Vain, waist 1ft 4in, between decks 6ft 41/2in, round- house 6ft 53/4in, ports 14 middle & 13 upper, deck range 97ft 2in, 1333 tons Principal Managing Owner: John Campbell'];{'time': '', 'destination': '1821/2 St Helena, Bombay and China', 'reference': ['L/MAR/B/11A Journal 25 Nov 1821-18 Jun 1823', 'L/MAR/B/11 G(l) Ledger', 'L/MAR/B/11 G(2) Pay Book'], 'captain': 'James Walker', 'itinerary': 'Downs 21 Jan 1822 - 23 Mar St Helena - 4 Jun Bombay - 21 Aug Malacca - 22 Sep Whampoa - 26 Dec Second Bar - 20 Mar 1823 St Helena - 10 May Downs'};{'time': 'Bengal', 'destination': 'and China', 'reference': ['L/MAR/B/11B Journal 20 Nov 1823-17 May 1825', 'L/MAR/B/11 H(l) Ledger', 'L/MAM/B/11H(2) Pay Book'], 'captain': 'James Walker', 'itinerary': 'Portsmouth 1 Feb 1824 - 17 May New Anchorage -14 Aug Penang - 22 Sep Whampoa - 22 Nov Second Bar - 25 Feb 1825 St Helena -14 Apr Downs'};{'time': ['1725', '1726'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/11C Journal 9 Dec 1825-7 May 1827', 'L/MAR/B/11-1(1) Ledger', 'L/MAR/B/11 -1(2) Pay Book'], 'captain': 'James Walker', 'itinerary': 'Downs 9 Feb 1826 - 27 May New Anchorage - 30 Aug Penang - 4 Oct Whampoa - 27 Nov Second Bar - 12 Feb 1827 St Helena - 28 Mar Downs'};{'time': ['1827', '1828'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/11D Journal 16 Jan 1828-15 Jun 1829', 'L/MAR/B/11J (1) Ledger', 'L/MAR/B/11J(2) Pay Book'], 'captain': 'James Walker', 'itinerary': 'Portsmouth 10 Mar 1828 - 22 Jun Madras - 30 Aug Penang -19 Sep Singapore - 21 Oct Whampoa - 19 Dec Second Bar - 20 Mar 1829 St Helena -15 May Downs'};{'time': ['1829', '1830'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/11E Journal 3 Dec 1830-10 May 1831', 'L/MAR/B/11K(1) Ledger', 'L/MAR/B/11K(2) Pay Book'], 'captain': 'Robert Lindsay', 'itinerary': 'Downs 23 Jan 1830 - 10 May Saugor -10 Aug Penang - 23 Aug Singapore - 17 Sep Whampoa - 2 Dec Second Bar - 5 Feb 1831 St Helena - 8 Apr Downs'};{'time': 'Madras,', 'destination': 'Bengal and China', 'reference': ['L/MAR/B/1 IF Journal 26 Dec 1832-30 Apr 1833', 'L/MAR/B/11L(1) Ledger', 'L/MAR/B/11L(2) Pay Book'], 'captain': 'Robert Lindsay', 'itinerary': 'Downs 10 Feb 1832 - 10 May Madras -17 May Saugor - 27 Jul Penang - 31 Aug Whampoa -16 Nov Second Bar - 26 Jan 1833 St Helena - 28 Mar Downs'};;;
MADRAS MERCHANT (1);['250 tons, former name Dethick', 'MADRAS merchant (2)', 'Frigate, 260 tons, 52 crew, 24 guns', 'Downs 11 Jul 1696-Torbay 18 Aug-6 Jan 1697 Cape- 20 Mar Madagascar 2 Apr 11 Mad-18 Aug Fort St David-29 Aug Madras-13 Oct Vizagapatam-6 Jan 1098 Priam-14 Jan Bekulen-Jun St Helena-28 Sep Downs'];{'time': ['1695', '1696'], 'destination': 'Madras and Benkulen', 'reference': ['L/MAR/A/CVI Journal 9 Feb 1696-27 Apr 1098, Zachariah Tovey, Second Mate', 'L/MAR/A/CVIII Journal 4 Sep 1696-4 Jan 1798, ', 'L/MAR/A/CX Journal 27 Jan 1697-16 Sep 1698, First Mate (7) East'], 'captain': 'Benjamin Prickman'};{'time': ['1699', '1700'], 'destination': 'Benkulen', 'reference': [], 'captain': 'John up Race'};{'time': '', 'destination': 'New 1699-6 Mar 1702', 'reference': [], 'captain': []};;;;;;
MAITLAND;['Downs 18 Jun 1825-15 Nov Bombay', 'Downs 21 Jun 1830-13 Nov Calcutta-9 Feb 1831 Kodgeree-20 Apr Cape -1 Jun St Helena- 4 Aug Downs'];{'time': '1812', 'destination': 'From Bengal', 'reference': ['L/MAR/B/67A Journal 12 Nov 1811-8 Sep 1812'], 'captain': 'John Steven', 'itinerary': 'Calcutta 13 Dec 1811-12 Feb 1812 Saugor - 12 May St Helena-22 Jul Downs'};{'time': ['1824', '1825'], 'destination': 'Bombay', 'reference': ['L/MAR/B/67B Dock Log 2 May-15 Nov 1825'], 'captain': 'John Lynch Studd'};{'time': ['1827', '1828'], 'destination': 'Bengal', 'reference': ['L/MAR/B/67C Deck Leg 12 Jun 1828-10 Sep 1829'], 'captain': 'Joseph Short', 'itinerary': 'Downs 2 Jul 1828-11 Nov Colombo-19 Jan 1829 Calcutta-18 Mar Diamond Harbour - 1 Apr Sagor-23 Jun St Helena - 18 Aug Downs'};{'time': ['1829', '1830'], 'destination': 'Bengal', 'reference': ['L/MAR/B/67D-E Deck Log 2 Jun 1830-29 Aug 1831'], 'captain': 'James Temple Brown'};;;;;
MAJOR;['Built by Randall, launched 1781, 3 decks, 4in bottom, length 1438 9in, keel 117, breadth 35th Han hold 14ft 9in, wing transom 22 100, port cell 26ft 3in, between decks di Nin & m roundhouse 6ft 4in, ports 13 middle & upper, 768 tons Principal Managing Owner Gilbert Slater', 'Portsmouth 6 Feb 1782-24 Jun burnt at Culpe'];{'time': ['1781', '1782'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/780A(1) Imprest Book', 'L/MAR/B/780A(2) Absence Book'], 'captain': 'David Arthur'};;;;;;;;
MALABAR;['Extra ship, repaired by Perry, 3 decks, length 13 9ft 6in, keel 110ft, breadth 38ft WAin, hold 16ft 6in, wing transom 24ft 9in, port cell 28ft lOin, waist 1ft 5in, between decks 6ft lOl^in & 6ft Tin, roundÂ\xadhouse 6ft 5in, ports 11 middle & upper, deck range 94ft, 884 tons Principal Managing Owner: William Hamilton'];{'time': ['1795', '1796'], 'destination': 'Bombay', 'reference': ['L/MAR/B/398A Journal 15 Mar 1796-11 Nov 1797 ', 'L/MAR/B/398C(1) Ledger', 'L/MAM/B/398C(2) Pay Book'], 'captain': 'William Edmeades', 'itinerary': 'Portsmouth 27 Jun 1796 - 19 Sep Cape - 20 Jan 1797 Bombay - 20 Mar Tellicheny -18 Apr Cochin - 7 Jul Cape - 2 Aug St Helena - 25 Oct Downs'};{'time': ['1797', '1798'], 'destination': 'China and Bengal', 'reference': ['L/MAR/B/398B Journal 8 Feb 1797-1 Aug 1800'], 'captain': 'William Edmeades', 'itinerary': 'Portsmouth 29 Apr 1798 - 6 Jul Rio de Janeiro - 2 Dec Whampoa - 8 Jan 1799 Second Bar - 30 Jan Malacca - 9 Feb Penang - 1 Mar Kedgeree -12 May Madras -17 Aug Diamond Harbour - 29 Sep Calcutta - 5 Dec Saugor - 10 Mar 1800 Cape - 16 Apr St Helena - 24 Jun Downs'};;;;;;;
MALCOLM;['Chartered ship, 600 tons', 'Principal Managing Owner: Robert W Eyles'];{'time': ['1824', '1825'], 'destination': 'Madras', 'reference': ['L/MAM/B/70A Deck Log 19 Apr-22 Sep 1825'], 'captain': 'James Eyles', 'itinerary': 'Downs 27 May 1825 - 8 Sep Madras'};{'time': ['1825', '1826'], 'destination': 'Bengal', 'reference': ['L/MAR/B/70B Deck Log 18 May 1826-8 Jun 1827'], 'captain': 'James Eyles', 'itinerary': 'Downs 23 Jun 1826 - 23 Oct Calcutta - 30 Dec Culpee - 16 Jan 1827 Madras - 17 May Downs'};{'time': ['1827', '1828'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/70C Deck Log 29 Apr 1828-22 Jul 1829'], 'captain': 'James Eyles', 'itinerary': 'Downs 26 May 1828 - 19 Sep Madras - 9 Oct Kedgeree - 3 Jan 1829 Diamond Harbour - 22 Jan Madras - 25 Apr St Helena - 27 Jun Downs'};{'time': ['1829', '1830'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/70D Deck Log 10 May 1830-25 May 1831'], 'captain': 'James Eyles', 'itinerary': 'Downs 5 Jun 1830 - 17 Sep Madras - 12 Oct Calcutta - 9 Dec Saugor - 15 Mar 1831 St Helena - 7 May Downs'};;;;;
MANGLES;['Extra ship, built in Bengal 1803, 2 decks, 4in bottom, length 119ft lOin, keel 94ft 43/4in, breadth 33ft lin, hold 17ft 2in, wing transom 22ft 4!/2in, port cell 28ft 4in, waist 1ft 5in, between decks 6ft SVAn, roundhouse 6ft, ports 11 upper, 549 tons Principal Managing Owner: John William Buckle/Buckle & Co 1', 'Downs 21 Dec 1826 -4 May 1827 Bombay'];{'time': '1803', 'destination': 'From Bengal', 'reference': ['L/MAR/B/89A Journal 8 Feb-10 Oct 1803'], 'captain': 'H Read', 'itinerary': 'Left Bengal 26 Mar 1803 - 20 Jun Cape - 20 Jul St Helena -19 Sep Cork - 2 Oct Downs'};{'time': ['1815', '1816'], 'destination': 'Bengal', 'reference': ['L/MAR/B/89B Journal 15 Mar 1816-17 Sep 1817', 'L/MAM/B/89 G(l) Ledger', 'L/MAR/B/89G(2) Pay Book'], 'captain': 'Benjamin Bunn', 'itinerary': 'Downs 17 May 1816 - 28 May Madeira - 15 Aug Cape - 6 Nov Calcutta - 30 Jan 1817 Saugor - 7 Feb Benkulen - 6 Jun St Helena - 8 Aug Long Reach'};{'time': ['1817', '1818'], 'destination': 'Bengal', 'reference': ['L/MAR/B/89C Journal 11 Feb 1818-17 Nov 1819, Richard F Lardner, Chief Mate'], 'captain': 'Benjamin Bunn', 'itinerary': 'Downs 27 Mar 1818 - 7 Jun St Helena - 21 Nov Calcutta -18 Feb 1819 Diamond Harbour - 1 Mar Madras - 16 Oct Downs'};{'time': ['1826', '1827'], 'destination': 'Bombay', 'reference': ['L/MAR/B/89D Journal 1 Dec 1826-11 May 1827'], 'captain': 'William Can-'};{'time': ['1828', '1829'], 'destination': 'China and Halifax', 'reference': ['L/MAR/B/89E Deck Log 19 May 1829-22 Jul 1830'], 'captain': 'William Can-', 'itinerary': 'Downs 6 Jun 1829 - 12 Nov Cap Sing Moon - 9 Feb 1830 Whampoa - 13 Mar Second Bar - 29 May St Helena -13 Jul Halifax'};{'time': ['1830', '1831'], 'destination': 'China and Halifax', 'reference': ['L/MAR/B/89F Deck Log 18 May 1831-23 May 1832'], 'captain': 'William Carr', 'itinerary': 'Downs 4 Jun 1831-8 Oct Whampoa - 5 Dec Second Bar - 9 Feb 1832 St Helena -12 Apr Halifax'};;;
MANSELL;['Frigate'];{'time': ['1699', '1700'], 'destination': 'Batavia', 'reference': ['L/MAR/B/715A ff.45-50 Fragment of journal 29 Feb-13 May 1700, anon'], 'captain': 'John Clarke', 'itinerary': 'Downs 24 Mar 1700 - 21 Apr St Croix -'};;;;;;;;
MANSHIP (1);"[""Built by Wells, launched 1785, 3 decks, 4in bottom, length 145ft 3 'Ain, keel 117ft 9!/2in, breadth 36ft, hold 14ft 9in, wing transom 23ft GViin, port cell 26ft 2in, waist 1ft 3in, between decks 6ft 'Ain & 6ft P/iin, roundhouse 6ft 3Ain, ports 13 middle & upper, 812 tons Principal Managing Owner: Jeffery Jackson""]";"{'time': ['1785', '1786'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363A Journal 2 Nov 1785-23 May 1787', 'L/MAM/B/363H(1) Ledger', 'L/MAR/B/363H(2) Pay Book'], 'captain': 'Charles Gregorie', 'itinerary': ""Downs 30 Dec 1785 - 29 Jan 1786 Madeira - 30 Jun Madras -10 Jul Calcutta - 2 Nov Cox's Island - 16 Dec Madras - 24 Feb 1787 St Helena - 28 Apr Downs""}";"{'time': ['1787', '1788'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363B Journal 22 Dec 1787-14 Jul 1789', 'L/MAM/B/363-I(l) Ledger', 'L/MAR/B/363-I(2) Pay Book'], 'captain': 'Charles Gregorie', 'itinerary': ""Downs 4 Apr 1788 - 14 Jul Madras - 23 Jul Diamond Harbour - 20 Nov Cox's Island - 26 Dec Saugor -1 Jan 1789 Madras - 23 Apr St Helena - 21 Jun Downs""}";"{'time': ['1790', '1791'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363C Journal 21 Feb 1791-1 Dec 1792', 'L/MAR/B/363J(1) Ledger', 'L/MAM/B/363J(2) Pay Book'], 'captain': 'John Lloyd', 'itinerary': ""Downs 26 Apr 1791 - 14 Aug Madras - 3 Oct Bankshall - 2 Feb 1792 Cox's Island - 11 Mar Saugor - 24 Mar Madras - 26 Aug St Helena -31 Oct Downs""}";"{'time': ['1793', '1794'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363D Journal 18 Oct 1793-8 Dec 1796', 'L/MAR/B/363K(1) Ledger', 'L/MAR/B/363K(2) Pay Book'], 'captain': 'John Lloyd', 'itinerary': ""Portsmouth 2 May 1794 - 11 Sep Madras -15 Oct Diamond Harbour -13 Dec Cox's Island - 19 Feb 1796 Saugor - 3 Mar Madras - 24 May St Helena -13 Sep River Shannon - 15 Oct Downs""}";{'time': ['1795', '1796'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363E Journal 25 Jan 1796-12 Mar 1798', 'L/MAR/B/363L(1) Ledger', 'L/MAR/B/363L(2) Pay Book'], 'captain': 'John Altham Cumberlege', 'itinerary': 'Portsmouth 12 Apr 1796 - 21 Jul Cape -17 Nov Madras -10 Dec Trincomalee - 4 Jan 1797 Madras - 2 Feb Kedgeree -17 Apr Anjengo - 4 Jun Bombay -16 Oct Cape - 11 Nov St Helena - 30 Jan 1798 Downs'};{'time': ['1798', '1799'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/363F Journal 7 Dec 1798-6 Aug 1800 L/MAM/B/363M(1) Ledger', 'L/MAM/B/363M(2) Pay Book'], 'captain': 'John Altham Cumberlege', 'itinerary': 'Portsmouth 2 Apr 1799 - 2 Aug Madras -15 Sep Diamond Harbour -10 Dec Saugor - 15 Jan 1800 Madras - 23 Apr St Helena - 29 Jun Cork - 5 Jul Downs'};;;
