name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
AESLINGFIELD;['Rated at 490 tons, 98 crew, 32 guns'];{'time': ['1735', '1736'], 'destination': 'Madras', 'reference': ['L/MAR/B/642A Journal 13 May 1735-6 Aug 1737 ', 'L/MAR/B/642E(1) Ledger', 'L/MAM/B/642E(2) Pay Book'], 'captain': 'William Birch', 'itinerary': 'Downs 6 Feb 1736 - 4 May Cape -14 Jul Madras - 24 Aug Calcutta - 20 May 1737 St Helena - 26 Jul Downs'};"{'time': ['1738', '1739'], 'destination': 'Bombay', 'reference': ['L/MAM/B/642C Journal 19 Dec 1738-13 Nov 1740', 'L/MAR/B/642B Journal 19 Dec 1738-28 Jul 1741, James Houghton, Chief Mate', 'L/MAM/B/642F(1) Ledger', 'L/MAR/B/642F(2) Pay Book'], 'captain': 'John Cooke', 'itinerary': ""Downs 11 Mar 1739 - 6 Apr Sao Tiago - 9 Jul Johanna -14 Aug Bombay - 2 Oct Surat - 26 Oct Bombay - 4 Dec Surat - 21 Dec Bombay -1 Feb 1740 Tellicherry -12 Feb Cochin -13 Jul Morandava - 29 Sep St Augustine's Bay -19 Nov Cape - 2 Jan 1741 St Helena - 4 Aug Leith""}";{'time': ['1742', '1743'], 'destination': 'China', 'reference': ['L/MAM/B/642D Journal 4 Dec 1742-10 Nov 1744', 'L/MAM/B/642G(1) Ledger', 'L/MAR/B/642G(2) Pay Book'], 'captain': 'Robert Haldane', 'itinerary': 'Portsmouth 5 Mar 1743 - 8 Nov Whampoa - 27 Jan 1744 Second Bar -14 May St Helena - 29 Aug Downs'};;;;;;
HALIFAX (1);['Rated at 350 tons, 70 crew, 26 guns', 'Downs 12 Nov 1701 -17 Nov 1704 Downs'];{'time': ['1701', '1702'], 'destination': 'Bengal', 'reference': ['L/MAM/A/CLXIX Ledger'], 'captain': 'Henry Hudson'};{'time': ['1705', '1706'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/651D & E Ledgers'], 'captain': 'Henry Hudson', 'itinerary': 'Portsmouth 25 Mar 1706 - 10 Mar 1708 Downs'};"{'time': ['1708', '1709'], 'destination': 'Madras, Bombay and China', 'reference': ['L/MAM/B/651A Journal 1 Dec 1708-6 Sep 1712', 'L/MAWB/651F Ledger'], 'captain': 'Henry Hudson', 'itinerary': ""Downs 9 Mar 1709 - 5 May Sao Tiago -16 Sep Negapatam -13 Oct Fort St David -18 Oct Madras - 7 Feb 1710 Rogues River -11 Mar Cox's Island -1 May Madras - 24 Jun Malacca - 27 Jul Whampoa -15 Feb 1711 Malacca - 22 Mar Madras - 9 Aug Fort St David -13 Aug Madras - 23 Jan 1712 Cape - 3 Aug Texel - 5 Sep Downs""}";;;;;;
HALIFAX (2);['Rated at 490 tons, 98 crew, 30 guns'];{'time': ['1736', '1736'], 'destination': 'Bengal', 'reference': ['L/MAR/B/651B Journal 22 Sep 1735-17 May 1739, John Blake, Second Mate ', 'L/MAR/B/6S1G(1) Ledger', 'L/MAM/B/651 G(2) Pay Book'], 'captain': 'Thomas Manley', 'itinerary': 'Downs 6 Feb 1736 - 1 Jul Madras - 23 Jul Rogues River - 9 Oct Calcutta - 9 Feb 1737 Tellicherry - 4 Mar Goa - 30 Mar Surat - 27 Apr Bombay - 29 May Fulta -13 Jun Calcutta -19 Feb 1738 Ingeli - 25 Jun Mauritius -18 Dec St Helena - 6 Apr 1739 Downs'};{'time': ['1739', '1740'], 'destination': 'Bombay', 'reference': ['L/MAR/B/651C Journal 8 Feb 1740-3 Dec 1742', 'L/MAR/B/651H(1) Ledger', 'L/MAM/B/651H(2) Pay Book'], 'captain': 'John Blake', 'itinerary': 'Portsmouth 18 Jun 1740 - 5 Oct Cape -1 Feb 1741 Cochin - 9 Feb Tellicherry - 4 Mar Bombay - 30 Apr Tellicherry - 4 May Calicut - 30 May Fort St David - 5 Jun Madras - 28 Jul Calcutta - 20 Oct Kedgeree -12 Dec Tellicherry - 27 Dec Goa - 8 Jan 1742 Bombay -1 Feb Tellicherry -11 Feb Cochin -14 Feb Anjengo - 28 May St Helena - 29 Sep Downs'};;;;;;;
HALSEWELL;"[""Built by Wells, launched 1778, 3 decks, 4in bottom, length 139ft 7in, keel 112ft I'Ain, breadth 36ft lin, hold 15ft 'Ain, wing transom 23ft, port cell 25ft lin, between decks 6ft 41/4in, 776 tons Principal Managing Owners: 1-2 Thomas Burston, 3 Peter Esdaile"", 'A true and particular account of the loss of the Halsewell... (London, 1786)']";{'time': ['1778', '1779'], 'destination': 'Madras and China', 'reference': ['L/MAM/B/465A-B Journal 24 Aug 1778-1 Feb 1782 L/MAM/B/465D(1) Ledger L/MAM/B/465D(2) Pay Book ', 'L/MAR/B/465D(3) Imprest Book', 'L/MAR/B/465D(4) Absence Book '], 'captain': 'Richard Pierce', 'itinerary': 'Portsmouth 6 Mar 1779 - 5 Apr Madeira - 8 May Goree - 30 Jul Cape -18 Jan Malacca -1 Sep Whampoa -11 Dec Second Bar -19 May 1781 St Helena - 20'};{'time': ['1782', '1783'], 'destination': 'Madras and Bengal', 'reference': ['L/MAM/B/465C Journal 8 Oct 1782-16 Oct 1784', 'L/MAR/B/465E(1) Ledger', 'L/MAM/B/465E(2) Pay Book'], 'captain': 'Richard Pierce', 'itinerary': 'Portsmouth 11 Mar 1783 - 30 Mar Sao Tiago - 23 Jun Johanna - 26 Jul Madras - 4 Sep Kedgeree - 31 Jan 1784 Saugor - 7 Jun St Helena - 28 Aug Downs'};"{'time': ['1785', '1786'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Richard Pierce', 'itinerary': ""Downs 1 Jan 1786 - lost between Peverill Point and St Alban's Head, Isle of Purbeck 6 Jan See A circumstantial narrative of the loss of the Halsewell... (London, 1786)""}";;;;;;
HAMPSHIRE (1);['Rated at 375/400 tons, 75/80 crew, 26 guns'];{'time': ['1698', '1699'], 'destination': 'Surat', 'reference': ['L/MAM/A/CXXn Journal 20 Feb 1699-24 Jul 1700 '], 'captain': 'Francis Fisher', 'itinerary': 'Downs 28 Mar 1699 - 12 Apr Cadiz -18 Sep Bombay - 24 Sep Surat - 22 Oct Bombay - 27 Nov Bandar Abbas - 27 Dec Surat - 10 Jan 1700 Bombay - 5 May St Helena - 23 Jul Downs'};{'time': ['1700', '1701'], 'destination': 'Madras', 'reference': [], 'captain': 'Zachary Tovey', 'itinerary': 'Downs 4 Dec 1700 - 19 Nov 1703 Downs'};{'time': ['1704', '1705'], 'destination': 'Benkulen', 'reference': ['L/MAM/B/468A Journal 16 Oct 1704-5 Mar 1708 '], 'captain': 'Zachary Tovey', 'itinerary': 'Downs 5 Jan 1705 - 19 Jul Bombay - 29 Sep Benkulen -16 Nov Bantal - 9 Dec Benkulen - 19 Dec Silebar - 5 Feb 1706 Benkulen - 23 Feb Batavia - 6 May Benkulen - 3 Jun Bantal -14 Jul Benkulen - 2 Sep Silebar - 19 Nov Cape -17 Dec St Helena 20 May 1707 - 20 Jul Bahia - 21 Oct Kinsale 29 Feb 1708 - 10 Mar Downs'};;;;;;
HAMPSHIRE (2);['Built by Perry, launched 1765, 3 decks, 3in bottom, 696 tons', 'Principal Managing Owners: 1-2 Charles Raymond, 3 James Moffatt, 4 Andrew Moffatt'];{'time': ['1765', '1766'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/468B Journal 1 Nov 1765-25 Aug 1767', 'L/MAR/B/468G(1) Ledger', 'L/MAM/B/468G(2) Pay Book'], 'captain': 'John Smith', 'itinerary': 'Downs 19 Jan 1766 - 5 May Johanna - 7 Jun Madras - 23 Jul Malacca -19 Aug Whampoa - 6 Jan 1767 Second Bar -11 Apr St Helena - 28 Jun Downs'};{'time': ['1768', '1769'], 'destination': 'Bombay', 'reference': ['L/MAR/B/468C Journal 19 Nov 1768-2 May 1770', 'L/MAR/B/468H(1) Ledger', 'L/MAM/B/468H(2) Pay Book'], 'captain': 'John Smith', 'itinerary': 'Downs 18 Jan 1769 - 2 Feb Tenerife - 21 Apr Johanna - 28 May Bombay -19 Aug Madras - 1 Sep Culpee -17 Nov Ingeli -15 Feb 1770 St Helena -17 Apr Downs'};{'time': ['1770', '1771'], 'destination': 'Bombay', 'reference': ['L/MAR/B/468E Journal 1 Feb 1771-28 Nov 1772', 'L/MAR/B/468-I(l) Ledger', 'L/MAR/B/468-I(2) Pay Book'], 'captain': 'Thomas Taylor', 'itinerary': 'Downs 13 May 1771 -12 Jun Sao Tiago -12 Sep Cape - 5 Jan 1772 Bombay - 31 Mar Tellicherry - 9 Apr Cochin -12 Apr Anjengo - 30 Jul St Helena -17 Aug Ascension -13 Oct Downs'};{'time': ['1774', '1775'], 'destination': 'St Helena and Benkulen', 'reference': ['L/MAM/B/468F Journal 17 Dec 1774-15 May 1777', 'L/MAM/B/468J(1) Ledger', 'L/MAWB/468J(2) Pay Book'], 'captain': 'Thomas Timbrell', 'itinerary': 'Downs 13 Mar 1775 - 11 Jun St Helena - 26 Sep Benkulen - 25 Nov Batavia -17 Jan 1776 Rat Island - 6 Jun Benkulen - 30 Jul Pring -18 Aug Pisang - 27 Oct Cape - 24 Nov St Helena - 24 Feb 1777 Kinsale -13 Apr Downs'};;;;;
HANNAH;['Built in Bombay 1811, 457 tons Sold in England'];{'time': '1813', 'destination': 'From Bombay', 'reference': ['L/MAR/B/240A Journal 4 Feb-20 Aug 1813', 'L/MAM/B/240IB Journal 4 Fcb-20 Aug 1813, anon'], 'captain': 'William Denniston', 'itinerary': 'Bombay 11 Mar 1813 - 30 Mar Point de Gallc - 9 Jun St Helena - 11 Aug Downs'};;;;;;;;
HANNIBAL;['350 tons', 'Mar 1670 -'];{'time': ['1669', '1670'], 'destination': 'Bombay and Surat', 'reference': [], 'captain': 'William Hill'};{'time': ['1671', '1672'], 'destination': 'Bantam', 'reference': [], 'captain': 'James Collier', 'itinerary': 'Feb 1672 - captured by the Dutch in the Banka Straits'};;;;;;;
HANOVER;['Rated at 460/480 tons, 92/96 crew, 30/32 guns'];{'time': ['1712', '1713'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/677A Journal 7 Oct 17 3 2-1 Nov 1715 '], 'captain': 'James Osborne', 'itinerary': 'Downs 23 Feb 1713 - 14 May Cape - 21 Jul Madras - 7 Sep Balasore - 30 Sep Rogues River - 20 Oct Calcutta - 6 Feb 1714 Calicut - 2 Mar Bombay - 16 Mar Surat - 25 Apr Bombay - 18 May Madras - 28 Jun Rogues River - 24 Dec Vizagapatam - 7 Jan 1715 Madras - 19 Jun St Helena - 15 Jul Ascension - 5 Oct Woolwich'};{'time': ['1716', '1717'], 'destination': 'Bengal', 'reference': [], 'captain': 'James Osborne', 'itinerary': 'Downs 27 Nov 1716 - 19 Jul 1718 Downs'};{'time': ['1718', '1719'], 'destination': 'Bombay', 'reference': ['L/MAM/B/677B Journal 12 Dec 1718-16 May 1721 '], 'captain': 'John Bond', 'itinerary': 'Downs 24 Apr 1719 - 25 May Sao Tiago - 9 Oct Nicobars - 26 Nov Tellicherry - 23 Dec Bombay - 17 Feb 1720 Karwar - 26 Mar Tellicherry - 20 Apr Anjengo - 7 May Madras - 15 Dec St Helena - 2 Apr 1721 Woolwich'};{'time': ['1721', '1722'], 'destination': 'Bombay', 'reference': ['L/MAM/B/677C Journal 8 Jan 1722-5 Oct 1724 '], 'captain': 'John Bond', 'itinerary': 'Downs 1 Apr 1722 - 12 Aug Madras - 25 Oct Calicut - 9 Nov Bombay - 30 Dec Karwar - 7 Mar 1723 Bombay -16 May Mokha -17 Oct Karwar - 6 Nov Surat -12 Dec Bombay -15 Feb 1724 Cochin - 19 Jun St Helena - 5 Oct Blackwall'};;;;;
HAPPY ENTRANCE;['240/260 tons, alias Christopher'];{'time': ['1663', '1664'], 'destination': 'Bantam and Madras', 'reference': [], 'captain': 'William Barker', 'itinerary': 'Jan 1664 - 23 Jun Madras - Bantam -19 Jun 1665 Kinsale -19 Aug Downs'};{'time': ['1669', '1670'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Edward Swayne', 'itinerary': 'Dec 1669 - disappeared between Balasore and Masulipatam Nov 1670'};;;;;;;
