name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8;voyage_9
ST GEORGE (1);[];{'time': ['1664', '1665'], 'destination': 'Surat', 'reference': [], 'captain': 'Robert Lord'};;;;;;;;
ST GEORGE (2);['Rated at 450 tons, 90 crew, 32 guns'];"{'time': ['1706', '1707'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/584A Journal 1 Feb 1707-13 Apr 1708'], 'captain': 'Samuel Goodman', 'itinerary': ""Downs 12 Feb 1707 - 19 Mar Sao Tiago - 3 Aug Madras - 22 Aug Balasore -1 Sep Rogues River - 24 Dec Cox's Island - 2 Mar 1708 Cape - 28 Sep Downs""}";{'time': ['1709', '1710'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/584B Journal 17 Oct 1709-27 Sep 1712, James Courtney, Chief Mate ', 'L/MAR/B/584H(1) Ledger (with list of soldiers)', 'L/MAR/B/584H(2) Pay Book'], 'captain': 'Samuel Goodman', 'itinerary': 'Downs 7 Jan 1710 -1 Mar Madeira - 20 Jun Cape -18 Sep Point de Galle - 22 Apr 1711 Madras - 15 Jun Vizagapatam - 26 Jun Balasore - 4 Jul Calcutta -10 Mar 1712 Cape - 2 Jul St Helena - 27 Sep The Hope'};{'time': ['1713', '1714'], 'destination': 'Bengal', 'reference': ['L/MAR/B/584C Journal 19 Dec 1713-11 Apr 1716, Anthony Ryan, Chief Mate', 'L/MAR/B/584-I Ledger (with list of soldiers)'], 'captain': 'Samuel Goodman', 'itinerary': 'Downs 26 Feb 1714 - 7 Apr Sao Tiago -16 Sep Madras - 7 Oct Balasore -18 Oct Rogues River - 5 May 1715 Reunion - 7 Oct Cape -11 Nov St Helena - 16 Mar 1716 Deptford'};{'time': ['1716', '1717'], 'destination': 'Bengal', 'reference': ['L/MAR/B/584J Ledger'], 'captain': [], 'itinerary': 'Capt Anthony Ryan 24 Jan 1717 - 4 Jan 1719'};{'time': ['1719', '1720'], 'destination': 'Bombay', 'reference': [], 'captain': 'John Harvey', 'itinerary': 'Downs 8 Dec 1719 - lost at Bombay'};;;;
ST GEORGE (3);['Rated at 499 tons, 99 crew, 26 guns'];{'time': ['1742', '1743'], 'destination': 'Bengal and Bombay', 'reference': ['L/MAR/B/584D Journal 15 Feb 1743-15 Mar 1745', 'L/MAR/B/584K(1) Ledger', 'L/MAM/B/584K(2) Pay Book'], 'captain': 'Robert Robinson', 'itinerary': 'Portsmouth 15 Apr 1743 - 29 Aug Culpee - 6 Nov Calcutta -15 Dec Ingeli -1 Feb 1744 Colombo - 12 Feb Calicut - 16 Feb Tellicherry - 7 Mar Goa - 5 Apr Bombay -13 Apr Surat - 11 Jun Calcutta - 20 Nov Ingeli - 29 Dec Anjengo -1 Jan 1745 Cochin - 7 Jan Tellicherry - 22 Jan Anjengo - 4 Apr Cape - 5 May St Helena -17 Sep Galway -19 Dec Downs'};{'time': ['1746', '1747'], 'destination': 'China', 'reference': ['L/MAM/B/584E Journal 20 Oct 1746-14 Oct 1748', 'L/MAR/B/584L(1) Ledger', 'L/MAR/B/584L(2) Pay Book'], 'captain': 'Robert Robinson', 'itinerary': 'Portsmouth 20 Feb 1747 - 5 Jul Batavia - 30 Aug Whampoa - 21 Jan 1748 Second Bar - 9 May St Helena - 16 Aug Lisbon -14 Sep Downs'};{'time': ['1750', '1751'], 'destination': 'Madras and China', 'reference': ['L/MAM/B/584F Journal 23 Oct 1750-17 Jul 1752', 'L/MAR/B/584M(1) Ledger', 'L/MAR/B/584M(2) Pay Book'], 'captain': 'Robert Robinson', 'itinerary': 'Downs 15 Dec 1750 - 9 May 1751 Fort St David - 21 May Madras - 1 Aug Whampoa - 20 Dec Second Bar -31 Mar 1752 St Helena -13 Jun Downs'};{'time': ['1753', '1754'], 'destination': 'Madras, Bengal, Surat and China', 'reference': ['L/MAR/B/584G Journal 30 Sep 1753-4 Mar 1757, Parsons Fenner, Second Mate', 'L/MAR/B/584N(1) Ledger', 'L/MAR/B/584N(2) Pay Book'], 'captain': 'Robert Robinson', 'itinerary': '5 May Quilon -18 Jun Malacca - 14 Jul Whampoa - 22 Oct Second Bar -12 Dec Malacca - 22 Jan 1756 Culpee - 20 Feb Kedgeree - 20 Jun St Helena - 28 Oct River Shannon - 15 Jan 1757 Downs'};;;;;
ST HELENA;"[""Company's packet, schooner, built by Wigram, launched 1814, 2 decks, 3in bottom, length 75fl 73/4in, keel 60ft, breadth 20ft Sin, hold 6ft 6in, wing transom 13ft, between decks 6ft 4in, 136 tons""]";{'time': ['1814', '1815'], 'destination': 'St Helena', 'reference': ['L/MAR/B/327A Journal 16 Jun 1819-6 Nov 1821', 'L/MAR/B/327B(1) Ledger L/MAM/B/327B(2) Pay Book '], 'captain': 'John Augustus Atkinson', 'itinerary': 'St Helena 25 Aug - 17 Sep Benguela 5 Oct -14 Oct St Helena 17 Oct -13 Nov Cape 5 Dec - 18 Dec St Helena 1 Jan 1821 - 27 Jan Cape 6 Feb -17 Feb Angra Pequena 24 Feb - 8 Mar St Helena 21 Sep - 5 Nov Downs'};"{'time': ['1821', '1822'], 'destination': 'St Helena (to remain)', 'reference': ['L/MAR/B/327C(1) Ledger ', 'L/MAR/B/327C(2) Imprest Book Capt James Fairfax'], 'captain': [], 'itinerary': ""Downs 20 May 1822 - captured by 'the desperado Don Antonio Constanti' 6 Apr 1830, saved by the carpenter and remaining five crew, reached Sierra Leone 2 May 1830""}";;;;;;;
SALISBURY (1);['Rated at 499 tons, 99 crew, 30 guns'];"{'time': ['1741', '1742'], 'destination': 'Bombay and Madras', 'reference': ['L/MAR/B/478A Journal 12 Jan 1742-9 Nov 1744', 'L/MAR/B/478J(1) Ledger', 'L/MAR/B/478J(2) Pay Book'], 'captain': 'Christopher Burrowes', 'itinerary': ""Portsmouth 22 Mar 1742 - 9 Jul St Augustine's Bay - 6 Sep Bombay - 24 Oct Cannanore -1 Nov Tellicherry - 27 Nov Bombay - 20 Jan 1743 Bandar Abbas -16 Feb Bombay - 9 Mar Surat - 19 Mar Bombay 21 Mar - cruising with Harrington - 26 Mar Bombay - 20 Apr Cannanore - 24 Apr Tellicheriy - 30 Apr Calicut - 22 May Fort St David - 26 May Madras - 28 Dec Cape - 15 May 1744 St Helena - 8 Sep Teignmouth""}";"{'time': ['1745', '1746'], 'destination': 'Bengal', 'reference': ['L/MAR/B/478B Journal 31 Dec 1745-18 Apr 1748', 'L/MAR/B/478K(1) Ledger', 'L/MAR/B/478K(2) Pay Book'], 'captain': 'Christopher Burrowes', 'itinerary': ""Portsmouth 18 Apr 1746 - Plymouth 6 May - 10 Oct Rogues River - 6 Feb 1747 Kedgeree - 9 Jul Delagoa Bay - 18 Nov St Paul's, Luanda - 13 Feb 1748 Lisbon - 5 Apr Downs""}";"{'time': ['1748', '1749'], 'destination': 'Bombay', 'reference': ['L/MAR/B/478C-D Journal 30 Aug 1748-22 Sep 1750', 'L/MAR/B/478L(1) Ledger', 'L/MAR/B/478L(2) Pay Book'], 'captain': 'Christopher Burrowes', 'itinerary': ""Downs 21 Mar 1749 - Falmouth 30 Apr - 5 Aug St Augustine's Bay -17 Oct Bombay 5 Nov - cruising -12 Dec Bombay - 30 Dec Surat -16 Jan 1750 Bombay -12 Feb Mangalore -17 Feb Tellicheriy - 5 Mar Cochin - 10 Mar Anjengo - 3 Jun St Helena - 27 Aug Downs""}";{'time': ['1752', '1753'], 'destination': 'Bombay', 'reference': ['L/MAR/B/478E Journal 22 Dec 1752-3 Aug 1754', 'L/MAR/B/478M(1) Ledger', 'L/MAR/B/478M(2) Pay Book'], 'captain': 'John Foot', 'itinerary': 'Downs 24 Feb 1753 - 9 Jun Johanna - 8 Jul Bandar Abbas - 20 Aug Bombay -16 Oct Surat - 8 Nov Bombay - 3 Jan 1754 Tellicheriy - 15 Jan Cochin -18 Jan Anjengo - 22 Apr St Helena - 3 Jul Downs'};;;;;
SALISBURY (2);['Built by Peny, launched 1764, 3 decks, 3in bottom 657 tons Principal Managing Owner: Sir Charles Raymond'];{'time': ['1764', '1765'], 'destination': 'St Helena and China', 'reference': ['L/MAR/B/478F Journal 12 Oct 1764-25 Jul 1766', 'L/MAR/B/478N(1) Ledger', 'L/MAR/B/478N(2) Pay Book'], 'captain': 'John Wyche', 'itinerary': 'Downs 16 Dec 1764 - 21 Mar 1765 St Helena - 23 Jul Whampoa - 6 Jan 1766 Second Bar - 6 Apr St Helena - 10 Jun Downs'};{'time': ['1767', '1768'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/478G Journal 7 Dec 1767-7 Sep 1769', 'L/MAR/B/478-O Ledger'], 'captain': 'John Wyche', 'itinerary': 'Downs 21 Mar 1768 - 18 Apr Sao Tiago - 3 Jul Moheli - 11 Aug Vizagapatam - 23 Aug Culpee - 16 Dec Ingeli - 22 May 1769 St Helena - 6 Aug Downs'};{'time': ['1770', '1771'], 'destination': 'Madras and China', 'reference': ['L/MAR/B/478H Journal 6 Oct 1770-21 Oct 1772', 'L/MAR/B/478P(1) Ledger', 'L/MAR/B/478P(2) Pay Book'], 'captain': 'Philip Bromfield', 'itinerary': 'Portsmouth 14 Jan 1771 - 8 May Johanna - 15 Jun Madras - 21 Sep Whampoa - 20 Feb 1772 Second Bar - 7 Jun St Helena - 26 Aug Downs'};{'time': ['1774', '1775'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/478-1 Journal 19 Oct 1774-2 Aug 1776', 'L/MAR/B/478Q(1) Ledger', 'L/MAR/B/478Q(2) Pay Book'], 'captain': 'Philip Bromfield', 'itinerary': 'Downs 16 Jan 1775-17 Apr Cape - 22 Jun Madras - 31 Jul Masulipatam - 17 Aug Vizagapatam- 29 Aug Culpee 14 Nov Ingeli - 14 Dec Madras - 3 Feb 1776 Cape - 25 Feb St Helena-28 May Cork -1 Jul Downs'};;;;;
SALLY;[];{'time': ['1795', '1796'], 'destination': 'Bengal', 'reference': ['L/MAR/B/411A Journal 31 Aug 1795-16 Jan 1797, William Irving, Chief Mate', 'L/MAR/B/411B Journal 7 Sep 1795-16 Jan 1797'], 'captain': 'Robert Brown', 'itinerary': 'Liverpool 7 Sep 1795-14 Nov Rio de Janeiro - 24 Feb 1796 Calcutta - 2 Apr Culpee - 23 Jul St Helena-27 Nov Crookhaven - 12 Dec Downs'};;;;;;;;
SAMARITAN (1);['Bought from Nicholas Leate Jan 1614 for Â£3100, 75 crew, 453 tons', 'Master David Carpenter'];{'time': ['1613', '1614'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Downs May 1614-3 Oct Cape - 13 Feb 1615 Bantam 3 Apr - wrecked off Madagascar'};;;;;;;;
SAMARITAN (2);[];{'time': ['1658', '1659'], 'destination': 'Guinea and Madras', 'reference': [], 'captain': 'Thomas Clark', 'itinerary': 'Downs 2 Oct 1658 16 Dec Guinea - Jul 1659 Madras wrecked between Masulipatam and Madapollam Nov 1659'};;;;;;;;
SAMPSON (1);['600 tons'];{'time': ['1617', '1618'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Downs 19 Nov 1618 Bantam - 27 Dec off Batavia - 31 Jan 1619 Bantam 13 Apr - captured by the Dutch at Pattani 17 Jul 1619'};;;;;;;;
